gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-433.4,-1046.8,1618.7,70,DAO_left,1.0,1,1,0,68.7,0.2,290.8,290.8
1,-942.2,-1214.6,1096.2,3,DAO_left,1.0,8,2,6,144.6,0.4,1830.4,381.0
2,-730.8,-1127.4,1016.2,39,DAO_left,1.0,6,1,4,83.9,0.2,1429.4,413.7
3,-472.3,-885.4,800.0,64,DAO_left,1.0,10,2,8,166.0,0.4,1862.4,375.7
4,-539.0,-984.4,1338.2,1,DAO_left,1.0,12,2,10,144.3,0.4,2206.6,411.7
5,-916.9,-1171.6,750.4,22,DAO_left,1.0,11,3,8,119.7,0.3,1855.2,419.6
6,-597.0,-1029.1,1105.0,10,DAO_left,1.0,11,3,7,107.3,0.2,2280.1,444.5
7,-743.7,-1096.0,1115.8,53,DAO_left,1.0,6,3,3,140.2,0.4,965.1,384.6
8,-865.9,-1119.3,1038.7,30,DAO_left,1.0,8,1,6,134.6,0.3,1316.9,405.4
9,-548.2,-1023.8,1324.5,1,DAO_left,1.0,12,2,10,139.6,0.4,3433.6,392.7
10,-915.7,-1201.4,1301.0,38,DAO_left,1.0,9,2,7,140.4,0.4,1486.8,341.7
11,-949.8,-1257.9,962.1,19,DAO_left,1.0,10,1,9,152.3,0.4,2492.9,411.8
12,-501.6,-978.1,1246.6,56,DAO_left,1.0,8,3,5,135.2,0.4,2160.0,355.0
13,-505.8,-962.8,1342.3,23,DAO_left,1.0,6,3,2,123.2,0.4,1228.7,347.3
14,-979.0,-1175.7,1130.3,62,DAO_left,1.0,7,2,5,130.3,0.4,1266.0,338.6
15,-825.6,-1123.7,814.2,68,DAO_left,1.0,5,1,3,86.2,0.3,925.7,279.6
16,-685.6,-1081.2,1251.9,33,DAO_left,1.0,8,2,6,92.8,0.4,1064.1,243.3
17,-683.6,-1059.7,1147.2,9,DAO_left,1.0,13,3,10,164.9,0.4,3019.5,436.1
18,-782.0,-1158.9,1163.0,8,DAO_left,1.0,10,2,7,174.1,0.4,2733.3,420.8
19,-896.5,-1140.8,805.4,22,DAO_left,1.0,12,1,11,160.5,0.4,2238.2,425.2
20,-467.4,-938.9,1226.3,74,DAO_left,1.0,5,2,3,166.8,0.4,1016.0,412.7
21,-317.9,-870.3,1049.4,58,DAO_left,1.0,8,2,6,123.8,0.4,1181.5,292.7
22,-726.5,-1090.7,645.8,63,DAO_left,1.0,7,3,4,129.6,0.4,1702.7,342.5
23,-915.5,-1161.3,780.7,22,DAO_left,1.0,10,3,7,166.4,0.4,2071.8,382.0
24,-774.2,-1145.8,1104.2,53,DAO_left,1.0,11,3,7,119.5,0.3,2036.0,351.3
25,-588.3,-1006.8,1119.2,26,DAO_left,1.0,7,2,5,94.6,0.2,1224.0,426.8
26,-780.8,-1198.0,1620.9,61,DAO_left,1.0,9,2,7,172.1,0.4,2299.2,397.8
27,-416.2,-1006.4,1566.6,70,DAO_left,1.0,10,3,7,118.5,0.3,2140.5,425.3
28,-902.8,-1239.5,915.8,59,DAO_left,1.0,11,2,8,140.4,0.4,1472.5,334.9
29,-343.8,-1036.8,1609.4,2,DAO_left,1.0,9,3,6,123.3,0.3,2028.0,374.0
30,-658.7,-1118.9,1333.9,33,DAO_left,1.0,9,2,6,104.8,0.4,1205.6,260.4
31,-212.7,-939.8,1330.1,57,DAO_left,1.0,9,2,7,99.9,0.3,1413.3,311.0
32,-537.4,-1161.3,1703.5,29,DAO_left,1.0,9,1,8,121.5,0.3,1988.4,456.6
33,-748.0,-1188.7,1343.5,7,DAO_left,1.0,11,1,10,198.5,0.5,2394.0,433.5
34,-927.6,-1234.1,965.9,19,DAO_left,1.0,12,3,9,116.3,0.3,2321.2,440.8
35,-677.2,-1037.0,747.2,44,DAO_left,1.0,9,1,8,119.9,0.3,2333.9,372.4
36,-498.6,-893.3,719.0,64,DAO_left,1.0,12,1,11,188.4,0.4,2509.3,427.7
37,-493.5,-965.6,1081.7,26,DAO_left,1.0,12,4,8,187.1,0.5,2343.7,414.9
38,-952.5,-1206.5,1001.0,19,DAO_left,1.0,8,1,7,85.2,0.2,1466.0,348.5
39,-638.1,-1011.5,776.4,44,DAO_left,1.0,10,3,7,101.1,0.4,1574.3,269.8
40,-906.8,-1212.7,1015.9,19,DAO_left,1.0,9,2,7,124.7,0.3,1852.9,370.5
41,-394.3,-885.5,1020.7,69,DAO_left,1.0,7,2,5,106.7,0.3,1368.2,364.9
42,-639.3,-1093.3,1493.2,50,DAO_left,1.0,10,3,7,121.6,0.3,2457.4,409.5
43,-861.9,-1108.5,825.3,68,DAO_left,1.0,9,4,5,142.8,0.3,2468.4,413.9
44,-533.1,-956.0,976.6,27,DAO_left,1.0,9,2,7,147.8,0.5,1575.3,325.4
45,-644.1,-996.8,786.1,44,DAO_left,1.0,9,4,5,180.8,0.5,1621.2,375.5
46,-628.5,-1085.4,1473.3,37,DAO_left,1.0,9,4,5,107.1,0.2,2443.8,439.1
47,-759.0,-1208.7,1432.9,51,DAO_left,1.0,11,1,10,174.4,0.4,1980.9,437.5
48,-611.9,-1008.9,855.9,49,DAO_left,1.0,9,3,6,148.1,0.4,1727.4,342.9
49,-605.1,-1025.5,1354.2,1,DAO_left,1.0,10,2,8,112.2,0.4,1540.2,268.4
50,-764.8,-1204.2,1376.2,7,DAO_left,1.0,11,2,9,149.7,0.4,2147.5,360.8
51,-714.0,-1075.3,1175.0,9,DAO_left,1.0,10,1,8,127.4,0.3,2623.0,396.7
52,-330.1,-962.3,1221.0,5,DAO_left,1.0,12,1,11,114.5,0.3,2494.8,389.3
53,-931.0,-1144.5,1001.0,19,DAO_left,1.0,9,3,6,142.1,0.4,1827.9,330.8
54,-802.3,-1142.6,1119.4,8,DAO_left,1.0,11,2,9,139.1,0.3,2352.6,422.6
55,-954.1,-1197.8,1012.6,19,DAO_left,1.0,9,2,7,116.1,0.3,2116.4,420.1
56,-656.9,-1065.7,1149.3,9,DAO_left,1.0,11,4,6,114.0,0.3,1799.5,335.2
57,-622.3,-939.5,732.1,42,DAO_left,1.0,9,1,8,178.3,0.4,2072.7,418.0
58,-746.9,-1182.2,1279.5,7,DAO_left,1.0,10,3,7,120.4,0.3,2278.3,361.3
59,-877.9,-1188.8,946.3,59,DAO_left,1.0,9,3,6,97.2,0.3,1700.4,304.7
60,-826.6,-1176.4,1499.6,14,DAO_left,1.0,9,1,8,168.8,0.4,1406.7,379.1
61,-623.4,-1176.4,1694.8,29,DAO_left,1.0,9,4,5,130.4,0.4,2405.4,362.9
62,-418.9,-907.8,776.4,47,DAO_left,1.0,13,1,12,91.4,0.2,2519.5,380.0
63,-816.1,-1067.6,688.2,63,DAO_left,1.0,11,2,9,175.5,0.4,2310.0,401.3
64,-890.0,-1238.9,1048.0,3,DAO_left,1.0,10,1,9,129.4,0.3,2324.7,383.0
65,-974.2,-1212.5,1025.9,19,DAO_left,1.0,10,2,8,111.8,0.4,1817.9,296.0
66,-636.2,-1084.5,1075.3,10,DAO_left,1.0,12,4,8,142.7,0.3,1791.3,409.1
67,-717.6,-1136.9,1107.6,53,DAO_left,1.0,11,3,8,109.4,0.3,1900.8,408.8
68,-357.2,-842.8,777.2,6,DAO_left,1.0,7,2,5,172.4,0.4,1617.6,445.3
69,-858.3,-1154.0,960.6,52,DAO_left,1.0,7,4,3,127.9,0.3,1660.5,366.1
70,-745.1,-1176.9,1311.4,7,DAO_left,1.0,9,1,8,138.2,0.4,1696.8,340.4
71,-519.6,-937.4,780.3,64,DAO_left,1.0,10,1,9,124.6,0.3,2593.3,415.6
72,-489.8,-1013.7,1149.7,56,DAO_left,1.0,9,2,7,115.3,0.3,1962.0,362.1
73,-893.7,-1209.8,927.2,59,DAO_left,1.0,12,2,10,123.1,0.3,2585.8,377.5
74,-854.5,-1217.8,1189.2,55,DAO_left,1.0,6,2,3,132.9,0.3,1052.5,394.3
75,-440.1,-1096.3,1701.3,43,DAO_left,1.0,11,4,7,128.9,0.3,2201.1,423.2
76,-228.9,-922.8,1239.0,5,DAO_left,1.0,5,1,4,146.4,0.4,1167.0,368.1
77,-441.3,-952.7,849.4,47,DAO_left,1.0,11,1,9,145.8,0.4,2144.6,389.1
78,-978.2,-1206.1,1093.5,3,DAO_left,1.0,9,3,6,173.5,0.5,2158.4,377.7
79,-375.7,-987.8,1548.2,12,DAO_left,1.0,9,1,8,168.3,0.5,2002.3,363.6
80,-724.7,-1099.0,714.6,60,DAO_left,1.0,9,1,8,91.8,0.4,1027.3,212.8
81,-933.6,-1196.7,902.6,59,DAO_left,1.0,7,2,5,139.3,0.4,1736.6,385.8
82,-599.1,-1114.3,1555.7,17,DAO_left,1.0,12,1,10,127.7,0.3,2062.9,423.3
83,-697.6,-1173.1,1724.7,24,DAO_left,1.0,10,2,8,115.0,0.3,2203.6,401.9
84,-545.8,-1012.4,812.4,65,DAO_left,1.0,11,2,9,94.4,0.3,1547.0,280.3
85,-877.3,-1134.3,847.9,68,DAO_left,1.0,9,2,7,124.5,0.3,2276.8,369.1
86,-476.2,-932.4,755.5,64,DAO_left,1.0,7,1,6,99.6,0.4,838.9,275.7
87,-724.8,-1065.6,929.7,15,DAO_left,1.0,11,1,10,142.0,0.4,2382.7,372.7
88,-444.5,-920.8,874.2,47,DAO_left,1.0,11,2,9,125.2,0.3,2271.8,370.2
89,-634.7,-1001.6,827.4,65,DAO_left,1.0,11,3,7,151.1,0.4,2266.2,411.0
90,-451.9,-1042.7,1697.1,43,DAO_left,1.0,11,3,8,123.9,0.4,1844.6,343.0
91,-654.6,-1119.7,1532.0,50,DAO_left,1.0,12,2,10,159.4,0.4,1639.2,435.1
92,-756.1,-1144.3,974.4,15,DAO_left,1.0,9,3,6,142.7,0.4,2032.7,371.2
93,-763.8,-1152.6,933.7,15,DAO_left,1.0,13,2,11,107.3,0.3,2472.4,427.0
94,-563.6,-1036.0,1465.2,54,DAO_left,1.0,9,3,6,196.5,0.5,1689.1,391.1
95,-763.3,-1188.0,1361.3,7,DAO_left,1.0,9,1,8,178.9,0.4,1854.9,422.9
96,-934.4,-1211.8,870.5,59,DAO_left,1.0,10,3,6,150.6,0.4,2253.2,361.1
97,-895.9,-1170.7,1034.0,30,DAO_left,1.0,11,1,10,120.1,0.4,1652.4,294.3
98,-681.6,-1161.3,1618.3,61,DAO_left,1.0,11,2,9,130.0,0.3,2198.8,380.0
99,-876.5,-1235.5,1424.6,35,DAO_left,1.0,12,1,10,121.9,0.3,2499.4,413.9
100,-739.5,-1166.4,914.4,15,DAO_left,1.0,8,3,5,94.6,0.4,896.5,244.1
101,-774.7,-1070.6,673.2,63,DAO_left,1.0,9,3,6,147.0,0.4,1815.3,369.0
102,-451.8,-929.8,852.5,47,DAO_left,1.0,8,1,7,166.4,0.4,2103.7,431.6
103,-298.1,-975.3,1509.2,66,DAO_left,1.0,10,2,8,190.7,0.4,2142.8,447.0
104,-511.3,-968.7,1210.6,56,DAO_left,1.0,10,4,6,132.7,0.3,2044.3,401.4
105,-555.8,-1036.9,1186.3,41,DAO_left,1.0,11,3,8,186.3,0.4,2239.9,449.6
106,-553.7,-1007.3,987.6,27,DAO_left,1.0,9,3,6,123.3,0.3,1996.7,381.2
107,-392.8,-949.8,1153.7,71,DAO_left,1.0,10,4,6,140.0,0.5,1480.1,286.3
108,-600.1,-1074.1,1416.8,37,DAO_left,1.0,8,3,5,94.6,0.3,1580.3,325.9
109,-523.6,-1017.7,1295.6,1,DAO_left,1.0,11,1,10,140.3,0.3,2385.7,416.0
110,-973.5,-1159.8,825.0,46,DAO_left,1.0,11,2,9,104.0,0.3,1663.4,380.8
111,-841.1,-1219.5,1524.8,14,DAO_left,1.0,5,2,3,199.0,0.5,1208.9,372.0
112,-708.4,-1104.4,685.4,60,DAO_left,1.0,10,2,8,146.0,0.4,1731.2,385.9
113,-578.3,-1172.9,1708.8,29,DAO_left,1.0,11,2,9,158.2,0.4,2404.5,411.2
114,-765.3,-1204.2,1464.7,51,DAO_left,1.0,9,3,6,136.8,0.4,1118.1,314.7
115,-728.9,-1143.7,1480.2,51,DAO_left,1.0,9,1,8,129.6,0.4,1689.7,331.8
116,-458.0,-1098.9,1730.2,43,DAO_left,1.0,10,2,8,149.7,0.4,2302.4,383.2
117,-502.7,-976.4,1182.9,56,DAO_left,1.0,10,1,9,146.4,0.3,1756.8,419.8
118,-727.1,-1193.8,1615.3,61,DAO_left,1.0,12,2,10,179.9,0.4,1798.0,408.4
119,-836.1,-1217.2,1028.8,30,DAO_left,1.0,6,3,3,147.2,0.4,1303.2,351.1
