gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-549.8,-937.2,334.8,17,MAO_left,1.0,4,2,2,143.2,0.3,746.8,440.0
1,-38.1,-880.0,700.7,7,MAO_left,1.0,7,3,4,146.5,0.4,1877.0,387.0
2,-817.6,-1098.0,296.5,44,MAO_left,1.0,9,1,8,189.2,0.5,2227.5,393.7
3,-7.5,-882.2,447.3,25,MAO_left,1.0,10,2,8,198.4,0.5,1979.1,401.3
4,-13.2,-1053.7,1371.8,32,MAO_left,1.0,9,4,5,128.4,0.3,2123.1,378.5
5,-62.5,-734.1,779.2,52,MAO_left,1.0,9,4,4,79.5,0.4,657.1,218.4
6,-440.7,-1062.4,614.0,63,MAO_left,1.0,11,3,8,125.0,0.3,2484.6,393.2
7,-323.7,-1120.0,833.8,61,MAO_left,1.0,7,1,6,145.3,0.3,1562.0,457.4
8,-88.4,-834.9,624.9,7,MAO_left,1.0,10,1,8,113.6,0.3,1665.9,408.3
9,-44.1,-682.7,323.6,1,MAO_left,1.0,11,4,7,190.5,0.5,2683.0,415.2
10,-351.8,-902.1,388.7,4,MAO_left,1.0,8,3,3,124.8,0.5,964.8,261.1
11,-39.0,-940.9,1271.6,24,MAO_left,1.0,11,2,9,160.7,0.4,2715.4,398.9
12,-76.8,-754.7,690.5,49,MAO_left,1.0,11,2,9,115.4,0.4,1893.1,328.0
13,-101.2,-1104.2,1631.3,64,MAO_left,1.0,6,2,4,87.8,0.3,683.5,274.6
14,-43.7,-999.2,578.0,5,MAO_left,1.0,13,2,11,193.6,0.4,3276.5,449.2
15,-22.8,-911.1,1191.2,62,MAO_left,1.0,1,1,0,9.1,1.0,9.1,9.1
16,-85.8,-1039.1,1097.1,12,MAO_left,1.0,7,3,4,118.7,0.4,943.2,263.9
17,-732.2,-1085.2,398.4,59,MAO_left,1.0,8,1,7,195.6,0.5,2208.1,398.2
18,-6.4,-1056.4,1417.3,2,MAO_left,1.0,9,1,8,174.1,0.5,1796.5,382.4
19,-297.3,-1078.9,758.2,46,MAO_left,1.0,8,2,6,126.0,0.3,2251.5,404.8
20,-608.6,-1134.2,256.0,69,MAO_left,1.0,7,2,5,134.7,0.3,1643.6,408.9
21,-225.7,-1032.3,813.1,13,MAO_left,1.0,10,2,8,157.5,0.4,2905.0,407.8
22,-75.8,-1065.1,1507.3,21,MAO_left,1.0,9,2,7,112.6,0.3,2115.0,378.4
23,-422.5,-1106.5,756.1,65,MAO_left,1.0,9,3,6,124.8,0.3,2122.0,418.8
24,-38.8,-1055.6,1564.1,21,MAO_left,1.0,7,1,5,196.3,0.5,1253.9,421.5
25,-226.3,-1098.0,1237.8,33,MAO_left,1.0,10,2,7,130.8,0.3,1630.8,427.1
26,-322.0,-1076.5,962.3,61,MAO_left,1.0,7,2,5,164.6,0.4,1387.8,377.4
27,-132.6,-758.1,488.2,51,MAO_left,1.0,11,2,9,159.5,0.4,2974.4,382.2
28,-676.5,-1042.8,276.6,58,MAO_left,1.0,7,2,5,149.8,0.4,1502.0,383.2
29,-79.4,-1003.8,800.2,70,MAO_left,1.0,8,2,3,205.7,0.5,1414.6,391.0
30,-39.3,-978.7,1145.4,12,MAO_left,1.0,7,1,6,165.6,0.4,1809.2,434.6
31,-449.1,-894.3,455.6,22,MAO_left,1.0,10,1,9,144.6,0.3,2258.1,420.8
32,-76.1,-759.9,436.5,27,MAO_left,1.0,9,3,6,176.6,0.4,2036.3,424.8
33,-226.0,-1114.9,887.2,13,MAO_left,1.0,6,2,4,121.6,0.3,843.1,349.4
34,-611.2,-1048.1,269.9,58,MAO_left,1.0,9,1,8,225.4,0.5,1918.7,419.2
35,-301.6,-1119.0,1099.1,3,MAO_left,1.0,9,3,6,144.5,0.4,1473.4,402.2
36,-382.2,-969.7,205.1,26,MAO_left,1.0,11,1,10,172.8,0.4,2518.2,406.7
37,-453.2,-979.9,434.4,42,MAO_left,1.0,10,3,6,154.9,0.4,2034.8,416.7
