gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-486.0,-995.5,1167.9,56,DAO_left,0.2,9,2,7,153.0,0.4,1945.4,415.9
1,-743.7,-1096.0,1115.8,53,DAO_left,0.2,12,3,9,157.5,0.4,2641.9,429.1
2,-555.9,-1052.7,1509.1,54,DAO_left,0.2,1,1,0,115.3,0.3,405.7,405.7
3,-800.1,-1104.0,1119.0,8,DAO_left,0.2,11,4,7,194.5,0.5,1798.9,400.8
4,-658.7,-1118.9,1333.9,33,DAO_left,0.2,9,2,7,102.0,0.4,1616.6,267.2
5,-382.2,-1069.9,1721.3,43,DAO_left,0.2,8,3,5,93.3,0.2,1521.2,393.7
6,-662.1,-1038.0,743.6,44,DAO_left,0.2,10,2,8,162.0,0.5,1934.4,321.9
7,-683.6,-1059.7,1147.2,9,DAO_left,0.2,13,3,10,167.0,0.4,2846.7,433.3
8,-814.1,-1071.6,703.9,63,DAO_left,0.2,11,5,5,123.7,0.3,2952.1,472.9
9,-722.5,-1095.3,816.7,34,DAO_left,0.2,11,3,8,159.6,0.3,2739.4,484.3
10,-964.3,-1190.5,975.6,19,DAO_left,0.2,10,2,8,99.2,0.3,1414.1,314.9
11,-404.2,-1000.4,1626.7,70,DAO_left,0.2,11,2,9,165.7,0.4,2817.6,419.4
12,-533.6,-991.8,1241.8,56,DAO_left,0.2,9,1,8,150.3,0.4,1521.1,340.9
13,-936.6,-1218.7,857.1,46,DAO_left,0.2,8,1,7,148.7,0.3,2103.4,437.2
14,-455.1,-997.9,1504.6,20,DAO_left,0.2,9,3,6,160.4,0.4,2135.8,432.3
15,-212.7,-939.8,1330.1,57,DAO_left,0.2,11,2,9,123.1,0.3,2130.5,411.6
16,-416.2,-1006.4,1566.6,70,DAO_left,0.2,10,2,8,144.0,0.3,2394.9,423.9
17,-288.6,-863.6,1026.9,58,DAO_left,0.2,11,1,10,180.8,0.4,2655.8,464.6
18,-973.5,-1159.8,825.0,46,DAO_left,0.2,11,3,8,120.4,0.3,1811.3,389.2
19,-532.0,-1099.8,1611.4,16,DAO_left,0.2,7,1,6,161.8,0.5,1221.8,339.0
20,-737.3,-1161.0,1674.0,61,DAO_left,0.2,9,2,7,92.4,0.3,1393.5,297.7
21,-837.9,-1070.6,721.9,63,DAO_left,0.2,10,1,9,195.6,0.5,2244.7,414.7
22,-595.3,-1040.9,1485.5,54,DAO_left,0.2,10,1,9,147.5,0.4,1657.8,409.6
23,-858.4,-1222.5,1435.9,35,DAO_left,0.2,10,3,7,144.3,0.4,1690.6,335.0
24,-562.5,-1078.6,1548.2,17,DAO_left,0.2,8,1,7,167.9,0.5,1582.5,357.6
25,-670.9,-1062.7,1128.3,9,DAO_left,0.2,10,1,9,145.5,0.3,2303.9,444.0
26,-608.9,-1031.0,1372.8,37,DAO_left,0.2,7,2,5,153.5,0.4,1464.7,378.5
27,-678.6,-1147.5,1687.2,24,DAO_left,0.2,9,1,8,94.8,0.2,1617.4,427.5
28,-902.8,-1239.5,915.8,59,DAO_left,0.2,11,2,9,161.0,0.4,1916.2,369.6
29,-431.7,-981.4,1048.3,18,DAO_left,0.2,11,2,9,185.6,0.5,2759.2,408.5
30,-945.5,-1250.4,838.4,46,DAO_left,0.2,12,1,11,144.9,0.3,3040.1,432.9
31,-822.9,-1118.1,1231.2,32,DAO_left,0.2,11,2,9,109.1,0.3,2112.4,330.2
32,-679.1,-1150.1,1393.2,28,DAO_left,0.2,10,3,7,118.8,0.3,1466.0,348.6
33,-228.9,-922.8,1239.0,5,DAO_left,0.2,9,2,7,152.5,0.4,1932.6,364.7
34,-803.3,-1069.0,794.6,34,DAO_left,0.2,10,4,6,155.2,0.4,2303.6,414.0
35,-709.2,-1037.7,716.6,0,DAO_left,0.2,9,4,5,189.7,0.4,2624.8,426.4
36,-553.7,-1007.3,987.6,27,DAO_left,0.2,9,4,4,154.1,0.5,1778.0,329.9
37,-504.2,-932.8,746.1,64,DAO_left,0.2,8,2,6,111.0,0.4,1398.0,310.2
38,-638.2,-1045.0,1118.7,10,DAO_left,0.2,8,3,4,111.6,0.3,1378.2,323.7
39,-677.2,-1037.0,747.2,44,DAO_left,0.2,9,1,8,139.3,0.3,1981.8,398.1
40,-849.6,-1145.7,1066.5,30,DAO_left,0.2,11,2,9,156.1,0.4,2743.4,378.2
41,-649.8,-1066.9,1159.9,9,DAO_left,0.2,9,2,7,159.3,0.4,2897.0,417.6
42,-602.9,-1057.9,876.9,49,DAO_left,0.2,10,2,8,194.0,0.5,2607.2,385.6
43,-357.2,-842.8,777.2,6,DAO_left,0.2,7,3,4,166.3,0.4,1572.9,431.1
44,-882.2,-1195.2,1045.6,30,DAO_left,0.2,7,2,5,123.6,0.4,1649.3,345.9
45,-745.1,-1176.9,1311.4,7,DAO_left,0.2,9,1,8,202.7,0.5,1914.3,375.9
46,-849.1,-1196.8,773.5,4,DAO_left,0.2,11,1,10,160.1,0.4,2863.2,412.7
47,-401.4,-915.2,848.6,47,DAO_left,0.2,11,2,9,222.2,0.5,2418.4,416.1
48,-549.1,-961.2,723.7,42,DAO_left,0.2,11,2,9,139.4,0.3,2471.0,460.8
49,-714.0,-1075.3,1175.0,9,DAO_left,0.2,10,1,9,164.1,0.4,2138.5,417.6
50,-536.3,-1046.9,1651.4,16,DAO_left,0.2,11,1,10,184.8,0.5,2223.6,371.8
51,-724.7,-1099.0,714.6,60,DAO_left,0.2,9,1,8,98.4,0.4,991.0,247.4
52,-536.5,-1031.0,1315.9,1,DAO_left,0.2,11,3,8,165.1,0.4,2972.4,405.5
53,-626.0,-1072.9,1171.1,9,DAO_left,0.2,11,1,10,150.1,0.4,1928.6,385.4
54,-505.8,-962.8,1342.3,23,DAO_left,0.2,8,2,5,160.2,0.4,1897.8,429.0
55,-777.7,-1090.2,793.2,34,DAO_left,0.2,11,2,9,138.4,0.4,2170.2,365.9
56,-320.5,-957.4,1318.2,48,DAO_left,0.2,11,4,7,130.1,0.3,2755.2,410.4
57,-317.9,-870.3,1049.4,58,DAO_left,0.2,9,3,6,157.8,0.4,1901.9,424.1
58,-467.4,-938.9,1226.3,74,DAO_left,0.2,8,2,6,205.2,0.5,1423.8,425.0
59,-504.2,-862.6,651.0,42,DAO_left,0.2,12,1,11,166.0,0.4,1920.5,407.1
60,-519.5,-970.9,1168.1,56,DAO_left,0.2,8,2,6,170.7,0.4,2410.5,432.6
61,-964.8,-1201.1,1067.4,3,DAO_left,0.2,9,2,7,137.5,0.4,1428.1,306.8
62,-375.7,-987.8,1548.2,12,DAO_left,0.2,9,1,8,147.6,0.4,2012.2,382.0
63,-539.0,-984.4,1338.2,1,DAO_left,0.2,12,2,10,142.0,0.4,3038.4,404.0
64,-328.3,-1034.8,1729.8,43,DAO_left,0.2,11,4,7,171.3,0.4,2077.4,392.9
65,-293.2,-915.0,992.9,58,DAO_left,0.2,10,2,8,120.6,0.3,1825.5,391.1
66,-656.9,-1065.7,1149.3,9,DAO_left,0.2,11,3,7,126.6,0.3,2275.2,391.5
67,-697.3,-1097.3,1100.4,39,DAO_left,0.2,9,2,7,190.1,0.5,2080.8,417.8
68,-647.0,-1086.8,1197.8,9,DAO_left,0.2,10,3,6,92.6,0.3,1890.6,345.1
69,-587.6,-992.7,1035.2,27,DAO_left,0.2,11,3,8,156.2,0.4,2683.5,405.7
70,-588.3,-1006.8,1119.2,26,DAO_left,0.2,12,2,10,145.2,0.4,2246.1,366.3
71,-585.4,-1072.0,1188.9,41,DAO_left,0.2,11,3,8,173.4,0.5,2768.8,379.0
72,-600.1,-1074.1,1416.8,37,DAO_left,0.2,8,2,6,141.9,0.4,1351.1,317.9
73,-523.6,-1017.7,1295.6,1,DAO_left,0.2,11,1,10,140.1,0.3,2648.8,440.9
74,-494.0,-1057.9,1567.1,70,DAO_left,0.2,11,1,10,184.8,0.5,2834.1,409.8
75,-397.9,-1062.2,1728.1,43,DAO_left,0.2,10,2,8,62.7,0.3,978.4,199.3
