gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-291.0,-1081.1,1575.8,43,PO_left,0.4,1,1,0,36.4,0.4,84.7,84.7
1,-256.5,-1097.2,1666.1,64,PO_left,0.4,9,1,8,110.6,0.4,1274.6,274.8
2,-362.8,-1087.5,1686.1,16,PO_left,0.4,10,1,9,103.1,0.4,1352.6,255.4
3,-495.0,-1082.4,1106.3,41,PO_left,0.4,9,2,7,141.8,0.4,1918.2,372.9
4,-666.2,-1212.7,1050.7,40,PO_left,0.4,10,2,8,191.3,0.4,2295.1,475.0
5,-399.9,-1112.8,1152.7,68,PO_left,0.4,9,3,6,176.4,0.4,2366.6,430.4
6,-522.2,-1124.5,1577.6,32,PO_left,0.4,9,2,7,124.4,0.4,1446.6,303.8
7,-121.7,-865.8,1294.9,0,PO_left,0.4,10,1,9,161.6,0.5,2373.8,349.2
8,-633.4,-1253.4,1042.2,42,PO_left,0.4,12,2,10,142.0,0.4,2585.9,392.7
9,-107.0,-941.2,1197.1,13,PO_left,0.4,12,2,10,201.7,0.5,2972.2,422.9
10,-33.7,-575.7,512.1,1,PO_left,0.4,11,3,8,133.9,0.4,2301.0,379.0
11,-658.9,-1228.0,1158.4,73,PO_left,0.4,11,2,9,188.3,0.5,2341.1,371.4
12,-184.6,-734.0,730.6,44,PO_left,0.4,9,2,7,151.4,0.4,1660.5,361.9
13,-385.0,-1013.8,1169.9,68,PO_left,0.4,7,2,5,187.2,0.4,1938.3,443.9
14,-258.0,-993.8,1099.6,34,PO_left,0.4,9,2,7,175.2,0.4,2542.5,452.0
15,-301.8,-1084.8,1308.5,18,PO_left,0.4,11,2,9,104.3,0.3,1925.2,388.1
16,-418.2,-1118.2,1424.8,61,PO_left,0.4,7,1,6,175.0,0.4,1443.8,418.3
17,-189.1,-1022.8,1673.5,74,PO_left,0.4,7,3,4,204.3,0.4,1850.3,459.6
18,-477.7,-1060.5,1234.6,53,PO_left,0.4,8,3,5,137.0,0.4,1664.5,328.4
19,-202.8,-989.2,1265.9,52,PO_left,0.4,12,3,9,125.9,0.3,2609.3,385.6
20,-618.3,-1229.5,1503.8,39,PO_left,0.4,10,4,6,156.6,0.4,2613.4,429.8
21,-124.2,-918.5,1238.9,13,PO_left,0.4,9,2,7,184.0,0.4,2618.7,447.9
22,-129.1,-882.7,1362.7,0,PO_left,0.4,10,2,8,154.6,0.4,2453.6,405.3
23,-413.1,-1028.1,1187.7,68,PO_left,0.4,12,2,10,200.6,0.5,2832.4,411.1
24,-474.2,-1102.6,1595.2,20,PO_left,0.4,7,1,6,128.3,0.3,1836.2,372.3
25,-681.9,-1224.3,1447.3,33,PO_left,0.4,11,1,10,178.9,0.5,2381.7,368.6
26,-317.2,-1044.2,1209.6,63,PO_left,0.4,9,3,6,183.6,0.4,2093.5,446.5
