gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-743.7,-1096.0,1115.8,53,DAO_left,0.8,12,2,10,156.8,0.4,2625.4,379.4
1,-536.5,-1031.0,1315.9,1,DAO_left,0.8,11,3,8,150.5,0.4,2887.5,380.3
2,-588.2,-1058.5,1572.6,17,DAO_left,0.8,10,2,7,119.5,0.4,1463.8,299.4
3,-714.0,-1075.3,1175.0,9,DAO_left,0.8,10,1,9,152.8,0.3,2478.4,443.9
4,-825.6,-1123.7,814.2,68,DAO_left,0.8,9,1,8,136.4,0.4,2719.2,372.4
5,-730.8,-1127.4,1016.2,39,DAO_left,0.8,8,1,6,83.9,0.2,1417.5,366.9
6,-489.3,-922.1,743.9,64,DAO_left,0.8,11,3,8,129.4,0.3,1994.1,397.3
7,-942.2,-1214.6,1096.2,3,DAO_left,0.8,8,2,6,127.1,0.3,1416.1,448.4
8,-531.6,-1045.2,1529.4,54,DAO_left,0.8,7,2,5,128.4,0.3,1586.6,426.0
9,-503.5,-879.0,648.4,42,DAO_left,0.8,6,2,4,137.9,0.5,1162.8,287.7
10,-431.7,-981.4,1048.3,18,DAO_left,0.8,11,2,9,122.9,0.3,2735.1,384.2
11,-906.8,-1212.7,1015.9,19,DAO_left,0.8,9,2,7,124.7,0.3,2036.1,441.7
12,-502.6,-910.4,647.2,42,DAO_left,0.8,9,2,7,165.6,0.4,1928.5,407.3
13,-416.2,-1006.4,1566.6,70,DAO_left,0.8,10,2,8,126.8,0.3,2334.7,427.6
14,-687.6,-1183.8,1726.5,24,DAO_left,0.8,10,3,7,98.9,0.3,1808.8,285.2
15,-677.2,-1037.0,747.2,44,DAO_left,0.8,9,2,7,107.8,0.3,1679.6,349.5
16,-708.9,-1075.2,665.5,0,DAO_left,0.8,11,1,10,146.2,0.4,2285.6,401.7
17,-416.9,-953.0,1020.6,18,DAO_left,0.8,10,2,8,110.4,0.3,2023.3,410.2
18,-962.0,-1215.8,1076.7,3,DAO_left,0.8,8,1,7,126.2,0.3,1887.7,393.7
19,-915.5,-1161.3,780.7,22,DAO_left,0.8,10,2,8,104.1,0.3,1850.4,336.8
20,-545.8,-1012.4,812.4,65,DAO_left,0.8,11,2,8,99.1,0.2,1524.1,452.2
21,-585.4,-1072.0,1188.9,41,DAO_left,0.8,11,3,8,173.7,0.4,3035.0,453.9
22,-900.3,-1129.3,721.6,22,DAO_left,0.8,11,2,9,177.2,0.4,2679.6,415.8
23,-404.2,-1000.4,1626.7,70,DAO_left,0.8,11,2,9,157.4,0.4,2781.2,407.1
24,-643.9,-1020.4,787.8,44,DAO_left,0.8,8,4,4,141.3,0.3,2204.5,431.2
25,-718.1,-1187.2,1685.4,24,DAO_left,0.8,7,3,4,134.1,0.4,1154.8,319.2
26,-440.1,-1096.3,1701.3,43,DAO_left,0.8,11,4,7,139.2,0.3,2415.7,401.0
27,-570.1,-1004.5,1278.2,1,DAO_left,0.8,10,3,7,122.0,0.3,1971.7,385.4
28,-565.1,-1017.8,1192.5,41,DAO_left,0.8,10,3,7,123.0,0.3,2141.8,356.2
29,-328.3,-1034.8,1729.8,43,DAO_left,0.8,11,4,6,150.8,0.4,1554.1,384.1
30,-649.8,-1066.9,1159.9,9,DAO_left,0.8,9,2,7,136.2,0.4,1895.2,330.3
31,-534.5,-968.6,1321.0,1,DAO_left,0.8,12,2,9,130.3,0.3,2666.4,433.5
32,-455.1,-997.9,1504.6,20,DAO_left,0.8,9,3,6,136.2,0.3,2034.3,402.7
33,-644.1,-996.8,786.1,44,DAO_left,0.8,7,4,3,113.0,0.4,883.7,256.4
34,-517.8,-991.2,864.6,25,DAO_left,0.8,7,2,5,140.6,0.3,1687.2,429.0
35,-780.8,-1198.0,1620.9,61,DAO_left,0.8,11,2,9,207.9,0.5,2655.3,409.0
36,-962.4,-1224.8,997.4,19,DAO_left,0.8,11,3,8,124.8,0.3,2079.7,434.1
37,-607.4,-1060.4,1386.9,37,DAO_left,0.8,10,4,6,152.4,0.4,2280.7,374.1
38,-676.7,-1042.5,857.9,49,DAO_left,0.8,11,2,9,150.7,0.4,2587.3,409.6
39,-813.8,-1085.5,747.9,34,DAO_left,0.8,9,4,5,142.3,0.4,2336.4,364.7
40,-720.2,-1021.6,805.6,34,DAO_left,0.8,9,1,8,166.7,0.4,2109.2,393.4
41,-831.7,-1204.6,1512.1,14,DAO_left,0.8,14,1,13,202.1,0.5,3065.1,407.2
42,-551.8,-966.4,856.0,25,DAO_left,0.8,11,2,9,143.5,0.4,2447.3,363.1
43,-915.7,-1201.4,1301.0,38,DAO_left,0.8,9,1,8,175.4,0.5,1666.8,351.9
44,-709.2,-1037.7,716.6,0,DAO_left,0.8,9,4,5,189.4,0.5,2266.1,383.5
45,-362.9,-904.4,1221.4,48,DAO_left,0.8,8,2,6,150.6,0.4,1825.4,356.3
46,-383.3,-1000.9,1592.2,12,DAO_left,0.8,9,1,8,132.0,0.3,2025.9,394.9
47,-228.9,-922.8,1239.0,5,DAO_left,0.8,9,2,7,148.8,0.4,1347.9,410.8
48,-949.8,-1257.9,962.1,19,DAO_left,0.8,10,1,9,153.9,0.4,2228.6,406.2
49,-501.6,-978.1,1246.6,56,DAO_left,0.8,8,3,5,89.9,0.3,1043.6,302.1
50,-782.0,-1158.9,1163.0,8,DAO_left,0.8,10,3,7,137.6,0.3,2445.3,406.8
51,-671.8,-1069.5,882.9,49,DAO_left,0.8,10,2,8,108.6,0.3,1781.4,332.8
52,-683.6,-1059.7,1147.2,9,DAO_left,0.8,13,3,10,152.9,0.4,3083.7,409.2
53,-877.3,-1134.3,847.9,68,DAO_left,0.8,9,3,6,138.9,0.3,2006.5,398.9
54,-974.2,-1212.5,1025.9,19,DAO_left,0.8,10,2,8,101.1,0.3,2143.5,370.0
55,-606.7,-1144.7,1653.6,29,DAO_left,0.8,11,1,9,120.1,0.3,1698.5,401.8
56,-420.1,-884.2,748.6,6,DAO_left,0.8,10,1,9,156.9,0.4,2192.0,409.4
57,-508.0,-979.0,923.0,72,DAO_left,0.8,10,1,9,197.7,0.5,2354.8,384.1
58,-865.7,-1230.5,1228.4,55,DAO_left,0.8,11,1,9,156.4,0.4,2296.1,418.8
59,-394.3,-922.8,1080.8,13,DAO_left,0.8,10,2,8,121.3,0.3,2095.0,414.1
60,-599.5,-994.5,900.6,11,DAO_left,0.8,9,2,7,164.3,0.4,1843.8,370.5
61,-837.9,-1070.6,721.9,63,DAO_left,0.8,10,2,8,177.1,0.4,2219.5,439.9
62,-443.9,-1036.0,1599.1,70,DAO_left,0.8,10,3,7,153.0,0.3,2380.2,470.5
63,-433.4,-1046.8,1618.7,70,DAO_left,0.8,6,1,5,137.2,0.4,1181.8,313.5
64,-729.6,-1095.6,708.8,60,DAO_left,0.8,10,1,9,139.8,0.4,2130.9,353.6
65,-678.6,-1147.5,1687.2,24,DAO_left,0.8,9,1,8,104.1,0.2,2282.3,468.4
66,-954.1,-1197.8,1012.6,19,DAO_left,0.8,9,2,7,116.1,0.3,1950.7,355.0
67,-925.9,-1208.0,975.9,19,DAO_left,0.8,10,2,8,131.3,0.3,1988.9,416.3
68,-796.3,-1214.5,830.5,4,DAO_left,0.8,13,2,11,160.1,0.4,2998.9,413.7
69,-586.7,-1012.1,924.7,11,DAO_left,0.8,7,1,6,137.0,0.4,1714.9,337.9
70,-816.0,-1155.1,974.7,52,DAO_left,0.8,7,1,6,121.5,0.3,1834.2,385.7
71,-814.8,-1146.0,710.7,21,DAO_left,0.8,11,3,8,136.3,0.3,2744.3,414.8
72,-917.6,-1191.0,981.3,19,DAO_left,0.8,9,3,6,178.3,0.4,2520.5,422.9
73,-452.7,-838.5,723.1,6,DAO_left,0.8,12,2,10,182.0,0.5,2709.7,403.9
74,-530.7,-861.4,690.1,42,DAO_left,0.8,8,3,5,154.8,0.3,2207.5,467.2
75,-519.5,-970.9,1168.1,56,DAO_left,0.8,8,2,6,157.2,0.4,1985.9,403.3
76,-451.9,-1042.7,1697.1,43,DAO_left,0.8,12,3,9,123.9,0.3,2065.0,435.3
77,-611.9,-1008.9,855.9,49,DAO_left,0.8,9,3,6,160.0,0.4,1739.2,362.8
78,-820.2,-1178.6,794.4,4,DAO_left,0.8,9,2,7,158.0,0.4,2021.4,408.2
79,-315.4,-982.2,1541.6,66,DAO_left,0.8,11,3,8,174.8,0.5,2084.3,380.9
80,-366.4,-875.1,948.2,69,DAO_left,0.8,11,2,8,166.5,0.4,1815.3,424.5
81,-431.5,-928.8,1113.6,73,DAO_left,0.8,9,1,8,142.2,0.4,2096.9,384.0
82,-764.0,-1084.0,789.3,34,DAO_left,0.8,9,2,7,107.5,0.3,1442.9,363.9
83,-647.0,-1086.8,1197.8,9,DAO_left,0.8,10,3,7,122.8,0.3,1700.3,371.8
84,-697.3,-1097.3,1100.4,39,DAO_left,0.8,9,2,7,147.4,0.5,1967.9,305.7
85,-800.5,-1205.2,891.1,52,DAO_left,0.8,10,1,9,150.4,0.4,2250.0,361.6
86,-866.5,-1169.0,1207.9,55,DAO_left,0.8,13,2,11,176.2,0.4,3855.5,432.0
87,-756.3,-1190.9,819.2,4,DAO_left,0.8,9,3,6,117.1,0.3,1614.5,349.8
88,-697.6,-1173.1,1724.7,24,DAO_left,0.8,10,3,7,106.3,0.3,1779.8,391.5
89,-420.2,-862.0,764.0,6,DAO_left,0.8,10,2,8,169.3,0.4,2824.2,379.5
90,-522.9,-958.3,1189.8,56,DAO_left,0.8,9,3,6,165.5,0.4,2144.0,447.1
91,-449.8,-980.1,1336.9,23,DAO_left,0.8,12,3,9,148.1,0.3,2553.3,461.3
92,-838.2,-1218.1,1141.9,55,DAO_left,0.8,10,4,6,142.5,0.4,2182.1,340.0
