gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-96.4,-666.1,603.0,72,PO_left,0.5,7,3,4,162.8,0.4,1994.9,459.7
1,-272.7,-1071.5,1681.1,64,PO_left,0.5,8,1,7,103.8,0.3,1832.1,337.1
2,-291.0,-1081.1,1575.8,43,PO_left,0.5,3,1,2,52.6,0.4,320.5,123.7
3,-130.4,-862.6,1285.8,0,PO_left,0.5,9,2,6,149.4,0.4,1855.3,386.7
4,-53.5,-918.9,1353.5,58,PO_left,0.5,11,1,10,154.1,0.4,2180.1,417.9
5,-43.5,-887.2,1525.3,29,PO_left,0.5,10,1,9,190.0,0.4,2106.1,432.6
6,-563.2,-1136.5,1260.5,66,PO_left,0.5,8,3,5,153.1,0.4,1928.3,394.4
7,-124.2,-918.5,1238.9,13,PO_left,0.5,9,2,7,141.5,0.3,2536.9,413.3
8,-330.4,-1101.6,1563.8,43,PO_left,0.5,9,2,7,168.5,0.4,1807.7,383.9
9,-279.6,-1086.1,1391.0,57,PO_left,0.5,9,1,8,197.3,0.4,2359.0,483.3
10,-638.9,-1196.5,1266.8,19,PO_left,0.5,10,1,9,103.9,0.3,1504.9,346.6
11,-680.8,-1246.9,940.9,48,PO_left,0.5,8,4,3,105.9,0.4,913.2,247.9
12,-630.0,-1170.6,1279.6,19,PO_left,0.5,12,3,9,137.0,0.4,2527.8,342.5
13,-80.8,-686.9,472.5,54,PO_left,0.5,8,4,4,148.9,0.4,1836.6,360.2
14,-3.4,-595.8,459.2,1,PO_left,0.5,8,2,6,187.4,0.5,2179.8,394.4
15,-96.9,-913.5,1543.5,29,PO_left,0.5,9,1,8,175.2,0.4,1932.1,408.5
16,-631.2,-1168.8,1005.5,4,PO_left,0.5,8,2,6,107.0,0.3,1217.9,346.8
17,-527.8,-1118.5,1179.6,47,PO_left,0.5,10,1,9,126.2,0.4,1646.5,352.4
18,-143.6,-944.8,1159.2,17,PO_left,0.5,12,1,11,167.8,0.4,2487.2,426.5
19,-635.5,-1161.9,1229.2,19,PO_left,0.5,10,4,6,113.2,0.3,2109.4,391.6
20,-177.6,-942.8,1295.6,37,PO_left,0.5,11,1,10,139.1,0.3,2616.7,405.7
21,-681.9,-1224.3,1447.3,33,PO_left,0.5,11,1,10,123.7,0.3,1919.4,398.3
22,-617.1,-1251.9,1051.9,42,PO_left,0.5,9,1,8,162.2,0.4,2816.6,429.4
23,-666.2,-1212.7,1050.7,40,PO_left,0.5,9,2,7,181.0,0.4,1880.9,447.0
24,-150.0,-1021.7,1586.5,5,PO_left,0.5,9,3,6,113.6,0.3,1513.3,407.8
25,-102.6,-696.8,598.8,72,PO_left,0.5,11,3,8,177.0,0.4,2808.3,432.5
26,-76.7,-935.0,1344.3,58,PO_left,0.5,10,3,7,149.8,0.3,2721.9,444.2
27,-477.7,-1060.5,1234.6,53,PO_left,0.5,8,4,4,94.3,0.3,1492.9,305.5
28,-522.0,-1108.5,1335.9,62,PO_left,0.5,8,2,6,157.5,0.4,1932.7,445.6
29,-176.9,-901.2,1148.1,17,PO_left,0.5,8,3,4,90.1,0.3,833.8,269.5
30,-69.6,-657.4,643.2,45,PO_left,0.5,7,3,4,159.6,0.5,1521.5,354.0
31,-289.3,-1117.7,1686.7,64,PO_left,0.5,11,1,10,172.6,0.5,2628.0,349.7
32,-640.5,-1155.7,1232.4,19,PO_left,0.5,11,4,7,136.6,0.4,2577.0,373.0
33,-510.6,-1062.4,1003.2,69,PO_left,0.5,9,2,6,132.8,0.4,1311.4,363.7
34,-60.8,-667.1,897.3,23,PO_left,0.5,7,1,6,124.9,0.3,1076.0,363.0
35,-77.4,-589.1,194.4,9,PO_left,0.5,9,1,8,108.0,0.3,1198.8,317.8
36,-88.9,-701.4,674.1,45,PO_left,0.5,9,2,7,153.1,0.3,3198.3,466.6
37,-91.0,-1012.5,1698.8,14,PO_left,0.5,9,3,6,173.9,0.4,2684.0,461.3
38,-184.1,-1034.0,1352.5,25,PO_left,0.5,9,3,6,123.8,0.3,2437.5,399.8
39,-411.4,-1054.7,1567.8,20,PO_left,0.5,11,2,9,166.0,0.4,2927.3,408.6
40,-362.8,-1087.5,1686.1,16,PO_left,0.5,10,1,9,145.2,0.4,2495.9,414.6
41,-101.7,-929.4,1478.4,29,PO_left,0.5,10,3,7,140.6,0.4,1919.0,386.4
42,-705.8,-1198.8,983.7,48,PO_left,0.5,10,1,9,124.9,0.3,1443.6,401.8
43,-21.2,-934.7,1607.6,10,PO_left,0.5,9,1,8,186.0,0.4,2330.7,415.2
44,-650.2,-1160.5,838.9,7,PO_left,0.5,9,2,7,165.3,0.4,2003.9,401.2
45,-660.7,-1164.9,1217.7,19,PO_left,0.5,10,2,8,130.2,0.4,2331.4,361.7
46,-508.0,-1065.7,1198.7,66,PO_left,0.5,10,3,6,156.8,0.4,1618.3,370.8
47,-181.9,-878.3,1030.8,28,PO_left,0.5,11,2,9,140.8,0.4,2234.1,354.0
48,-258.0,-993.8,1099.6,34,PO_left,0.5,9,2,6,166.9,0.5,2031.6,363.3
49,-459.8,-1047.4,1150.1,41,PO_left,0.5,11,3,8,102.5,0.3,1547.1,303.6
50,-57.8,-881.8,1681.2,27,PO_left,0.5,8,4,4,174.9,0.4,1612.6,464.2
51,-110.8,-696.0,517.2,54,PO_left,0.5,9,2,6,156.9,0.4,1360.2,393.6
52,-99.8,-838.5,1232.8,51,PO_left,0.5,11,3,8,133.3,0.3,2576.7,387.5
