gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-756.3,-1190.9,819.2,4,DAO_left,0.1,4,2,2,129.6,0.4,779.1,319.9
1,-659.7,-1106.2,1054.8,10,DAO_left,0.1,11,1,10,186.5,0.5,1762.4,403.5
2,-555.9,-1052.7,1509.1,54,DAO_left,0.1,3,1,2,63.8,0.2,595.2,347.8
3,-730.8,-1127.4,1016.2,39,DAO_left,0.1,6,1,4,83.9,0.2,1003.0,431.9
4,-476.2,-932.4,755.5,64,DAO_left,0.1,7,1,6,153.7,0.4,1647.7,368.3
5,-420.2,-862.0,764.0,6,DAO_left,0.1,10,2,8,141.3,0.4,2654.1,393.7
6,-964.8,-1201.1,1067.4,3,DAO_left,0.1,9,3,6,175.3,0.4,1926.3,424.6
7,-570.1,-1004.5,1278.2,1,DAO_left,0.1,10,2,7,121.5,0.3,2177.3,403.3
8,-718.1,-1187.2,1685.4,24,DAO_left,0.1,7,1,6,140.0,0.3,1415.0,407.6
9,-562.5,-1078.6,1548.2,17,DAO_left,0.1,8,2,6,162.3,0.4,2112.7,393.9
10,-626.0,-1072.9,1171.1,9,DAO_left,0.1,11,1,10,165.1,0.5,1894.0,359.7
11,-697.6,-1173.1,1724.7,24,DAO_left,0.1,10,2,7,144.9,0.4,1776.8,361.8
12,-404.2,-1000.4,1626.7,70,DAO_left,0.1,11,2,9,165.7,0.4,2577.3,388.4
13,-658.7,-1118.9,1333.9,33,DAO_left,0.1,9,2,7,146.1,0.3,2349.3,445.7
14,-607.4,-1060.4,1386.9,37,DAO_left,0.1,10,4,6,145.1,0.3,2482.3,415.1
15,-782.0,-1158.9,1163.0,8,DAO_left,0.1,10,2,8,152.7,0.4,2715.9,424.3
16,-451.9,-1042.7,1697.1,43,DAO_left,0.1,9,3,6,107.8,0.3,1623.6,313.6
17,-394.3,-885.5,1020.7,69,DAO_left,0.1,7,2,5,111.7,0.3,1781.7,438.2
18,-473.0,-964.3,1270.9,74,DAO_left,0.1,11,4,7,141.1,0.4,2612.3,383.7
19,-706.5,-1121.1,1092.3,39,DAO_left,0.1,11,1,10,146.9,0.3,3005.3,438.6
20,-692.4,-1105.1,956.4,15,DAO_left,0.1,13,1,11,135.6,0.3,2176.5,426.3
21,-890.0,-1238.9,1048.0,3,DAO_left,0.1,10,1,9,125.9,0.3,2154.3,400.5
22,-934.4,-1211.8,870.5,59,DAO_left,0.1,10,3,7,185.9,0.4,2966.0,457.8
23,-876.5,-1235.5,1424.6,35,DAO_left,0.1,12,1,11,112.4,0.3,2986.3,420.1
24,-954.1,-1197.8,1012.6,19,DAO_left,0.1,9,2,7,155.8,0.4,2080.0,398.2
25,-802.3,-1142.6,1119.4,8,DAO_left,0.1,11,2,8,147.5,0.4,2191.4,356.4
26,-399.2,-950.1,953.1,69,DAO_left,0.1,8,1,7,149.7,0.4,1266.3,388.3
27,-670.9,-1062.7,1128.3,9,DAO_left,0.1,10,3,7,106.3,0.3,2059.3,351.2
28,-760.4,-1187.7,1002.5,52,DAO_left,0.1,13,2,11,122.9,0.3,3348.1,428.1
29,-879.8,-1138.5,985.2,30,DAO_left,0.1,8,1,7,174.1,0.4,2365.5,422.6
30,-587.6,-992.7,1035.2,27,DAO_left,0.1,11,3,7,152.5,0.3,3026.0,458.5
31,-952.5,-1206.5,1001.0,19,DAO_left,0.1,9,1,7,105.3,0.3,1626.9,357.9
32,-722.6,-1087.8,1089.4,39,DAO_left,0.1,12,2,10,158.0,0.4,2792.0,409.3
33,-536.5,-1031.0,1315.9,1,DAO_left,0.1,11,3,8,160.1,0.4,2747.6,375.1
34,-737.3,-1161.0,1674.0,61,DAO_left,0.1,9,2,7,155.8,0.4,2103.9,382.3
35,-844.3,-1239.3,904.0,59,DAO_left,0.1,10,3,7,133.7,0.3,1980.5,386.8
36,-687.6,-1183.8,1726.5,24,DAO_left,0.1,7,3,4,96.2,0.3,1617.3,326.8
