gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-101.6,-725.9,249.4,39,MAO_left,0.5,12,1,11,173.9,0.5,1975.5,362.3
1,-22.8,-911.1,1191.2,62,MAO_left,0.5,1,1,0,17.3,0.9,19.2,19.2
2,-244.3,-964.4,435.4,30,MAO_left,0.5,8,2,6,158.0,0.4,1914.3,364.8
3,-475.8,-1082.3,245.4,10,MAO_left,0.5,10,2,7,233.7,0.5,2588.0,428.5
4,-256.6,-1022.9,615.8,47,MAO_left,0.5,9,2,7,203.0,0.4,2673.2,472.9
5,-88.4,-834.9,624.9,7,MAO_left,0.5,10,2,7,129.0,0.3,2072.3,422.3
6,-23.7,-916.1,841.2,11,MAO_left,0.5,11,2,8,191.2,0.4,2749.2,454.7
7,-695.2,-1096.5,521.2,8,MAO_left,0.5,1,1,0,18.4,0.5,38.5,38.5
8,-382.2,-969.7,205.1,26,MAO_left,0.5,12,1,11,163.6,0.4,3030.2,439.4
9,-80.3,-751.4,221.1,39,MAO_left,0.5,11,1,10,154.6,0.3,2823.4,448.3
10,-62.5,-734.1,779.2,52,MAO_left,0.5,9,2,7,94.7,0.2,1770.8,396.1
11,7.7,-941.9,1086.1,62,MAO_left,0.5,13,1,12,199.0,0.5,2389.0,415.4
12,-13.9,-776.6,732.9,49,MAO_left,0.5,12,2,9,188.6,0.5,2662.8,410.1
13,-498.7,-1055.2,32.6,45,MAO_left,0.5,11,2,8,229.3,0.5,1891.7,419.8
14,-171.1,-942.5,642.2,34,MAO_left,0.5,9,2,6,175.2,0.4,1598.1,401.8
15,-47.2,-1052.6,1255.7,24,MAO_left,0.5,9,2,7,139.0,0.3,1699.7,423.2
16,-487.4,-1148.1,666.1,19,MAO_left,0.5,10,3,7,160.5,0.4,1926.9,361.4
17,-796.1,-1045.5,199.7,57,MAO_left,0.5,11,1,10,174.5,0.4,2225.6,410.0
18,-421.5,-941.7,442.5,22,MAO_left,0.5,8,2,6,153.4,0.4,2540.0,422.1
19,-569.0,-1017.0,5.9,36,MAO_left,0.5,11,5,4,117.1,0.3,2259.5,434.7
20,-726.5,-1099.3,169.9,6,MAO_left,0.5,10,1,9,167.7,0.4,2378.1,442.0
21,-83.8,-769.1,573.0,68,MAO_left,0.5,8,3,5,186.8,0.5,2155.2,406.9
22,-406.8,-1043.5,491.3,63,MAO_left,0.5,12,2,9,179.6,0.4,3079.5,407.8
23,-115.2,-1078.3,1162.5,67,MAO_left,0.5,7,1,6,159.8,0.4,2018.6,393.2
24,-152.0,-840.5,542.4,60,MAO_left,0.5,10,1,9,123.2,0.4,2270.1,341.0
25,-225.7,-1032.3,813.1,13,MAO_left,0.5,10,2,8,177.2,0.4,3114.0,464.1
26,-133.4,-1063.2,976.2,55,MAO_left,0.5,12,3,7,160.1,0.3,2494.2,464.2
27,-115.0,-1076.2,1507.6,21,MAO_left,0.5,9,2,7,161.7,0.4,2719.4,401.4
28,-87.8,-814.3,636.9,7,MAO_left,0.5,11,1,10,194.1,0.5,2936.0,420.4
29,-39.0,-940.9,1271.6,24,MAO_left,0.5,11,2,9,167.1,0.4,2607.8,475.6
30,-43.3,-908.2,291.6,54,MAO_left,0.5,11,2,9,149.1,0.3,2881.4,438.5
31,-757.2,-1066.7,244.2,14,MAO_left,0.5,8,2,6,143.3,0.3,1845.1,440.8
32,-161.9,-1077.8,1243.3,37,MAO_left,0.5,10,1,9,123.8,0.3,1480.6,360.1
33,-44.3,-783.5,651.2,49,MAO_left,0.5,10,3,7,169.9,0.4,2759.6,380.5
