gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-527.8,-1118.5,1179.6,47,PO_left,0.3,10,1,9,147.7,0.4,1441.1,343.9
1,-291.0,-1081.1,1575.8,43,PO_left,0.3,3,1,2,42.3,0.4,194.9,101.4
2,-564.2,-1080.0,1023.5,69,PO_left,0.3,13,1,12,190.1,0.4,2125.5,435.6
3,-126.1,-927.6,1392.1,30,PO_left,0.3,11,3,8,149.1,0.4,3327.5,414.8
4,-184.1,-1034.0,1352.5,25,PO_left,0.3,12,4,8,119.4,0.3,3046.4,431.2
5,-631.7,-1256.9,1265.4,49,PO_left,0.3,11,2,9,146.9,0.4,2098.1,419.0
6,-529.9,-1119.5,1162.0,47,PO_left,0.3,10,2,8,148.6,0.5,1179.6,321.6
7,-301.8,-1084.8,1308.5,18,PO_left,0.3,11,2,9,183.0,0.5,2468.6,404.9
8,-569.4,-1127.6,1169.6,47,PO_left,0.3,11,4,7,154.0,0.3,3355.5,445.0
9,-119.1,-884.9,1513.7,29,PO_left,0.3,7,1,6,105.9,0.3,1298.1,327.4
10,-373.1,-1124.6,1545.2,20,PO_left,0.3,9,2,7,150.2,0.4,2147.6,383.8
11,-405.0,-1132.3,1547.9,20,PO_left,0.3,11,4,7,177.1,0.4,2621.7,418.7
12,-658.9,-1228.0,1158.4,73,PO_left,0.3,11,2,9,214.4,0.5,3101.7,459.0
13,-432.5,-1142.5,1189.5,8,PO_left,0.3,8,2,6,140.1,0.5,1312.4,296.4
14,-21.5,-558.5,516.8,1,PO_left,0.3,8,2,6,205.3,0.5,1923.5,420.6
15,-705.8,-1198.8,983.7,48,PO_left,0.3,10,1,8,159.3,0.4,1642.7,439.6
16,-85.7,-687.1,886.4,23,PO_left,0.3,7,2,5,122.4,0.4,1212.3,326.3
17,-400.6,-1008.8,1229.4,53,PO_left,0.3,10,1,8,123.8,0.3,1982.4,393.3
18,-46.7,-954.6,1397.6,58,PO_left,0.3,9,1,8,192.8,0.5,1950.1,419.4
19,-462.9,-1190.2,1064.6,22,PO_left,0.3,11,2,9,114.4,0.3,2078.6,419.0
20,-459.8,-1047.4,1150.1,41,PO_left,0.3,11,2,9,113.6,0.3,1790.4,396.3
21,-76.7,-935.0,1344.3,58,PO_left,0.3,10,2,8,189.8,0.5,2448.1,370.5
22,-443.3,-1019.3,1238.0,53,PO_left,0.3,8,2,6,126.8,0.4,1474.1,323.3
23,-247.6,-1088.5,1582.7,43,PO_left,0.3,11,2,9,192.2,0.5,2406.4,394.0
24,-331.4,-1051.9,1058.8,55,PO_left,0.3,10,4,6,182.6,0.4,1938.5,418.5
25,-37.7,-829.0,1152.9,36,PO_left,0.3,12,2,10,144.5,0.3,2028.0,429.2
26,-72.4,-855.1,1549.4,29,PO_left,0.3,11,2,9,143.2,0.4,2060.6,395.2
27,-279.6,-1086.1,1391.0,57,PO_left,0.3,9,1,8,175.4,0.4,2096.7,498.6
28,-232.6,-1053.2,1578.6,43,PO_left,0.3,10,1,9,127.5,0.3,2352.0,418.0
29,-96.9,-913.5,1543.5,29,PO_left,0.3,9,1,8,153.4,0.4,1514.1,373.9
30,-399.9,-1112.8,1152.7,68,PO_left,0.3,9,3,6,202.5,0.4,2550.4,479.1
31,-300.7,-1128.3,1647.0,16,PO_left,0.3,8,2,5,128.8,0.4,1387.5,339.8
32,-102.1,-1028.1,1683.6,74,PO_left,0.3,11,5,6,147.7,0.3,2019.5,439.6
33,-252.9,-1059.0,1329.5,25,PO_left,0.3,13,4,9,172.7,0.4,2595.2,388.5
34,-217.1,-1019.4,1658.0,64,PO_left,0.3,7,1,6,217.1,0.5,1743.8,434.9
35,-501.9,-1072.0,934.8,15,PO_left,0.3,9,1,8,129.6,0.4,1573.2,305.3
36,-55.2,-1018.0,1727.5,14,PO_left,0.3,10,1,9,174.7,0.5,1150.0,318.1
37,-223.0,-1025.1,1582.2,43,PO_left,0.3,11,2,9,189.7,0.4,2584.4,424.2
38,-680.8,-1246.9,940.9,48,PO_left,0.3,8,3,5,160.4,0.4,1846.1,388.9
39,-138.6,-885.9,1476.1,29,PO_left,0.3,10,2,8,148.6,0.4,1868.0,406.7
40,-619.0,-1262.9,1078.2,26,PO_left,0.3,11,1,10,171.2,0.5,1785.2,345.5
41,-43.1,-964.3,1611.0,10,PO_left,0.3,10,2,8,115.5,0.3,2437.2,376.0
42,-171.1,-704.1,756.2,44,PO_left,0.3,11,1,10,181.3,0.5,1462.4,375.3
43,-67.5,-897.5,1634.2,27,PO_left,0.3,11,3,8,122.3,0.3,2270.2,427.6
44,-666.0,-1235.7,1103.0,40,PO_left,0.3,13,3,9,168.5,0.4,2509.9,375.5
45,-579.4,-1103.5,1133.7,47,PO_left,0.3,12,3,8,164.7,0.4,2942.7,442.3
46,-538.9,-1091.0,1089.1,41,PO_left,0.3,9,3,6,174.1,0.4,2366.6,415.5
47,-116.3,-896.8,1117.7,17,PO_left,0.3,9,2,7,130.9,0.3,2204.1,459.6
48,-486.6,-1047.0,1440.2,61,PO_left,0.3,10,1,9,165.0,0.4,2323.9,414.9
49,-625.4,-1154.4,1219.6,19,PO_left,0.3,11,2,9,138.9,0.3,2378.4,487.8
50,-499.7,-1102.6,1607.9,20,PO_left,0.3,10,3,7,199.2,0.4,1675.2,460.9
51,-564.8,-1286.5,1072.7,26,PO_left,0.3,1,1,0,7.5,1.0,7.5,7.5
52,-487.5,-1065.3,1127.4,41,PO_left,0.3,8,3,5,158.4,0.4,1447.4,406.1
53,-378.5,-1108.7,1047.9,55,PO_left,0.3,10,1,9,184.8,0.5,1727.6,364.2
54,-568.4,-1185.6,1618.5,70,PO_left,0.3,13,2,10,193.7,0.5,2085.8,413.3
55,-707.2,-1182.6,1005.2,4,PO_left,0.3,13,2,9,172.1,0.4,2493.0,414.2
56,-164.7,-975.3,1710.0,74,PO_left,0.3,8,2,6,133.1,0.3,1644.9,392.7
57,-61.9,-635.3,592.9,50,PO_left,0.3,10,2,8,161.4,0.4,3069.9,410.0
58,-258.4,-1014.4,1046.4,34,PO_left,0.3,9,2,7,149.5,0.4,1649.1,401.9
59,-303.6,-1071.3,1460.0,57,PO_left,0.3,12,2,10,160.7,0.4,1754.8,374.1
60,-560.5,-1119.0,1243.6,66,PO_left,0.3,7,1,6,132.6,0.4,1557.6,370.9
61,-638.9,-1196.5,1266.8,19,PO_left,0.3,10,1,9,130.1,0.4,2140.4,365.3
62,-107.8,-857.4,1122.8,36,PO_left,0.3,11,3,8,146.4,0.3,2404.1,433.5
63,-120.9,-868.4,1321.3,0,PO_left,0.3,8,3,5,142.1,0.3,1884.0,419.8
64,-616.4,-1240.0,893.1,65,PO_left,0.3,11,1,10,177.5,0.4,2614.7,438.1
65,-646.7,-1219.5,887.0,65,PO_left,0.3,10,1,9,137.2,0.3,2196.8,399.8
66,-139.0,-963.3,1572.0,10,PO_left,0.3,9,1,8,155.1,0.3,2243.3,461.9
67,-127.0,-911.6,1198.4,13,PO_left,0.3,8,3,5,169.2,0.4,2292.2,436.1
68,-107.1,-702.6,777.4,11,PO_left,0.3,10,4,6,166.0,0.4,2839.4,421.4
69,-674.5,-1252.1,1360.0,33,PO_left,0.3,9,2,7,173.3,0.4,2126.5,402.1
70,-330.4,-1101.6,1563.8,43,PO_left,0.3,9,2,7,173.0,0.5,1829.2,353.3
71,-650.2,-1160.5,838.9,7,PO_left,0.3,9,2,7,175.1,0.4,1743.8,391.4
72,-414.9,-1074.4,1566.8,20,PO_left,0.3,10,4,6,93.1,0.3,1459.5,319.1
73,-150.0,-1021.7,1586.5,5,PO_left,0.3,9,3,6,110.6,0.3,1502.1,402.9
74,-44.9,-797.1,1180.6,51,PO_left,0.3,9,2,7,119.9,0.4,1472.3,339.3
75,-426.3,-1140.8,1116.7,22,PO_left,0.3,8,4,4,111.0,0.4,1232.7,274.5
76,-674.8,-1264.2,1166.4,73,PO_left,0.3,10,2,8,156.1,0.4,2605.5,442.3
77,-409.8,-1032.8,1051.9,55,PO_left,0.3,11,2,9,185.8,0.5,2231.8,402.2
78,-181.0,-990.4,1421.8,30,PO_left,0.3,11,2,9,169.5,0.4,2916.3,436.6
79,-67.7,-614.9,423.0,31,PO_left,0.3,9,1,7,126.7,0.4,1280.9,306.7
80,-102.6,-968.1,1720.5,14,PO_left,0.3,9,2,7,113.5,0.3,1846.7,338.4
81,-515.2,-1070.7,1279.0,66,PO_left,0.3,10,3,7,141.1,0.4,2465.1,388.8
82,-140.7,-957.7,1711.8,74,PO_left,0.3,11,1,10,173.1,0.4,3183.7,427.2
83,-499.1,-1203.2,1062.2,22,PO_left,0.3,9,1,8,149.5,0.4,1889.5,388.7
84,-21.2,-934.7,1607.6,10,PO_left,0.3,9,2,7,123.2,0.3,1680.2,407.7
85,-247.9,-1110.8,1678.2,64,PO_left,0.3,12,3,8,120.3,0.3,2512.7,371.9
86,-470.4,-1084.3,1145.0,41,PO_left,0.3,10,1,9,182.2,0.5,2481.5,396.4
87,-353.6,-1073.8,1302.0,18,PO_left,0.3,11,4,7,132.2,0.3,1848.0,400.8
88,-481.5,-1103.4,1607.0,20,PO_left,0.3,11,3,8,216.7,0.5,2827.5,450.9
89,-652.0,-1274.3,1027.2,42,PO_left,0.3,12,2,9,157.8,0.4,3018.8,397.3
90,-90.6,-948.1,1691.8,14,PO_left,0.3,11,2,9,148.4,0.4,2100.3,347.2
91,-106.4,-885.9,1205.4,13,PO_left,0.3,9,1,8,142.6,0.4,1745.4,353.3
92,-96.4,-680.3,531.2,54,PO_left,0.3,11,2,9,145.3,0.4,2168.2,384.9
93,-633.4,-1253.4,1042.2,42,PO_left,0.3,12,2,10,183.8,0.4,3046.3,455.6
94,-593.4,-1179.4,1152.0,47,PO_left,0.3,10,3,7,142.6,0.3,2236.8,426.3
95,-590.4,-1115.0,890.3,15,PO_left,0.3,9,1,8,153.0,0.4,1687.8,400.6
96,-390.9,-1106.3,1288.0,18,PO_left,0.3,10,1,9,186.0,0.4,2823.6,452.9
97,-522.2,-1124.5,1577.6,32,PO_left,0.3,9,2,7,147.8,0.4,2115.2,345.6
98,-457.9,-1143.4,1610.1,20,PO_left,0.3,8,2,6,156.0,0.4,1826.3,438.3
99,-657.5,-1285.7,957.9,42,PO_left,0.3,9,2,7,145.3,0.4,1768.2,366.7
100,-581.7,-1185.3,1137.4,47,PO_left,0.3,11,3,8,212.4,0.5,3492.2,439.8
101,-163.8,-943.6,1502.9,5,PO_left,0.3,11,2,9,130.7,0.3,2190.5,410.5
102,-670.8,-1189.2,1348.9,33,PO_left,0.3,11,1,10,143.3,0.3,2518.2,437.5
103,-317.2,-1044.2,1209.6,63,PO_left,0.3,9,2,7,148.6,0.4,1885.6,354.5
104,-46.4,-845.4,1469.3,29,PO_left,0.3,8,2,6,191.9,0.5,2240.0,406.5
105,-374.4,-1087.7,1442.1,57,PO_left,0.3,9,3,6,207.2,0.5,1991.1,431.7
106,-628.1,-1274.3,1027.6,42,PO_left,0.3,10,2,8,145.9,0.3,2524.9,458.3
107,-33.0,-559.2,524.5,1,PO_left,0.3,11,5,6,171.1,0.5,2037.5,378.4
108,-559.3,-1081.4,1136.5,41,PO_left,0.3,10,1,9,142.9,0.3,2760.4,441.7
109,-120.8,-800.5,950.0,67,PO_left,0.3,9,3,6,111.6,0.3,1778.5,356.2
110,-353.1,-1050.2,1089.3,55,PO_left,0.3,9,2,7,184.8,0.5,2486.7,408.6
111,-57.8,-881.8,1681.2,27,PO_left,0.3,8,3,5,165.0,0.4,2153.8,425.9
112,-571.5,-1121.8,1137.9,47,PO_left,0.3,7,1,6,170.0,0.4,1989.1,423.5
113,-85.0,-958.2,1683.8,14,PO_left,0.3,11,1,10,183.2,0.4,2954.4,470.8
114,-330.9,-1123.9,1739.5,16,PO_left,0.3,8,3,5,147.6,0.4,1815.2,386.4
115,-30.7,-595.1,309.4,31,PO_left,0.3,11,1,10,155.4,0.5,1569.4,312.1
116,-150.4,-742.0,878.7,67,PO_left,0.3,11,2,9,122.9,0.3,2740.9,385.6
117,-176.9,-901.2,1148.1,17,PO_left,0.3,8,4,4,86.8,0.3,1464.1,263.6
118,-367.9,-1097.6,1167.3,68,PO_left,0.3,11,1,10,150.8,0.5,2089.8,303.6
119,-43.5,-887.2,1525.3,29,PO_left,0.3,10,1,9,146.2,0.3,2222.8,427.6
120,-420.9,-1028.0,1216.0,53,PO_left,0.3,9,2,7,94.1,0.3,1767.0,347.4
121,-450.3,-1138.6,933.1,15,PO_left,0.3,9,3,5,156.3,0.5,1815.8,290.9
122,-376.5,-1117.0,1580.5,20,PO_left,0.3,8,3,5,131.9,0.4,1347.3,373.7
123,-453.0,-1147.2,916.0,15,PO_left,0.3,11,3,8,172.4,0.4,2890.8,403.4
124,-56.7,-681.9,610.6,72,PO_left,0.3,11,3,8,210.5,0.4,3078.9,470.9
125,-91.8,-921.5,1197.8,13,PO_left,0.3,8,1,7,170.3,0.4,2491.2,421.9
126,-88.3,-998.3,1594.6,10,PO_left,0.3,13,3,10,156.0,0.4,2919.1,377.3
127,-131.9,-1031.9,1506.5,5,PO_left,0.3,10,1,9,154.0,0.3,1702.3,455.8
128,-403.4,-1137.8,1623.6,20,PO_left,0.3,10,2,8,131.5,0.3,1755.7,386.1
129,-565.3,-1229.8,1302.8,38,PO_left,0.3,11,3,7,183.1,0.4,2525.6,451.8
130,-104.3,-688.2,654.8,45,PO_left,0.3,8,2,5,147.9,0.4,1537.7,380.8
131,-652.8,-1220.8,1018.0,4,PO_left,0.3,12,2,10,114.7,0.3,3096.0,445.3
132,-49.2,-920.1,1328.6,58,PO_left,0.3,12,5,7,146.6,0.4,2461.9,350.7
133,-313.4,-1137.2,1666.4,16,PO_left,0.3,9,2,7,154.7,0.4,1624.1,347.7
134,-83.2,-945.1,1625.3,10,PO_left,0.3,12,4,8,159.6,0.6,2227.2,283.3
135,-555.7,-1153.9,1123.9,47,PO_left,0.3,11,1,10,180.5,0.4,3386.3,454.7
136,-666.2,-1212.7,1050.7,40,PO_left,0.3,10,2,8,164.3,0.4,1792.8,413.5
137,-594.2,-1144.7,767.1,7,PO_left,0.3,11,1,10,135.0,0.4,2324.8,349.3
138,-458.3,-1069.0,1235.7,53,PO_left,0.3,11,4,7,144.2,0.3,3068.5,438.7
139,-148.1,-923.2,1605.8,3,PO_left,0.3,10,2,8,144.3,0.3,3017.7,447.7
140,-368.0,-1073.4,1097.7,55,PO_left,0.3,10,4,6,226.6,0.6,2083.6,411.8
141,-430.1,-1124.9,1613.8,20,PO_left,0.3,8,2,6,179.2,0.5,1867.2,379.7
142,-658.8,-1182.3,1105.9,40,PO_left,0.3,8,3,5,207.2,0.5,1900.9,386.0
143,-199.8,-1104.2,1735.9,60,PO_left,0.3,8,2,5,89.9,0.3,1128.4,350.2
144,-30.2,-859.0,1617.3,27,PO_left,0.3,9,3,6,187.7,0.4,2468.0,450.4
145,-137.9,-999.1,1318.6,37,PO_left,0.3,11,1,10,163.7,0.4,2853.2,425.4
146,-95.2,-902.7,1561.8,10,PO_left,0.3,10,2,8,179.2,0.4,2657.1,453.9
147,-660.7,-1164.9,1217.7,19,PO_left,0.3,10,2,8,163.3,0.5,2059.1,335.4
148,-693.4,-1233.2,1396.4,33,PO_left,0.3,10,2,8,178.1,0.5,1779.7,387.2
149,-233.7,-1066.0,1528.8,43,PO_left,0.3,8,2,6,173.3,0.5,1334.1,369.3
150,-531.0,-1147.6,1078.7,22,PO_left,0.3,12,1,11,157.6,0.4,2238.1,435.7
151,-371.6,-1121.8,1372.2,18,PO_left,0.3,12,2,10,157.7,0.5,1887.9,338.4
152,-385.0,-1151.9,1635.7,16,PO_left,0.3,10,1,9,113.7,0.3,2034.1,374.6
153,-134.3,-895.3,1370.8,0,PO_left,0.3,9,2,7,177.1,0.4,2937.5,422.6
154,-375.1,-1142.4,1669.2,16,PO_left,0.3,9,1,7,157.3,0.4,2143.9,410.5
155,-34.4,-933.3,1383.1,58,PO_left,0.3,9,4,5,136.0,0.4,2078.0,376.9
156,-149.0,-791.9,841.4,46,PO_left,0.3,10,1,9,192.4,0.5,2549.1,408.0
157,-719.7,-1226.7,984.6,48,PO_left,0.3,10,1,8,158.8,0.4,2095.1,368.0
158,-453.6,-1162.5,1198.4,8,PO_left,0.3,9,2,7,146.0,0.4,2152.3,364.3
159,-494.8,-1179.8,1317.9,62,PO_left,0.3,9,2,6,125.4,0.3,1962.9,397.9
160,-124.1,-955.2,1208.7,13,PO_left,0.3,12,1,11,163.5,0.4,1982.3,405.1
161,-475.8,-1127.6,1568.8,20,PO_left,0.3,11,3,8,172.0,0.4,1594.0,432.6
162,-95.2,-666.0,226.1,9,PO_left,0.3,11,2,8,127.1,0.4,1566.4,337.7
163,-362.8,-1087.5,1686.1,16,PO_left,0.3,10,1,9,136.3,0.3,2226.0,456.3
164,-32.0,-899.1,1595.6,27,PO_left,0.3,8,2,6,189.8,0.5,1524.1,384.7
165,-659.9,-1257.3,1436.4,33,PO_left,0.3,10,2,7,142.5,0.4,1543.2,325.7
166,-532.9,-1254.8,988.3,21,PO_left,0.3,11,1,10,151.8,0.4,3006.7,404.2
167,-79.1,-683.4,768.4,11,PO_left,0.3,10,3,7,193.0,0.4,2101.6,440.2
168,-95.2,-923.9,1559.5,10,PO_left,0.3,11,2,9,110.9,0.3,2241.7,349.9
169,-134.3,-706.3,812.4,11,PO_left,0.3,9,1,8,184.2,0.4,1540.5,453.6
170,-117.1,-649.0,665.4,45,PO_left,0.3,11,2,9,159.8,0.4,2900.3,430.1
171,-611.2,-1195.2,1461.0,35,PO_left,0.3,10,2,8,168.2,0.5,1868.6,367.1
172,-188.3,-1003.1,1490.3,5,PO_left,0.3,9,1,8,115.0,0.3,1854.2,329.4
173,-274.9,-1048.8,1255.8,63,PO_left,0.3,8,3,5,103.8,0.3,1349.8,324.6
174,-634.7,-1236.3,1532.7,39,PO_left,0.3,12,2,10,167.0,0.4,2643.5,396.9
175,-413.7,-1127.3,1021.0,55,PO_left,0.3,8,2,6,190.4,0.4,1578.4,444.2
176,-53.5,-918.9,1353.5,58,PO_left,0.3,11,1,10,200.5,0.5,2913.7,424.2
177,-390.0,-1138.2,1624.5,20,PO_left,0.3,12,5,7,158.3,0.4,3249.8,416.0
