gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-730.8,-1127.4,1016.2,39,DAO_left,0.5,6,1,5,83.9,0.2,1478.9,416.9
1,-725.8,-1144.2,1426.5,28,DAO_left,0.5,8,4,4,132.5,0.4,1995.6,362.5
2,-504.2,-862.6,651.0,42,DAO_left,0.5,12,1,11,170.5,0.4,2836.7,437.9
3,-452.7,-838.5,723.1,6,DAO_left,0.5,12,2,10,158.0,0.4,3333.1,421.7
4,-743.7,-1096.0,1115.8,53,DAO_left,0.5,12,2,10,150.6,0.4,2376.2,377.5
5,-877.9,-1188.8,946.3,59,DAO_left,0.5,9,2,6,102.7,0.2,1642.6,412.6
6,-746.9,-1182.2,1279.5,7,DAO_left,0.5,10,3,7,131.8,0.3,2806.6,388.1
7,-482.9,-877.4,755.3,64,DAO_left,0.5,10,4,6,132.4,0.4,2067.1,370.7
8,-935.5,-1201.3,741.3,46,DAO_left,0.5,9,2,7,137.3,0.4,1584.9,376.7
9,-906.8,-1212.7,1015.9,19,DAO_left,0.5,9,2,7,134.6,0.4,2379.0,372.6
10,-718.1,-1187.2,1685.4,24,DAO_left,0.5,7,1,6,142.7,0.4,1950.9,392.3
11,-709.2,-1037.7,716.6,0,DAO_left,0.5,9,5,4,174.8,0.4,2849.0,423.4
12,-952.5,-1206.5,1001.0,19,DAO_left,0.5,9,1,8,117.7,0.4,1817.2,336.1
13,-687.2,-1134.6,1050.5,39,DAO_left,0.5,10,2,8,159.2,0.4,2074.6,404.3
14,-511.3,-968.7,1210.6,56,DAO_left,0.5,10,4,6,130.8,0.4,1945.9,333.2
15,-632.6,-1089.2,1329.5,33,DAO_left,0.5,11,1,10,142.2,0.4,2400.7,377.4
16,-962.0,-1215.8,1076.7,3,DAO_left,0.5,8,1,7,151.0,0.4,1467.6,365.5
17,-728.9,-1143.7,1480.2,51,DAO_left,0.5,9,1,8,139.9,0.4,1602.1,344.9
18,-357.2,-842.8,777.2,6,DAO_left,0.5,7,3,4,168.6,0.4,1898.6,427.4
19,-251.4,-883.5,1079.6,31,DAO_left,0.5,10,1,9,181.0,0.4,2619.9,445.7
20,-640.4,-1120.0,1514.2,50,DAO_left,0.5,10,2,7,137.4,0.3,2386.5,459.2
21,-890.0,-1238.9,1048.0,3,DAO_left,0.5,10,1,9,139.4,0.3,2202.1,446.2
22,-426.2,-1109.5,1734.2,43,DAO_left,0.5,9,2,6,126.0,0.3,1923.9,380.2
23,-578.3,-1172.9,1708.8,29,DAO_left,0.5,11,2,9,151.8,0.4,2089.6,391.4
24,-486.0,-995.5,1167.9,56,DAO_left,0.5,9,2,7,130.2,0.5,1440.4,278.5
25,-605.1,-1025.5,1354.2,1,DAO_left,0.5,13,2,11,115.4,0.5,1594.8,244.8
26,-764.8,-1204.2,1376.2,7,DAO_left,0.5,11,2,9,142.2,0.4,2422.9,369.6
27,-662.1,-1038.0,743.6,44,DAO_left,0.5,10,2,8,126.1,0.3,2107.7,361.3
28,-493.5,-965.6,1081.7,26,DAO_left,0.5,13,4,9,187.6,0.5,2540.8,395.8
29,-803.3,-1069.0,794.6,34,DAO_left,0.5,10,4,6,177.6,0.4,2745.3,412.4
30,-760.4,-1187.7,1002.5,52,DAO_left,0.5,13,2,11,140.9,0.3,3035.1,416.2
31,-974.2,-1212.5,1025.9,19,DAO_left,0.5,10,2,8,141.9,0.4,1972.1,363.7
32,-288.6,-863.6,1026.9,58,DAO_left,0.5,11,1,10,182.8,0.5,2116.8,372.2
33,-895.9,-1170.7,1034.0,30,DAO_left,0.5,11,1,10,143.7,0.4,2370.3,392.5
34,-228.9,-922.8,1239.0,5,DAO_left,0.5,9,2,7,148.9,0.3,1665.0,434.0
35,-816.1,-1067.6,688.2,63,DAO_left,0.5,11,2,9,144.7,0.3,2641.7,423.4
36,-699.9,-1133.1,866.4,15,DAO_left,0.5,10,1,9,189.5,0.4,2158.9,431.6
37,-488.3,-994.3,1076.9,26,DAO_left,0.5,8,2,6,217.6,0.5,1989.5,435.5
38,-444.5,-920.8,874.2,47,DAO_left,0.5,11,2,9,145.6,0.4,1993.1,383.0
39,-296.4,-1011.5,1548.9,66,DAO_left,0.5,11,2,9,157.3,0.4,2151.4,373.1
40,-498.9,-1099.9,1682.6,16,DAO_left,0.5,11,6,5,107.8,0.4,1844.6,266.1
41,-330.1,-969.6,1555.6,12,DAO_left,0.5,8,3,4,104.3,0.3,1642.3,404.0
42,-528.3,-1015.3,1105.0,26,DAO_left,0.5,10,1,8,129.5,0.3,2263.9,409.0
43,-379.7,-906.2,884.6,45,DAO_left,0.5,8,4,4,152.2,0.4,1602.5,379.7
44,-543.0,-1142.4,1695.9,29,DAO_left,0.5,8,2,6,93.8,0.3,1375.0,282.9
45,-658.7,-1118.9,1333.9,33,DAO_left,0.5,9,2,7,167.4,0.4,1899.7,418.7
46,-722.6,-1087.8,1089.4,39,DAO_left,0.5,12,2,10,132.8,0.4,2109.4,374.4
47,-504.2,-932.8,746.1,64,DAO_left,0.5,8,2,6,91.6,0.2,1581.5,391.8
48,-638.2,-1045.0,1118.7,10,DAO_left,0.5,8,3,5,90.3,0.3,1606.7,329.4
49,-916.9,-1171.6,750.4,22,DAO_left,0.5,11,2,9,117.6,0.3,2379.3,374.4
