gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-641.2,-1132.6,1641.5,29,DAO_left,0.9,1,1,0,7.3,1.0,7.3,7.3
1,-942.2,-1214.6,1096.2,3,DAO_left,0.9,7,2,5,125.9,0.3,1687.8,415.2
2,-504.2,-862.6,651.0,42,DAO_left,0.9,7,1,6,163.5,0.4,1694.3,380.7
3,-343.8,-1036.8,1609.4,2,DAO_left,0.9,9,3,6,92.5,0.3,1406.9,283.0
4,-433.4,-1046.8,1618.7,70,DAO_left,0.9,6,1,4,145.9,0.3,1324.9,423.4
5,-743.7,-1096.0,1115.8,53,DAO_left,0.9,8,1,7,123.1,0.3,1489.9,357.8
6,-724.8,-1065.6,929.7,15,DAO_left,0.9,11,1,10,133.4,0.3,2074.8,383.6
7,-935.9,-1202.8,915.7,59,DAO_left,0.9,10,2,8,111.0,0.3,2392.4,403.2
8,-733.6,-1181.9,1547.2,50,DAO_left,0.9,12,3,9,152.5,0.3,3458.3,465.3
9,-801.4,-1175.4,735.7,4,DAO_left,0.9,10,3,7,114.6,0.3,1926.6,358.6
10,-416.2,-1006.4,1566.6,70,DAO_left,0.9,10,2,8,101.6,0.3,1905.3,395.0
11,-908.5,-1177.8,813.5,46,DAO_left,0.9,11,4,7,164.2,0.4,2614.7,366.9
12,-540.0,-1037.4,1563.8,17,DAO_left,0.9,11,2,9,129.8,0.3,2717.0,427.2
13,-678.6,-1147.5,1687.2,24,DAO_left,0.9,9,1,8,112.0,0.4,1596.8,317.7
14,-555.9,-1052.7,1509.1,54,DAO_left,0.9,9,1,8,78.0,0.2,1487.0,373.3
15,-563.6,-1036.0,1465.2,54,DAO_left,0.9,9,2,7,141.8,0.4,1620.2,325.7
16,-535.4,-913.5,782.0,64,DAO_left,0.9,9,2,7,136.5,0.3,2351.3,463.2
17,-420.2,-862.0,764.0,6,DAO_left,0.9,10,2,8,157.6,0.4,2662.2,391.2
18,-973.5,-1159.8,825.0,46,DAO_left,0.9,11,2,9,149.2,0.3,2801.2,426.7
19,-756.3,-1190.9,819.2,4,DAO_left,0.9,6,3,2,119.7,0.3,1143.0,365.9
20,-320.5,-957.4,1318.2,48,DAO_left,0.9,11,4,7,100.9,0.4,1411.5,259.7
21,-441.3,-952.7,849.4,47,DAO_left,0.9,11,1,10,128.2,0.3,2493.4,406.6
22,-599.5,-994.5,900.6,11,DAO_left,0.9,9,2,7,162.4,0.4,2151.0,361.9
23,-814.5,-1125.9,910.5,52,DAO_left,0.9,8,2,5,129.1,0.3,1457.4,406.1
24,-730.8,-1127.4,1016.2,39,DAO_left,0.9,5,1,3,87.3,0.2,875.1,427.0
25,-726.0,-1154.0,985.1,15,DAO_left,0.9,10,2,8,133.1,0.3,2314.1,445.6
26,-404.2,-1000.4,1626.7,70,DAO_left,0.9,11,2,9,165.7,0.4,2782.9,393.8
27,-536.3,-1046.9,1651.4,16,DAO_left,0.9,8,1,7,161.5,0.4,1714.2,366.5
28,-528.3,-1015.3,1105.0,26,DAO_left,0.9,10,1,9,132.5,0.3,2129.1,386.6
29,-502.6,-910.4,647.2,42,DAO_left,0.9,9,2,7,161.9,0.4,1933.0,377.5
30,-765.3,-1204.2,1464.7,51,DAO_left,0.9,9,3,6,211.8,0.5,1701.9,434.9
31,-687.6,-1183.8,1726.5,24,DAO_left,0.9,10,4,5,87.5,0.3,1743.2,318.2
32,-858.4,-1222.5,1435.9,35,DAO_left,0.9,8,3,5,164.8,0.5,1388.6,353.7
33,-313.8,-963.4,1113.9,71,DAO_left,0.9,8,1,7,126.4,0.3,1341.3,407.9
