gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-291.0,-1081.1,1575.8,43,PO_left,0.2,1,1,0,27.2,0.4,69.4,69.4
1,-529.9,-1119.5,1162.0,47,PO_left,0.2,10,2,8,132.2,0.5,1247.7,290.4
2,-658.9,-1228.0,1158.4,73,PO_left,0.2,11,2,8,227.5,0.5,2182.7,463.4
3,-564.8,-1286.5,1072.7,26,PO_left,0.2,1,1,0,8.9,0.6,15.1,15.1
4,-77.4,-589.1,194.4,9,PO_left,0.2,8,1,7,98.3,0.3,951.2,301.0
5,-538.9,-1091.0,1089.1,41,PO_left,0.2,9,3,6,170.4,0.4,2092.8,462.0
6,-114.8,-852.9,1171.9,36,PO_left,0.2,10,1,9,95.9,0.3,1345.6,330.8
7,-143.6,-944.8,1159.2,17,PO_left,0.2,12,1,9,156.7,0.4,1803.2,412.3
8,-631.7,-1256.9,1265.4,49,PO_left,0.2,10,2,8,152.1,0.3,2134.3,471.0
9,-43.8,-942.0,1404.3,58,PO_left,0.2,8,3,5,130.8,0.3,1775.1,440.7
10,-202.8,-989.2,1265.9,52,PO_left,0.2,12,3,9,120.4,0.3,2702.4,370.7
11,-300.7,-1128.3,1647.0,16,PO_left,0.2,8,2,6,143.5,0.4,1982.6,329.4
12,-566.0,-1109.3,1034.7,69,PO_left,0.2,11,2,9,91.5,0.3,1641.9,289.2
13,-210.4,-888.6,947.9,28,PO_left,0.2,6,1,5,89.2,0.3,1451.9,332.7
14,-107.8,-857.4,1122.8,36,PO_left,0.2,11,4,7,126.9,0.4,1819.4,336.4
15,-539.5,-1124.0,903.7,15,PO_left,0.2,9,2,7,149.2,0.4,2088.5,412.4
16,-28.9,-596.2,427.7,31,PO_left,0.2,10,2,8,179.6,0.4,2165.1,401.7
17,-385.0,-1151.9,1635.7,16,PO_left,0.2,10,1,9,120.3,0.3,1685.5,352.3
18,-96.4,-666.1,603.0,72,PO_left,0.2,7,4,3,142.8,0.4,1580.5,336.6
19,-432.5,-1142.5,1189.5,8,PO_left,0.2,8,2,6,167.3,0.4,2379.7,418.1
