gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-443.9,-1036.0,1599.1,70,DAO_left,0.7,10,2,8,149.6,0.3,2903.7,431.3
1,-536.5,-1031.0,1315.9,1,DAO_left,0.7,9,2,6,159.4,0.5,1564.0,294.8
2,-471.8,-937.4,853.6,47,DAO_left,0.7,12,3,9,119.5,0.3,2286.1,371.8
3,-962.0,-1215.8,1076.7,3,DAO_left,0.7,8,1,7,129.3,0.3,1920.7,390.5
4,-517.8,-991.2,864.6,25,DAO_left,0.7,7,2,5,158.4,0.5,1318.6,320.6
5,-660.7,-1062.8,1124.1,9,DAO_left,0.7,10,2,8,136.3,0.4,1833.3,364.4
6,-539.0,-984.4,1338.2,1,DAO_left,0.7,12,2,9,144.3,0.3,2689.2,412.7
7,-925.9,-1208.0,975.9,19,DAO_left,0.7,10,2,8,126.3,0.3,2335.3,395.5
8,-728.9,-1143.7,1480.2,51,DAO_left,0.7,9,2,7,162.4,0.4,1844.5,423.6
9,-498.6,-893.3,719.0,64,DAO_left,0.7,12,1,11,188.4,0.4,2287.8,423.1
10,-690.9,-1163.3,1501.5,50,DAO_left,0.7,10,3,7,137.1,0.4,2306.5,370.8
11,-916.9,-1171.6,750.4,22,DAO_left,0.7,11,2,9,146.9,0.5,2341.8,312.9
12,-944.3,-1202.7,977.1,19,DAO_left,0.7,10,2,8,142.1,0.4,1951.9,372.3
13,-687.6,-1183.8,1726.5,24,DAO_left,0.7,10,4,6,101.7,0.3,2297.6,402.3
14,-478.8,-963.7,1153.4,73,DAO_left,0.7,10,4,6,172.1,0.4,2554.3,413.8
15,-476.2,-932.4,755.5,64,DAO_left,0.7,7,1,6,105.1,0.3,1324.5,357.3
16,-730.8,-1127.4,1016.2,39,DAO_left,0.7,10,1,8,83.9,0.2,1833.3,409.3
17,-595.3,-1040.9,1485.5,54,DAO_left,0.7,10,1,8,221.7,0.6,1449.1,385.8
18,-404.2,-1000.4,1626.7,70,DAO_left,0.7,11,2,9,159.8,0.4,2357.1,380.9
19,-865.7,-1230.5,1228.4,55,DAO_left,0.7,11,1,10,139.6,0.3,2048.1,436.4
20,-577.6,-1044.7,1345.8,1,DAO_left,0.7,10,1,9,129.4,0.4,1783.9,333.0
21,-455.1,-997.9,1504.6,20,DAO_left,0.7,9,2,7,147.0,0.4,1764.2,380.2
22,-623.4,-1176.4,1694.8,29,DAO_left,0.7,9,3,6,154.1,0.4,1981.3,411.5
23,-902.8,-1239.5,915.8,59,DAO_left,0.7,11,2,8,140.4,0.4,1040.8,391.0
24,-472.0,-959.8,1016.6,18,DAO_left,0.7,10,1,9,197.6,0.5,2410.4,411.9
25,-915.5,-1161.3,780.7,22,DAO_left,0.7,10,3,7,126.5,0.3,1947.7,414.0
26,-743.7,-1096.0,1115.8,53,DAO_left,0.7,9,2,7,169.5,0.4,2165.5,398.9
27,-483.8,-1140.2,1735.8,16,DAO_left,0.7,9,3,6,137.2,0.5,1401.9,267.6
28,-718.1,-1187.2,1685.4,24,DAO_left,0.7,7,1,6,142.7,0.4,2069.0,392.7
29,-801.4,-1175.4,735.7,4,DAO_left,0.7,10,5,5,109.8,0.3,2176.6,334.1
30,-726.5,-1090.7,645.8,63,DAO_left,0.7,7,2,5,174.4,0.4,1954.2,403.1
31,-809.8,-1160.2,676.9,21,DAO_left,0.7,11,3,8,132.2,0.4,2714.6,377.3
32,-935.1,-1224.6,1164.2,62,DAO_left,0.7,12,3,8,144.7,0.4,1924.5,324.5
33,-328.3,-1034.8,1729.8,43,DAO_left,0.7,11,3,7,186.8,0.4,2928.7,432.5
34,-533.1,-956.0,976.6,27,DAO_left,0.7,9,2,7,142.5,0.4,1927.2,324.1
35,-814.1,-1071.6,703.9,63,DAO_left,0.7,9,4,5,124.7,0.3,2680.8,395.4
36,-588.3,-1006.8,1119.2,26,DAO_left,0.7,12,2,10,187.5,0.5,2541.4,395.7
37,-757.0,-1089.3,1062.5,39,DAO_left,0.7,10,1,9,122.3,0.4,1480.6,324.9
38,-578.3,-1172.9,1708.8,29,DAO_left,0.7,11,2,9,148.4,0.4,2156.6,404.7
39,-362.9,-904.4,1221.4,48,DAO_left,0.7,8,2,6,176.8,0.4,1562.4,434.0
40,-343.8,-1036.8,1609.4,2,DAO_left,0.7,9,3,5,200.3,0.5,1322.8,417.6
41,-555.9,-1052.7,1509.1,54,DAO_left,0.7,4,1,2,64.7,0.2,658.2,317.5
42,-797.2,-1229.1,1506.3,14,DAO_left,0.7,12,2,10,150.0,0.4,2443.5,395.6
43,-665.2,-1124.1,1669.1,24,DAO_left,0.7,10,3,7,116.6,0.4,1857.5,325.0
44,-562.5,-1078.6,1548.2,17,DAO_left,0.7,8,2,6,160.6,0.4,2051.3,394.6
45,-493.5,-965.6,1081.7,26,DAO_left,0.7,13,4,8,190.2,0.4,2719.5,425.7
46,-540.0,-881.4,733.0,64,DAO_left,0.7,10,1,9,134.8,0.5,1627.5,272.4
47,-431.7,-981.4,1048.3,18,DAO_left,0.7,11,2,9,215.6,0.5,2903.8,445.4
48,-748.0,-1188.7,1343.5,7,DAO_left,0.7,11,1,9,199.9,0.5,2651.7,425.2
49,-897.4,-1192.6,883.9,59,DAO_left,0.7,12,3,9,137.6,0.3,2513.0,404.1
50,-613.3,-1049.2,1114.1,10,DAO_left,0.7,10,1,9,135.6,0.4,1823.6,371.9
51,-320.8,-950.0,1157.2,71,DAO_left,0.7,11,4,7,97.9,0.3,1792.4,284.9
52,-806.1,-1163.5,1236.9,32,DAO_left,0.7,10,3,7,110.3,0.3,2608.0,407.5
53,-837.3,-1195.6,1243.2,32,DAO_left,0.7,10,2,8,132.8,0.3,2961.2,461.4
54,-452.7,-838.5,723.1,6,DAO_left,0.7,12,3,9,177.4,0.4,2931.4,402.1
55,-656.9,-1065.7,1149.3,9,DAO_left,0.7,11,3,7,115.1,0.4,1797.6,292.6
56,-626.0,-1072.9,1171.1,9,DAO_left,0.7,11,1,10,150.2,0.4,2195.2,383.3
57,-585.4,-1072.0,1188.9,41,DAO_left,0.7,11,2,8,171.7,0.4,2083.7,448.0
58,-555.8,-1036.9,1186.3,41,DAO_left,0.7,11,2,9,130.3,0.3,2221.1,373.1
59,-903.6,-1237.6,1007.9,19,DAO_left,0.7,10,2,8,128.3,0.4,2165.0,333.6
60,-858.9,-1203.9,1154.6,55,DAO_left,0.7,9,3,6,140.8,0.3,2072.4,438.5
61,-500.5,-969.2,1172.2,56,DAO_left,0.7,9,2,7,150.5,0.4,2252.2,408.2
62,-738.4,-1136.7,1206.7,8,DAO_left,0.7,12,2,10,149.1,0.5,1760.3,328.4
63,-626.9,-997.3,817.4,65,DAO_left,0.7,10,3,7,138.6,0.4,2021.5,390.7
64,-906.8,-1212.7,1015.9,19,DAO_left,0.7,9,2,7,92.3,0.2,2198.4,436.9
65,-363.8,-817.5,763.5,6,DAO_left,0.7,8,2,5,138.6,0.4,1479.9,395.3
66,-690.0,-1135.8,1467.9,28,DAO_left,0.7,9,2,7,110.3,0.4,1823.6,306.5
67,-587.6,-992.7,1035.2,27,DAO_left,0.7,11,2,9,131.0,0.3,2607.4,428.5
68,-887.8,-1198.4,1357.0,35,DAO_left,0.7,13,3,10,159.1,0.4,2451.1,433.4
69,-739.5,-1166.4,914.4,15,DAO_left,0.7,8,2,6,162.7,0.4,1616.9,405.6
70,-760.4,-1187.7,1002.5,52,DAO_left,0.7,13,2,11,151.1,0.4,3145.6,419.0
71,-489.3,-922.1,743.9,64,DAO_left,0.7,11,3,8,148.8,0.4,1581.3,381.0
72,-636.2,-1084.5,1075.3,10,DAO_left,0.7,12,4,8,142.1,0.3,2436.5,406.8
73,-717.6,-1136.9,1107.6,53,DAO_left,0.7,11,3,6,148.2,0.4,2470.7,413.3
74,-765.7,-1164.6,1483.2,51,DAO_left,0.7,9,3,6,150.9,0.4,1543.9,345.1
