gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-641.2,-1132.6,1641.5,29,DAO_left,0.4,1,1,0,7.3,1.0,7.3,7.3
1,-825.6,-1123.7,814.2,68,DAO_left,0.4,9,1,8,150.6,0.4,2497.8,372.4
2,-714.0,-1075.3,1175.0,9,DAO_left,0.4,10,1,9,163.3,0.4,2469.0,461.9
3,-927.6,-1234.1,965.9,19,DAO_left,0.4,12,2,10,115.1,0.3,2717.6,439.1
4,-501.6,-978.1,1246.6,56,DAO_left,0.4,8,3,4,107.0,0.3,1737.1,411.6
5,-555.9,-1052.7,1509.1,54,DAO_left,0.4,5,1,4,77.8,0.2,1097.5,374.8
6,-585.4,-1072.0,1188.9,41,DAO_left,0.4,11,3,8,176.5,0.4,2669.1,423.7
7,-628.5,-1085.4,1473.3,37,DAO_left,0.4,9,4,5,154.0,0.4,2146.4,428.9
8,-801.4,-1175.4,735.7,4,DAO_left,0.4,10,3,7,128.8,0.4,2121.6,341.1
9,-814.1,-1071.6,703.9,63,DAO_left,0.4,11,3,8,119.6,0.3,3029.7,393.9
10,-606.7,-1144.7,1653.6,29,DAO_left,0.4,10,1,9,134.4,0.3,2308.9,404.2
11,-765.3,-1204.2,1464.7,51,DAO_left,0.4,9,2,7,208.0,0.5,2085.3,443.4
12,-570.1,-1004.5,1278.2,1,DAO_left,0.4,10,3,7,127.8,0.3,2530.8,423.0
13,-944.7,-1214.1,769.6,46,DAO_left,0.4,11,3,8,186.5,0.4,3265.4,417.7
14,-671.8,-1069.5,882.9,49,DAO_left,0.4,10,3,7,122.5,0.3,2013.1,351.3
15,-476.2,-932.4,755.5,64,DAO_left,0.4,7,1,6,125.6,0.4,1227.0,318.6
16,-704.5,-1050.7,937.9,36,DAO_left,0.4,12,1,11,187.8,0.5,2667.8,413.8
17,-751.0,-1183.6,1198.0,8,DAO_left,0.4,10,1,9,147.3,0.4,2273.8,390.0
18,-545.8,-1012.4,812.4,65,DAO_left,0.4,11,2,9,188.4,0.4,2184.5,434.0
19,-690.9,-1165.5,1578.0,50,DAO_left,0.4,11,4,7,162.9,0.4,2365.0,439.3
20,-934.4,-1211.8,870.5,59,DAO_left,0.4,10,3,7,193.6,0.5,2815.8,413.9
21,-313.8,-963.4,1113.9,71,DAO_left,0.4,8,1,7,125.7,0.3,1918.5,387.8
22,-970.1,-1178.7,1260.0,38,DAO_left,0.4,9,2,7,143.6,0.4,1796.4,369.8
23,-483.8,-1140.2,1735.8,16,DAO_left,0.4,9,4,5,137.2,0.3,1587.6,401.2
24,-607.4,-1060.4,1386.9,37,DAO_left,0.4,10,4,6,155.8,0.4,2601.2,424.1
25,-726.5,-1090.7,645.8,63,DAO_left,0.4,7,3,4,174.4,0.5,1572.0,362.3
26,-508.0,-979.0,923.0,72,DAO_left,0.4,10,1,9,227.4,0.5,2972.4,446.4
27,-420.1,-884.2,748.6,6,DAO_left,0.4,10,1,9,153.1,0.3,2192.2,457.8
28,-699.9,-1133.1,866.4,15,DAO_left,0.4,10,1,8,167.3,0.4,1835.5,414.3
29,-687.6,-1183.8,1726.5,24,DAO_left,0.4,10,3,7,101.0,0.3,2158.0,390.2
30,-849.2,-1185.6,1342.4,35,DAO_left,0.4,10,1,9,125.1,0.3,1596.8,390.1
31,-977.4,-1224.8,910.8,59,DAO_left,0.4,9,2,7,163.0,0.4,2081.9,403.9
32,-328.3,-1034.8,1729.8,43,DAO_left,0.4,11,4,7,141.2,0.3,2116.5,412.7
33,-692.4,-1105.1,956.4,15,DAO_left,0.4,13,1,11,140.3,0.4,2687.7,392.6
34,-432.3,-1002.8,1604.1,70,DAO_left,0.4,9,3,6,110.7,0.3,1939.9,404.4
35,-688.0,-1117.7,1419.2,28,DAO_left,0.4,11,1,10,159.8,0.5,2240.8,348.6
36,-935.9,-1202.8,915.7,59,DAO_left,0.4,10,3,7,152.9,0.4,2391.7,412.9
37,-572.2,-1035.6,1349.5,1,DAO_left,0.4,10,2,8,167.0,0.5,1589.6,329.0
38,-946.0,-1196.9,1359.2,38,DAO_left,0.4,7,1,6,224.9,0.5,1433.1,431.9
39,-941.1,-1230.7,813.0,46,DAO_left,0.4,11,1,9,149.8,0.3,2070.5,435.5
