gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-527.8,-1118.5,1179.6,47,PO_left,1.0,10,1,9,126.0,0.4,1321.6,335.7
1,-413.1,-1028.1,1187.7,68,PO_left,1.0,12,2,10,133.4,0.3,1936.1,389.7
2,-217.1,-1019.4,1658.0,64,PO_left,1.0,6,1,5,140.1,0.3,1630.4,412.1
3,-25.8,-645.0,557.8,50,PO_left,1.0,11,2,9,102.8,0.3,1649.3,352.6
4,-564.8,-1286.5,1072.7,26,PO_left,1.0,1,1,0,7.5,1.0,7.5,7.5
5,-658.9,-1228.0,1158.4,73,PO_left,1.0,1,1,0,68.0,0.2,408.2,408.2
6,-117.1,-649.0,665.4,45,PO_left,1.0,9,1,8,139.0,0.3,1969.3,398.8
7,-124.1,-955.2,1208.7,13,PO_left,1.0,8,1,7,178.1,0.5,977.8,366.9
8,-317.2,-1044.2,1209.6,63,PO_left,1.0,9,2,6,131.9,0.4,1187.3,297.3
9,-80.8,-686.9,472.5,54,PO_left,1.0,8,4,4,185.9,0.5,1925.5,404.5
10,-56.7,-681.9,610.6,72,PO_left,1.0,11,2,9,183.1,0.4,2633.5,412.0
11,-308.3,-1084.6,1283.0,63,PO_left,1.0,11,2,9,126.4,0.3,2498.5,400.7
12,-422.6,-1018.2,1033.9,55,PO_left,1.0,1,1,0,14.1,0.6,22.6,22.6
13,-470.7,-1088.4,1336.2,62,PO_left,1.0,10,5,5,149.2,0.5,1862.9,298.1
14,-264.4,-1087.4,1575.5,43,PO_left,1.0,6,1,5,147.3,0.6,1039.8,250.6
15,-617.3,-1160.0,1204.3,19,PO_left,1.0,11,2,9,159.1,0.4,2457.8,430.1
16,-85.3,-638.6,250.3,9,PO_left,1.0,9,1,8,151.6,0.5,1115.1,295.1
17,-313.4,-1137.2,1666.4,16,PO_left,1.0,8,2,6,124.0,0.4,1384.4,350.2
18,-409.8,-1032.8,1051.9,55,PO_left,1.0,11,2,9,167.6,0.4,2864.0,436.9
19,-705.8,-1198.8,983.7,48,PO_left,1.0,8,1,7,130.0,0.3,1579.1,434.7
20,-48.3,-627.2,561.4,50,PO_left,1.0,8,5,3,113.6,0.3,1902.7,331.2
21,-501.9,-1072.0,934.8,15,PO_left,1.0,3,1,2,107.1,0.4,522.7,252.4
22,-370.3,-1057.8,1184.8,68,PO_left,1.0,7,2,5,150.2,0.4,1697.6,374.5
23,-291.0,-1081.1,1575.8,43,PO_left,1.0,3,1,2,49.1,0.4,281.7,125.1
24,-616.4,-1240.0,893.1,65,PO_left,1.0,11,1,10,166.5,0.4,3242.7,416.1
25,-560.6,-1197.1,1609.1,70,PO_left,1.0,11,3,8,131.8,0.5,2195.4,282.7
26,-658.8,-1182.3,1105.9,40,PO_left,1.0,8,3,5,168.9,0.4,2202.3,444.6
27,-411.4,-1054.7,1567.8,20,PO_left,1.0,11,2,9,122.3,0.3,2396.5,382.3
28,-628.1,-1274.3,1027.6,42,PO_left,1.0,10,2,7,148.2,0.3,2805.5,424.0
29,-149.9,-949.8,1334.6,37,PO_left,1.0,7,3,4,130.1,0.3,1442.8,390.5
30,-97.5,-972.5,1444.4,30,PO_left,1.0,11,3,8,128.2,0.3,2386.3,431.0
31,-650.2,-1160.5,838.9,7,PO_left,1.0,9,2,6,169.9,0.4,1769.8,405.1
32,-121.7,-865.8,1294.9,0,PO_left,1.0,7,1,6,158.1,0.4,1940.8,421.2
33,-223.0,-1025.1,1582.2,43,PO_left,1.0,11,3,8,174.9,0.5,1558.1,362.1
34,-373.1,-1124.6,1545.2,20,PO_left,1.0,9,2,7,121.9,0.3,2386.0,419.1
35,-116.1,-934.4,1322.5,37,PO_left,1.0,10,3,7,118.1,0.3,1750.3,364.4
36,-562.4,-1119.8,977.6,69,PO_left,1.0,9,3,5,141.6,0.4,1449.1,356.3
37,-247.6,-1088.5,1582.7,43,PO_left,1.0,11,2,9,135.3,0.3,2381.3,435.8
38,-85.7,-687.1,886.4,23,PO_left,1.0,7,2,5,146.5,0.4,1407.0,328.9
39,-529.9,-1119.5,1162.0,47,PO_left,1.0,10,2,8,124.4,0.4,1569.3,295.5
40,-433.1,-1165.9,1191.2,8,PO_left,1.0,7,1,6,105.8,0.3,1472.0,388.6
41,-343.0,-1019.1,1329.3,18,PO_left,1.0,9,2,7,122.9,0.4,1285.3,310.3
42,-424.2,-1039.3,1103.7,55,PO_left,1.0,11,4,7,152.0,0.4,2514.2,409.5
43,-510.6,-1062.4,1003.2,69,PO_left,1.0,9,2,7,117.0,0.3,1845.2,402.0
44,-631.2,-1168.8,1005.5,4,PO_left,1.0,8,2,6,104.6,0.3,1558.0,371.1
45,-466.2,-1194.0,1121.0,22,PO_left,1.0,10,1,9,150.2,0.4,2483.8,399.3
46,-104.3,-688.2,654.8,45,PO_left,1.0,8,2,6,151.6,0.3,1788.9,457.2
47,-130.4,-862.6,1285.8,0,PO_left,1.0,9,2,7,150.3,0.3,2467.7,439.2
48,-92.7,-915.0,1329.3,58,PO_left,1.0,11,3,8,154.9,0.4,2309.7,348.6
49,-104.2,-624.4,622.2,72,PO_left,1.0,10,1,9,138.7,0.3,2047.8,422.9
50,-460.2,-1147.7,1061.9,22,PO_left,1.0,11,4,7,211.8,0.5,2793.8,427.2
51,-33.2,-922.9,1657.3,27,PO_left,1.0,11,1,10,162.1,0.4,3097.0,436.3
52,-399.9,-1112.8,1152.7,68,PO_left,1.0,9,2,7,195.8,0.5,2544.5,423.2
53,-385.0,-1151.9,1635.7,16,PO_left,1.0,9,1,7,137.1,0.3,1835.2,411.3
