gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-107.6,-927.7,1349.7,58,PO_left,0.1,11,2,9,166.3,0.4,2701.5,431.5
1,-527.8,-1118.5,1179.6,47,PO_left,0.1,10,1,9,153.5,0.3,1802.0,442.7
2,-56.7,-681.9,610.6,72,PO_left,0.1,11,3,8,208.3,0.5,3266.8,445.2
3,-291.0,-1081.1,1575.8,43,PO_left,0.1,3,1,2,52.6,0.5,235.6,110.7
4,-166.2,-984.2,1513.7,5,PO_left,0.1,10,1,9,194.8,0.5,2430.4,388.0
5,-300.7,-1128.3,1647.0,16,PO_left,0.1,8,2,6,162.4,0.5,1508.4,330.3
6,-707.2,-1182.6,1005.2,4,PO_left,0.1,13,2,10,192.9,0.5,2169.5,421.9
7,-483.3,-1054.4,1137.7,41,PO_left,0.1,9,2,7,162.0,0.4,1994.8,397.0
8,-566.4,-1122.5,1207.0,47,PO_left,0.1,10,1,9,120.4,0.3,1924.2,415.1
9,-477.7,-1060.5,1234.6,53,PO_left,0.1,8,4,4,94.6,0.3,1254.6,297.5
10,-121.7,-865.8,1294.9,0,PO_left,0.1,10,1,9,157.9,0.4,2975.0,424.2
11,-504.0,-1065.0,1162.0,41,PO_left,0.1,9,3,6,136.7,0.4,2029.3,339.6
12,-657.3,-1241.0,915.3,65,PO_left,0.1,8,2,6,121.7,0.3,2362.0,405.2
13,-156.3,-790.6,948.5,67,PO_left,0.1,12,1,11,172.7,0.4,2266.7,403.3
14,-555.7,-1153.9,1123.9,47,PO_left,0.1,11,1,10,196.7,0.4,3057.9,461.6
15,-149.1,-975.0,1166.6,52,PO_left,0.1,11,3,7,90.9,0.3,1776.7,269.2
16,-3.4,-595.8,459.2,1,PO_left,0.1,8,2,6,164.8,0.4,1769.2,368.5
17,-198.9,-869.3,971.4,28,PO_left,0.1,12,3,9,164.1,0.4,2701.7,442.5
18,-414.9,-1074.4,1566.8,20,PO_left,0.1,10,3,6,80.9,0.3,1458.6,315.2
19,-365.6,-1074.3,1128.0,68,PO_left,0.1,9,1,8,158.2,0.5,1830.2,326.5
20,-353.6,-1073.8,1302.0,18,PO_left,0.1,11,3,8,116.2,0.5,1896.2,256.0
21,-96.4,-666.1,603.0,72,PO_left,0.1,7,4,3,116.8,0.4,1519.7,285.9
22,-399.9,-1112.8,1152.7,68,PO_left,0.1,9,3,6,203.2,0.4,2072.4,453.3
23,-143.6,-944.8,1159.2,17,PO_left,0.1,12,1,11,154.2,0.4,2098.2,379.9
24,-560.5,-1119.0,1243.6,66,PO_left,0.1,7,1,6,152.5,0.4,1455.0,365.6
25,-99.8,-838.5,1232.8,51,PO_left,0.1,11,3,8,127.0,0.3,2982.8,390.9
26,-621.1,-1113.5,1207.8,47,PO_left,0.1,9,1,8,163.3,0.4,1969.3,412.7
27,-574.2,-1157.4,1298.7,38,PO_left,0.1,11,2,8,150.0,0.4,2095.7,388.1
28,-171.9,-935.4,1535.7,5,PO_left,0.1,12,2,10,168.6,0.4,1989.6,382.0
29,-66.2,-646.0,447.1,54,PO_left,0.1,10,2,8,219.1,0.5,2079.1,422.6
30,-181.0,-990.4,1421.8,30,PO_left,0.1,11,2,9,148.4,0.4,2841.6,385.6
31,-25.8,-645.0,557.8,50,PO_left,0.1,11,2,8,113.7,0.3,1583.1,345.4
32,-189.1,-1022.8,1673.5,74,PO_left,0.1,7,3,4,200.5,0.5,1843.4,403.3
33,-107.1,-702.6,777.4,11,PO_left,0.1,10,3,7,166.0,0.4,2656.2,380.2
34,-474.2,-1102.6,1595.2,20,PO_left,0.1,7,1,6,110.8,0.4,1646.0,300.9
