gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-19.5,-829.8,641.5,7,MAO_left,0.0,10,1,9,198.5,0.4,2230.9,442.1
1,-88.4,-834.9,624.9,7,MAO_left,0.0,10,2,8,103.8,0.2,1710.2,426.6
2,-7.5,-882.2,447.3,25,MAO_left,0.0,10,2,8,187.2,0.4,2801.0,420.3
3,-22.8,-911.1,1191.2,62,MAO_left,0.0,1,1,0,10.0,0.5,18.2,18.2
4,-492.7,-1008.5,390.1,42,MAO_left,0.0,8,1,7,221.9,0.5,2493.6,478.3
5,-97.1,-1089.9,1641.6,64,MAO_left,0.0,7,3,4,129.9,0.3,1153.6,382.5
6,-62.5,-734.1,779.2,52,MAO_left,0.0,6,3,3,112.7,0.3,1293.7,358.5
7,-237.7,-1057.3,998.9,56,MAO_left,0.0,9,3,5,133.6,0.3,1963.9,384.8
8,-383.1,-912.0,489.5,23,MAO_left,0.0,8,2,6,153.6,0.4,2367.0,394.7
9,-101.0,-1073.1,1376.9,32,MAO_left,0.0,8,2,6,136.2,0.3,2094.4,432.8
10,-186.4,-1062.9,727.3,46,MAO_left,0.0,9,1,8,172.8,0.4,2066.2,410.6
11,-171.1,-942.5,642.2,34,MAO_left,0.0,9,2,7,170.6,0.4,1944.0,444.9
12,-538.5,-1049.7,439.8,31,MAO_left,0.0,6,3,3,134.9,0.3,1813.5,496.6
13,-47.1,-1126.8,1038.0,35,MAO_left,0.0,11,2,9,172.7,0.4,2562.7,429.1
14,-245.1,-909.5,435.0,30,MAO_left,0.0,12,2,10,196.1,0.5,3895.6,433.4
15,-453.2,-979.9,434.4,42,MAO_left,0.0,10,4,6,208.2,0.5,3046.3,462.5
16,-195.3,-1028.9,607.4,34,MAO_left,0.0,9,2,7,176.2,0.4,1715.4,432.3
17,-69.6,-1068.4,1230.8,24,MAO_left,0.0,10,4,6,165.7,0.5,2752.1,358.0
18,-637.7,-1161.0,178.9,40,MAO_left,0.0,9,2,7,189.2,0.5,1993.2,390.0
