gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-284.9,-1084.5,1259.1,33,MAO_left,0.4,7,2,5,193.0,0.5,1612.9,408.7
1,-88.4,-834.9,624.9,7,MAO_left,0.4,10,1,9,113.2,0.2,1848.7,453.4
2,-108.1,-937.6,414.2,38,MAO_left,0.4,9,3,6,142.4,0.3,2024.5,417.9
3,-549.8,-937.2,334.8,17,MAO_left,0.4,11,2,8,199.5,0.4,2519.3,460.8
4,-13.9,-776.6,732.9,49,MAO_left,0.4,12,2,9,175.3,0.4,2847.8,454.4
5,-142.5,-1050.9,824.0,43,MAO_left,0.4,10,1,9,210.8,0.5,2077.5,447.8
6,-85.8,-1039.1,1097.1,12,MAO_left,0.4,11,3,8,139.7,0.4,2088.3,353.5
7,-93.4,-773.2,589.4,68,MAO_left,0.4,9,2,7,187.9,0.4,2018.7,463.4
8,-152.0,-840.5,542.4,60,MAO_left,0.4,10,1,9,141.5,0.3,2755.7,450.1
9,-62.5,-734.1,779.2,52,MAO_left,0.4,9,2,6,105.0,0.3,1400.8,377.3
10,-245.1,-909.5,435.0,30,MAO_left,0.4,12,2,10,221.5,0.5,3607.9,452.5
11,-427.8,-1066.6,797.0,65,MAO_left,0.4,9,3,6,117.2,0.3,2312.9,385.5
12,-47.2,-1052.6,1255.7,24,MAO_left,0.4,9,2,7,132.3,0.3,2078.4,460.0
13,-72.1,-1129.0,1428.8,2,MAO_left,0.4,10,3,7,144.8,0.4,1995.1,406.3
14,-523.7,-1095.0,633.9,16,MAO_left,0.4,11,3,8,129.5,0.4,1755.1,361.3
15,-281.5,-830.4,445.2,23,MAO_left,0.4,11,2,9,159.1,0.4,2515.9,422.9
16,-301.6,-1119.0,1099.1,3,MAO_left,0.4,9,2,7,150.6,0.3,2197.2,433.9
17,-75.8,-1065.1,1507.3,21,MAO_left,0.4,9,2,7,120.4,0.3,1935.3,357.5
18,-28.3,-813.3,495.6,25,MAO_left,0.4,12,4,8,164.0,0.4,2470.4,373.5
19,-376.6,-1021.4,611.2,47,MAO_left,0.4,11,2,9,235.8,0.5,3127.4,440.1
20,-65.7,-1082.3,1222.2,24,MAO_left,0.4,12,2,10,137.6,0.3,2878.3,470.2
21,-39.6,-726.0,736.4,49,MAO_left,0.4,9,3,6,150.3,0.4,1920.1,426.6
22,-39.0,-940.9,1271.6,24,MAO_left,0.4,11,2,8,169.0,0.4,2234.0,393.7
23,-37.7,-877.0,603.6,7,MAO_left,0.4,9,3,6,196.5,0.5,2178.8,414.7
24,-101.2,-1104.2,1631.3,64,MAO_left,0.4,8,3,5,187.1,0.5,1449.7,370.8
25,-751.2,-1172.2,263.1,6,MAO_left,0.4,11,1,10,194.1,0.4,2937.6,442.3
26,-32.9,-1050.4,1470.2,2,MAO_left,0.4,13,3,10,181.4,0.4,2711.3,403.5
27,-453.2,-979.9,434.4,42,MAO_left,0.4,10,4,6,200.5,0.5,3167.2,443.0
28,-208.7,-1125.9,1104.4,3,MAO_left,0.4,9,1,7,135.1,0.3,2094.5,432.3
29,-192.4,-1134.7,1368.4,9,MAO_left,0.4,12,2,10,162.8,0.4,2072.2,411.8
30,-492.7,-1008.5,390.1,42,MAO_left,0.4,8,1,7,177.9,0.4,1777.4,430.7
31,-327.3,-930.5,401.5,4,MAO_left,0.4,8,2,6,163.9,0.4,1807.4,444.7
32,-637.7,-1161.0,178.9,40,MAO_left,0.4,8,3,5,179.8,0.4,2428.5,434.3
33,-473.2,-968.1,66.8,45,MAO_left,0.4,9,1,8,111.7,0.3,1594.4,370.4
34,-134.6,-1029.9,902.3,66,MAO_left,0.4,10,4,6,118.7,0.3,2739.4,406.3
35,-390.5,-983.8,104.0,45,MAO_left,0.4,12,4,8,177.8,0.4,3504.0,451.4
36,-380.8,-1048.2,650.1,47,MAO_left,0.4,9,2,7,167.1,0.4,2163.1,449.7
37,-68.7,-884.3,763.6,71,MAO_left,0.4,11,1,10,179.6,0.4,2736.2,431.3
38,-51.7,-1133.4,1506.1,21,MAO_left,0.4,12,2,10,134.5,0.4,2196.6,353.1
39,-481.2,-958.7,131.5,73,MAO_left,0.4,10,4,6,152.8,0.4,2394.6,366.9
40,-226.0,-1114.9,887.2,13,MAO_left,0.4,9,2,7,179.5,0.4,1832.1,404.1
41,-507.5,-970.6,373.2,42,MAO_left,0.4,11,3,8,121.3,0.3,2783.6,440.4
42,-180.6,-969.9,918.6,66,MAO_left,0.4,10,2,8,160.9,0.4,2491.6,389.3
43,-168.5,-1049.6,662.3,34,MAO_left,0.4,11,1,10,182.6,0.5,1875.0,400.5
44,-554.2,-1035.7,317.9,17,MAO_left,0.4,11,1,10,158.2,0.4,2399.2,440.1
45,-520.0,-1035.1,424.0,31,MAO_left,0.4,10,3,7,240.3,0.5,2654.6,466.2
46,-79.6,-859.4,352.9,54,MAO_left,0.4,11,1,10,162.3,0.4,3358.1,415.1
47,-768.0,-1190.6,227.1,6,MAO_left,0.4,11,1,10,184.1,0.4,2296.9,415.8
48,-555.6,-1026.4,257.2,17,MAO_left,0.4,8,1,7,196.7,0.5,2345.4,431.3
49,-115.2,-1078.3,1162.5,67,MAO_left,0.4,7,1,6,149.5,0.4,1706.8,371.8
50,-203.8,-1107.8,1606.9,28,MAO_left,0.4,9,2,7,148.4,0.3,2465.8,432.0
51,-657.2,-1017.6,273.4,58,MAO_left,0.4,10,2,8,168.1,0.5,2328.6,364.3
52,-22.8,-911.1,1191.2,62,MAO_left,0.4,2,2,0,30.2,0.6,69.7,50.5
53,-509.8,-1019.4,200.9,10,MAO_left,0.4,11,1,10,152.8,0.3,2468.1,472.5
54,-76.8,-754.7,690.5,49,MAO_left,0.4,11,2,9,183.2,0.4,2497.6,428.7
55,-639.3,-1069.6,264.1,58,MAO_left,0.4,8,1,7,171.8,0.5,1872.7,332.5
56,-48.8,-1007.9,1372.7,32,MAO_left,0.4,9,3,6,169.1,0.5,2108.8,356.5
57,-428.1,-1067.4,721.9,65,MAO_left,0.4,10,4,6,131.9,0.4,2116.4,355.7
58,-315.5,-911.0,187.4,26,MAO_left,0.4,12,1,11,222.3,0.5,2709.7,425.7
