gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-942.2,-1214.6,1096.2,3,DAO_left,0.3,9,2,7,134.6,0.4,1892.1,375.2
1,-737.3,-1161.0,1674.0,61,DAO_left,0.3,9,2,7,157.1,0.4,2117.8,385.1
2,-949.8,-1257.9,962.1,19,DAO_left,0.3,10,1,9,164.9,0.4,1844.6,427.7
3,-528.3,-1015.3,1105.0,26,DAO_left,0.3,10,1,9,120.6,0.3,2568.1,397.5
4,-535.4,-913.5,782.0,64,DAO_left,0.3,9,2,7,125.9,0.3,2063.3,373.7
5,-927.6,-1234.1,965.9,19,DAO_left,0.3,12,3,9,121.5,0.3,2587.2,399.3
6,-406.6,-1087.6,1725.5,43,DAO_left,0.3,8,2,5,92.3,0.3,1462.6,350.3
7,-455.1,-997.9,1504.6,20,DAO_left,0.3,9,3,6,162.8,0.4,1605.8,418.3
8,-774.7,-1070.6,673.2,63,DAO_left,0.3,9,3,6,157.2,0.3,2469.9,454.5
9,-728.9,-1143.7,1480.2,51,DAO_left,0.3,9,1,8,183.7,0.4,2260.5,413.3
10,-800.5,-1048.6,697.4,63,DAO_left,0.3,11,2,9,158.7,0.4,3281.4,419.5
11,-404.2,-1000.4,1626.7,70,DAO_left,0.3,11,2,9,164.7,0.4,2728.9,432.9
12,-658.7,-1118.9,1333.9,33,DAO_left,0.3,9,2,7,159.8,0.4,2537.2,395.9
13,-796.3,-1214.5,830.5,4,DAO_left,0.3,13,2,9,168.6,0.4,2849.9,384.9
14,-313.8,-963.4,1113.9,71,DAO_left,0.3,8,1,7,103.3,0.3,1546.7,370.2
15,-482.9,-877.4,755.3,64,DAO_left,0.3,10,3,7,114.6,0.3,2399.4,358.8
16,-624.8,-1101.3,1523.3,17,DAO_left,0.3,9,2,6,180.1,0.5,1727.2,399.9
17,-678.6,-1147.5,1687.2,24,DAO_left,0.3,9,1,8,113.4,0.4,1338.6,278.9
18,-519.5,-970.9,1168.1,56,DAO_left,0.3,8,2,6,153.7,0.4,1868.5,389.6
19,-858.4,-1222.5,1435.9,35,DAO_left,0.3,10,3,7,127.0,0.5,1382.3,247.5
20,-757.0,-1089.3,1062.5,39,DAO_left,0.3,10,1,9,135.0,0.4,1368.4,361.8
21,-860.1,-1221.4,797.9,4,DAO_left,0.3,10,1,9,144.7,0.3,2659.5,458.7
22,-660.7,-1062.8,1124.1,9,DAO_left,0.3,10,3,7,114.8,0.3,2547.2,392.8
23,-952.5,-1206.5,1001.0,19,DAO_left,0.3,9,1,8,104.8,0.3,1771.0,330.1
24,-353.3,-953.0,1130.1,71,DAO_left,0.3,10,3,7,227.1,0.5,2738.1,428.5
25,-472.3,-885.4,800.0,64,DAO_left,0.3,10,2,8,167.0,0.5,1841.2,350.9
26,-596.1,-1039.6,943.6,11,DAO_left,0.3,11,4,7,135.8,0.4,2192.0,344.6
27,-908.5,-1177.8,813.5,46,DAO_left,0.3,11,4,7,160.9,0.4,2115.9,391.8
28,-354.7,-933.5,872.9,45,DAO_left,0.3,10,1,9,193.7,0.4,2344.3,430.8
29,-724.7,-1099.0,714.6,60,DAO_left,0.3,9,1,8,99.4,0.4,1148.7,269.6
30,-709.2,-1037.7,716.6,0,DAO_left,0.3,9,5,4,189.7,0.4,2608.1,453.6
31,-471.8,-937.4,853.6,47,DAO_left,0.3,12,3,9,155.7,0.4,2310.7,357.2
32,-418.9,-907.8,776.4,47,DAO_left,0.3,13,1,12,129.1,0.3,2733.3,413.5
33,-931.0,-1144.5,1001.0,19,DAO_left,0.3,9,3,6,159.8,0.4,2620.9,431.2
34,-571.7,-1042.5,1273.3,1,DAO_left,0.3,9,3,6,125.5,0.3,1875.7,391.6
35,-505.8,-962.8,1342.3,23,DAO_left,0.3,8,3,3,186.1,0.4,1519.4,419.6
36,-324.1,-915.8,888.1,45,DAO_left,0.3,8,1,7,150.0,0.5,1414.4,323.8
37,-829.9,-1118.6,1182.3,8,DAO_left,0.3,9,1,8,126.1,0.4,1866.0,354.2
38,-936.3,-1168.2,839.0,46,DAO_left,0.3,8,4,4,94.4,0.3,1426.9,330.0
39,-720.2,-1021.6,805.6,34,DAO_left,0.3,9,1,8,140.6,0.3,2012.0,416.4
40,-726.0,-1154.0,985.1,15,DAO_left,0.3,10,3,7,158.3,0.4,2723.2,393.7
41,-890.0,-1238.9,1048.0,3,DAO_left,0.3,10,1,9,136.5,0.3,2256.6,440.3
42,-944.7,-1214.1,769.6,46,DAO_left,0.3,11,3,7,180.8,0.4,2863.5,438.7
43,-588.2,-1058.5,1572.6,17,DAO_left,0.3,10,2,8,168.6,0.4,2237.6,383.4
44,-531.6,-1045.2,1529.4,54,DAO_left,0.3,7,2,5,134.9,0.4,1903.3,374.2
45,-659.7,-1106.2,1054.8,10,DAO_left,0.3,11,1,10,151.1,0.3,2190.8,458.3
46,-954.8,-1232.2,863.3,46,DAO_left,0.3,11,2,9,143.1,0.3,3099.9,449.0
47,-523.6,-1017.7,1295.6,1,DAO_left,0.3,11,1,10,182.5,0.4,2371.7,438.9
48,-600.1,-1074.1,1416.8,37,DAO_left,0.3,8,3,5,162.1,0.4,1376.3,391.6
49,-964.3,-1190.5,975.6,19,DAO_left,0.3,10,2,8,119.8,0.4,1846.5,332.0
50,-416.2,-1006.4,1566.6,70,DAO_left,0.3,10,2,8,140.3,0.3,2069.3,459.4
51,-843.4,-1189.6,1241.2,32,DAO_left,0.3,10,3,7,169.5,0.4,2408.5,404.4
52,-356.7,-967.8,1062.3,13,DAO_left,0.3,11,3,8,145.8,0.3,3058.6,421.7
53,-486.0,-995.5,1167.9,56,DAO_left,0.3,9,2,7,153.6,0.4,1331.7,357.1
54,-629.4,-1063.0,1018.8,36,DAO_left,0.3,11,2,9,207.9,0.5,2930.2,429.6
55,-494.0,-1057.9,1567.1,70,DAO_left,0.3,11,1,10,139.6,0.3,2367.4,403.7
56,-865.3,-1164.1,691.7,21,DAO_left,0.3,10,1,9,151.3,0.4,2674.2,431.8
57,-529.6,-1091.7,1681.8,16,DAO_left,0.3,9,2,7,148.2,0.4,1568.2,369.3
58,-536.3,-1046.9,1651.4,16,DAO_left,0.3,11,1,10,160.3,0.5,1980.3,353.1
59,-814.1,-1071.6,703.9,63,DAO_left,0.3,11,4,7,115.2,0.3,3013.4,404.7
60,-843.9,-1181.4,611.5,21,DAO_left,0.3,10,1,9,177.9,0.4,2285.1,402.6
61,-296.4,-1011.5,1548.9,66,DAO_left,0.3,11,4,7,139.6,0.3,2483.3,408.8
62,-691.3,-1039.9,914.4,36,DAO_left,0.3,10,3,7,174.1,0.4,2313.2,410.4
63,-284.0,-963.0,1068.7,31,DAO_left,0.3,10,1,9,196.6,0.5,2631.5,427.4
64,-545.8,-1012.4,812.4,65,DAO_left,0.3,11,2,9,215.5,0.5,2670.1,404.1
65,-540.0,-881.4,733.0,64,DAO_left,0.3,10,2,8,188.9,0.5,2395.6,414.4
66,-608.9,-1031.0,1372.8,37,DAO_left,0.3,7,2,5,120.0,0.4,1227.9,335.7
67,-228.9,-922.8,1239.0,5,DAO_left,0.3,9,1,8,148.8,0.4,1713.5,407.9
68,-944.3,-1202.7,977.1,19,DAO_left,0.3,10,2,8,157.2,0.4,2300.2,366.7
69,-298.1,-975.3,1509.2,66,DAO_left,0.3,10,3,7,181.8,0.4,1631.2,427.5
70,-613.3,-1049.2,1114.1,10,DAO_left,0.3,10,2,8,163.9,0.4,1883.9,436.7
71,-320.8,-950.0,1157.2,71,DAO_left,0.3,11,3,8,109.1,0.4,1877.8,295.8
72,-502.7,-976.4,1182.9,56,DAO_left,0.3,10,1,9,180.0,0.5,2547.3,381.2
