gid,x,y,z,cluster,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-115.3,-1059.9,1307.8,37,10,1,9,131.8,0.3,1956.4,424.6
1,-115.2,-1078.3,1162.5,67,7,1,6,225.0,0.5,2041.2,477.4
2,-26.8,-1028.4,1198.8,24,10,1,9,159.0,0.3,2854.9,465.4
3,-97.1,-1089.9,1641.6,64,7,4,3,117.2,0.4,1474.6,313.4
4,-323.7,-1120.0,833.8,61,9,2,7,152.6,0.5,1658.0,331.2
5,-857.0,-1156.5,214.3,57,9,1,8,238.8,0.6,2011.9,416.9
6,-7.5,-882.2,447.3,25,10,4,6,191.9,0.5,2304.5,420.8
7,-635.8,-1109.1,337.1,0,11,3,8,104.0,0.3,1956.6,297.1
8,-549.8,-937.2,334.8,17,11,2,9,192.3,0.4,1910.3,458.8
9,-171.1,-942.5,642.2,34,9,2,7,192.2,0.5,1540.8,405.7
10,-109.9,-1067.1,1597.3,64,10,2,7,120.3,0.3,1867.1,354.6
11,-732.2,-1085.2,398.4,59,8,1,7,172.4,0.4,2277.8,421.6
12,-106.6,-1149.6,1494.6,21,11,1,10,191.8,0.5,1869.7,418.0
13,-119.9,-1045.6,1270.0,37,11,3,8,128.8,0.3,2090.2,388.3
14,-326.5,-1116.9,1148.1,3,12,2,10,206.3,0.4,2681.0,469.7
15,-70.4,-997.9,1039.8,29,10,1,9,133.4,0.4,2447.6,373.3
16,-578.5,-1056.5,227.0,58,9,1,8,210.7,0.5,2311.3,442.9
17,-22.1,-765.4,401.0,27,9,3,6,176.9,0.5,1803.2,360.5
18,-48.8,-740.1,660.4,49,7,2,5,181.0,0.5,1745.5,390.8
19,-121.5,-791.7,521.4,68,6,1,5,144.0,0.4,1097.2,355.8
20,-87.4,-966.0,483.8,38,10,3,6,158.3,0.5,1894.7,325.8
21,-8.0,-770.1,596.1,68,9,3,6,147.1,0.3,2335.8,455.5
22,-76.1,-759.9,436.5,27,9,2,7,184.6,0.5,2379.4,406.0
23,-101.6,-725.9,249.4,39,12,1,10,195.5,0.5,3076.6,424.0
24,-101.2,-1104.2,1631.3,64,8,1,7,139.9,0.4,1221.6,349.7
25,-637.7,-1161.0,178.9,40,11,3,8,144.3,0.4,2699.2,395.7
26,-116.2,-800.1,469.5,51,13,1,12,125.8,0.3,2571.8,425.1
27,-54.7,-1091.6,1008.7,35,10,1,9,120.6,0.4,1450.7,298.4
28,-547.2,-989.7,222.2,10,10,1,9,149.9,0.4,2795.7,411.5
29,-128.3,-1142.1,1250.5,37,8,2,6,152.1,0.3,2207.0,439.3
30,-182.5,-1071.0,1270.7,37,9,1,8,128.4,0.3,1509.4,386.8
31,-440.7,-1062.4,614.0,63,11,4,7,183.5,0.5,2411.5,406.8
32,-110.3,-1103.8,1665.0,64,10,1,9,172.4,0.4,2208.0,453.7
33,-17.9,-980.1,589.3,5,9,2,7,226.9,0.5,2269.5,423.0
34,-62.5,-734.1,779.2,52,6,4,2,84.4,0.2,1251.0,393.3
35,7.7,-941.9,1086.1,62,13,1,12,231.9,0.5,2941.6,445.3
36,-382.2,-969.7,205.1,26,12,1,11,172.8,0.4,2926.4,450.6
37,-547.1,-1034.2,307.5,17,13,2,11,131.0,0.3,2781.9,442.6
38,-663.7,-1137.6,319.4,69,10,2,8,119.0,0.3,2150.9,391.9
39,-87.8,-814.3,636.9,7,11,1,9,182.7,0.4,1885.0,415.4
40,-487.4,-1148.1,666.1,19,10,2,8,171.5,0.5,2385.2,348.1
41,-451.8,-1098.6,527.6,63,11,2,8,148.6,0.4,3153.2,420.6
42,-390.3,-1042.9,533.9,63,10,2,8,159.0,0.4,2716.2,411.7
43,-125.1,-917.9,841.7,18,10,3,7,194.2,0.5,1983.4,410.4
44,-451.3,-992.5,334.3,74,11,1,10,153.5,0.3,2998.9,442.4
