gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-22.8,-911.1,1191.2,62,MAO_left,0.1,2,2,0,15.8,0.8,37.4,19.2
1,-674.2,-1144.6,577.2,8,MAO_left,0.1,10,3,7,146.3,0.3,2437.6,444.0
2,-502.1,-1018.8,703.4,65,MAO_left,0.1,10,1,9,147.6,0.4,1856.7,361.9
3,-38.8,-1055.6,1564.1,21,MAO_left,0.1,7,1,6,196.3,0.5,1344.7,366.4
4,-641.9,-1048.1,376.5,0,MAO_left,0.1,12,3,9,175.4,0.4,3234.1,416.4
5,-351.8,-902.1,388.7,4,MAO_left,0.1,11,3,8,162.3,0.5,2572.8,351.7
6,-331.1,-926.6,109.2,26,MAO_left,0.1,7,1,6,212.0,0.5,1737.6,412.7
7,-428.1,-1067.4,721.9,65,MAO_left,0.1,10,3,6,141.3,0.4,1968.3,350.3
8,-70.0,-1029.4,1436.3,2,MAO_left,0.1,9,1,8,141.9,0.4,2466.2,394.5
9,-22.8,-1126.4,1407.7,2,MAO_left,0.1,11,2,8,213.8,0.5,2124.5,394.0
10,-488.9,-1073.6,691.4,19,MAO_left,0.1,10,3,7,151.0,0.4,2195.2,376.5
11,-204.7,-1099.0,1244.5,33,MAO_left,0.1,10,4,6,117.9,0.3,2487.0,395.3
12,-327.3,-930.5,401.5,4,MAO_left,0.1,8,2,6,178.9,0.4,2139.5,445.5
13,-73.7,-824.6,853.3,18,MAO_left,0.1,11,2,9,158.7,0.4,2558.9,390.5
14,-124.9,-884.7,229.7,48,MAO_left,0.1,7,1,6,187.7,0.4,1470.9,433.8
15,-171.1,-942.5,642.2,34,MAO_left,0.1,9,2,7,178.6,0.4,2345.2,445.5
16,-404.5,-1028.4,698.9,65,MAO_left,0.1,9,2,7,181.5,0.4,2247.6,472.4
17,-87.4,-966.0,483.8,38,MAO_left,0.1,10,3,7,150.0,0.3,2419.8,464.7
18,-397.7,-884.7,396.1,4,MAO_left,0.1,9,2,7,122.9,0.3,2225.9,419.8
19,-106.1,-1044.0,644.5,5,MAO_left,0.1,11,1,9,181.8,0.4,2666.0,424.4
20,-47.2,-1052.6,1255.7,24,MAO_left,0.1,9,2,7,128.3,0.4,1857.0,356.6
21,-657.2,-1017.6,273.4,58,MAO_left,0.1,10,2,8,198.2,0.5,2635.6,405.3
22,-486.2,-1050.8,321.1,74,MAO_left,0.1,14,2,11,218.6,0.5,3056.1,476.6
23,-175.3,-831.9,760.2,71,MAO_left,0.1,8,2,6,229.7,0.5,2254.2,438.0
24,-694.1,-1103.0,59.2,50,MAO_left,0.1,10,1,8,139.3,0.3,2128.2,413.3
25,-583.0,-1121.4,188.9,40,MAO_left,0.1,11,2,9,214.9,0.5,3045.1,427.4
26,-239.8,-1097.1,835.6,13,MAO_left,0.1,12,2,10,174.8,0.4,3598.3,458.8
27,-453.3,-1085.8,793.6,65,MAO_left,0.1,10,5,5,177.7,0.4,2701.8,406.6
28,-245.1,-909.5,435.0,30,MAO_left,0.1,11,2,9,164.4,0.4,3117.0,447.5
29,-64.1,-831.9,940.9,11,MAO_left,0.1,11,3,8,164.0,0.4,2052.9,382.1
30,-27.7,-714.2,331.4,1,MAO_left,0.1,10,2,8,185.1,0.5,2339.4,410.3
31,-208.7,-1125.9,1104.4,3,MAO_left,0.1,9,1,8,139.7,0.4,1647.5,354.5
32,-192.4,-1134.7,1368.4,9,MAO_left,0.1,12,2,10,169.5,0.4,2430.6,412.4
33,-499.2,-958.8,208.0,10,MAO_left,0.1,8,1,7,143.1,0.4,1830.8,375.0
34,-43.7,-999.2,578.0,5,MAO_left,0.1,13,2,11,220.2,0.5,3122.8,456.2
35,-147.1,-1118.5,1486.4,28,MAO_left,0.1,7,2,5,150.7,0.4,1542.4,351.1
36,-259.0,-842.9,466.3,30,MAO_left,0.1,9,1,8,164.6,0.4,2246.9,435.5
37,-287.0,-1028.4,825.7,72,MAO_left,0.1,13,2,11,154.5,0.4,3136.9,383.8
38,-358.7,-954.1,446.6,4,MAO_left,0.1,9,2,7,130.9,0.3,2565.9,444.8
39,-538.5,-1049.7,439.8,31,MAO_left,0.1,6,4,2,132.1,0.4,1326.2,353.9
40,-76.2,-1045.1,1361.9,32,MAO_left,0.1,11,1,10,208.5,0.5,2781.3,410.2
41,-88.4,-1037.7,621.9,5,MAO_left,0.1,13,4,9,155.5,0.4,2650.9,370.3
42,-47.1,-1126.8,1038.0,35,MAO_left,0.1,11,3,8,171.5,0.5,1914.4,324.6
43,-161.0,-1096.5,1495.9,28,MAO_left,0.1,9,1,8,155.2,0.4,1447.1,374.5
44,-109.9,-1067.1,1597.3,64,MAO_left,0.1,10,2,8,114.4,0.3,2092.4,396.7
45,-48.8,-740.1,660.4,49,MAO_left,0.1,7,2,4,151.3,0.4,1140.2,359.4
46,-416.7,-1009.8,117.7,45,MAO_left,0.1,10,3,7,165.1,0.4,2262.5,391.1
47,-379.4,-1022.3,703.2,65,MAO_left,0.1,12,1,11,176.7,0.4,3033.9,444.9
48,-18.4,-741.1,791.5,52,MAO_left,0.1,11,3,8,228.6,0.5,3685.7,444.5
49,-470.1,-922.5,431.0,22,MAO_left,0.1,10,4,6,156.3,0.4,2603.8,373.6
50,-553.9,-1131.0,584.9,16,MAO_left,0.1,10,3,7,177.5,0.5,2341.2,373.1
51,-156.1,-792.1,377.6,51,MAO_left,0.1,10,2,8,166.6,0.4,2708.0,396.5
52,-13.9,-776.6,732.9,49,MAO_left,0.1,12,2,9,153.9,0.4,2548.5,426.8
53,-81.5,-1114.3,1523.2,21,MAO_left,0.1,10,2,8,125.0,0.3,2596.9,429.0
54,-116.2,-800.1,469.5,51,MAO_left,0.1,13,1,12,173.4,0.4,3283.7,410.3
55,-278.5,-1044.1,795.8,46,MAO_left,0.1,8,1,7,167.9,0.4,2014.0,421.9
56,-451.3,-992.5,334.3,74,MAO_left,0.1,11,1,10,156.0,0.3,2590.2,456.3
57,-119.9,-1045.6,1270.0,37,MAO_left,0.1,11,3,8,165.0,0.5,2237.1,347.3
58,-449.1,-894.3,455.6,22,MAO_left,0.1,12,1,11,151.5,0.4,2773.4,414.2
59,-301.6,-1119.0,1099.1,3,MAO_left,0.1,9,2,6,146.9,0.3,1919.1,424.4
60,-620.8,-1068.8,320.3,0,MAO_left,0.1,12,3,9,203.6,0.4,3471.5,457.1
61,-907.2,-1151.1,269.3,44,MAO_left,0.1,13,3,10,152.8,0.4,3507.6,413.3
62,-178.6,-1038.5,1000.5,56,MAO_left,0.1,11,3,8,170.5,0.4,2666.8,429.2
63,-149.4,-1031.6,1041.8,56,MAO_left,0.1,11,1,10,175.8,0.4,2484.1,435.5
64,-530.5,-1150.0,708.8,19,MAO_left,0.1,12,3,9,172.3,0.4,2884.9,393.4
65,-583.0,-1120.8,200.1,40,MAO_left,0.1,9,2,7,149.5,0.3,2262.8,465.3
66,-101.6,-725.9,249.4,39,MAO_left,0.1,12,1,11,200.5,0.5,2805.7,405.0
67,-70.0,-1154.5,1494.3,21,MAO_left,0.1,10,4,6,163.2,0.4,2266.3,430.7
68,-422.6,-1060.2,710.8,65,MAO_left,0.1,10,5,5,149.1,0.4,1651.9,368.5
69,-52.1,-727.5,791.6,52,MAO_left,0.1,10,2,8,154.2,0.4,2301.1,437.3
70,-81.0,-942.6,988.1,29,MAO_left,0.1,10,2,7,174.2,0.4,2090.6,404.2
71,-256.6,-1022.9,615.8,47,MAO_left,0.1,9,2,7,168.2,0.4,2070.6,393.9
72,-155.1,-897.1,395.5,54,MAO_left,0.1,8,2,6,169.3,0.4,1827.7,387.5
73,-360.4,-887.2,512.2,23,MAO_left,0.1,9,3,6,159.8,0.4,2203.7,424.7
74,-350.0,-915.4,205.8,26,MAO_left,0.1,9,1,8,172.3,0.5,2071.2,345.4
75,-162.6,-864.1,398.2,20,MAO_left,0.1,10,2,8,169.9,0.4,2729.3,463.9
76,-637.7,-1161.0,178.9,40,MAO_left,0.1,11,2,9,141.0,0.3,2823.4,429.5
77,-148.6,-920.9,647.0,34,MAO_left,0.1,11,1,10,160.5,0.4,3112.8,425.8
78,-151.4,-1127.9,1534.6,28,MAO_left,0.1,10,3,7,120.1,0.3,2569.8,412.5
79,-453.2,-979.9,434.4,42,MAO_left,0.1,10,3,7,175.0,0.4,3214.0,447.7
80,-60.0,-815.6,890.3,11,MAO_left,0.1,12,2,10,168.6,0.5,2486.8,341.6
81,-382.2,-969.7,205.1,26,MAO_left,0.1,13,1,12,119.6,0.3,2325.2,404.6
82,-657.6,-1077.3,110.2,50,MAO_left,0.1,10,3,7,114.4,0.3,2344.1,374.8
83,-42.6,-1137.5,1434.6,2,MAO_left,0.1,9,1,8,187.7,0.4,1973.5,424.0
84,-594.1,-1053.7,573.3,16,MAO_left,0.1,12,2,9,176.5,0.4,2698.9,402.3
85,-183.3,-795.8,338.3,20,MAO_left,0.1,8,4,4,204.7,0.5,2366.4,435.0
86,-96.9,-770.3,710.7,49,MAO_left,0.1,11,2,9,187.8,0.4,2789.1,440.3
87,-124.0,-1022.5,421.0,38,MAO_left,0.1,10,3,7,174.1,0.4,2699.2,462.6
88,-226.0,-1114.9,887.2,13,MAO_left,0.1,11,2,8,153.8,0.4,2785.7,416.6
89,-92.6,-912.1,342.8,54,MAO_left,0.1,10,4,6,157.7,0.3,2583.4,454.4
90,-383.1,-912.0,489.5,23,MAO_left,0.1,8,2,6,137.4,0.3,2363.5,434.0
91,-451.8,-1098.6,527.6,63,MAO_left,0.1,11,3,8,155.1,0.4,2984.0,427.6
92,-161.9,-1077.8,1243.3,37,MAO_left,0.1,10,2,8,148.4,0.3,1568.6,425.5
93,-507.5,-970.6,373.2,42,MAO_left,0.1,11,3,8,176.1,0.4,3220.3,457.3
94,-62.3,-887.2,546.4,25,MAO_left,0.1,7,2,5,153.8,0.3,1930.5,446.3
95,-461.1,-1126.1,757.5,19,MAO_left,0.1,9,3,6,152.5,0.3,2152.0,438.8
96,-492.7,-1008.5,390.1,42,MAO_left,0.1,8,1,7,184.5,0.4,1787.4,412.6
97,-243.4,-1112.4,839.3,13,MAO_left,0.1,9,1,8,174.6,0.4,2242.8,462.4
98,-121.5,-791.7,521.4,68,MAO_left,0.1,6,1,5,162.8,0.4,1671.9,402.8
