gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-564.8,-1286.5,1072.7,26,PO_left,0.0,2,2,0,8.9,0.4,30.9,23.4
1,-390.9,-1106.3,1288.0,18,PO_left,0.0,10,1,9,180.5,0.4,3007.5,436.0
2,-330.4,-1101.6,1563.8,43,PO_left,0.0,9,2,7,146.7,0.4,1532.7,406.7
3,-291.0,-1081.1,1575.8,43,PO_left,0.0,5,1,4,52.6,0.4,357.9,137.7
4,-256.5,-1097.2,1666.1,64,PO_left,0.0,9,1,8,122.4,0.4,1653.0,272.9
5,-529.9,-1119.5,1162.0,47,PO_left,0.0,8,2,6,116.1,0.4,1034.4,260.1
6,-493.5,-1084.2,1081.7,41,PO_left,0.0,11,2,9,130.3,0.3,2675.5,378.5
7,-28.9,-596.2,427.7,31,PO_left,0.0,10,2,8,161.2,0.4,2835.5,449.6
8,-107.0,-941.2,1197.1,13,PO_left,0.0,11,2,9,170.6,0.4,2249.3,431.1
9,-308.3,-1084.6,1283.0,63,PO_left,0.0,11,3,8,113.7,0.3,1948.8,354.0
10,-432.5,-1142.5,1189.5,8,PO_left,0.0,8,2,6,129.3,0.4,1569.0,368.5
11,-527.8,-1118.5,1179.6,47,PO_left,0.0,10,1,9,126.2,0.4,1946.5,359.3
12,-641.8,-1140.6,1296.1,19,PO_left,0.0,10,1,9,181.4,0.5,2369.1,384.2
13,-159.6,-943.8,1097.4,17,PO_left,0.0,12,2,10,150.4,0.4,2531.9,384.8
14,-217.1,-1019.4,1658.0,64,PO_left,0.0,7,1,6,166.7,0.4,1856.3,406.8
15,-411.4,-1054.7,1567.8,20,PO_left,0.0,11,2,9,166.0,0.4,2453.6,445.6
16,-147.3,-931.2,1260.9,37,PO_left,0.0,10,1,9,164.5,0.4,3070.7,422.7
17,-630.0,-1170.6,1279.6,19,PO_left,0.0,12,2,10,183.5,0.5,2904.4,389.7
18,-300.7,-1128.3,1647.0,16,PO_left,0.0,8,2,6,145.8,0.4,1603.3,335.7
19,-43.8,-942.0,1404.3,58,PO_left,0.0,8,3,5,87.2,0.3,1533.4,336.7
20,-504.0,-1065.0,1162.0,41,PO_left,0.0,9,3,6,117.4,0.3,1873.2,364.1
21,-362.8,-1087.5,1686.1,16,PO_left,0.0,10,1,9,147.9,0.4,2480.0,406.5
22,-184.1,-1034.0,1352.5,25,PO_left,0.0,12,4,8,124.0,0.3,2495.2,394.3
23,-424.8,-1132.1,1585.4,20,PO_left,0.0,11,3,8,187.7,0.5,1903.2,355.9
24,-241.2,-1116.4,1692.2,64,PO_left,0.0,10,2,8,104.2,0.3,1592.8,328.4
25,-95.2,-902.7,1561.8,10,PO_left,0.0,10,2,8,125.0,0.3,2699.9,432.6
26,-167.9,-1001.8,1452.9,5,PO_left,0.0,10,1,9,158.7,0.4,2628.9,423.1
27,-44.7,-536.8,561.0,1,PO_left,0.0,9,1,8,180.6,0.4,1943.2,410.6
28,-670.1,-1199.4,1243.0,19,PO_left,0.0,11,3,8,147.9,0.4,2189.1,396.8
29,-309.2,-1057.2,1396.0,57,PO_left,0.0,9,2,7,128.1,0.4,1496.9,318.4
30,-619.0,-1262.9,1078.2,26,PO_left,0.0,9,1,8,145.5,0.3,1839.9,430.5
31,-621.1,-1113.5,1207.8,47,PO_left,0.0,9,1,8,149.5,0.4,1565.9,335.7
32,-171.1,-704.1,756.2,44,PO_left,0.0,11,1,10,173.0,0.5,1612.4,383.7
33,-72.4,-855.1,1549.4,29,PO_left,0.0,11,3,8,176.4,0.4,2808.4,425.0
34,-210.4,-888.6,947.9,28,PO_left,0.0,8,1,7,89.2,0.2,1852.2,395.8
35,-227.8,-1006.4,1027.6,59,PO_left,0.0,9,2,6,133.1,0.3,1904.4,394.5
36,-181.0,-1097.3,1651.0,60,PO_left,0.0,1,1,0,7.5,1.0,7.5,7.5
37,-224.3,-1063.9,1639.3,64,PO_left,0.0,10,2,8,99.9,0.3,2061.9,349.2
38,-426.3,-1140.8,1116.7,22,PO_left,0.0,8,4,4,141.3,0.5,1490.3,302.1
39,-525.7,-1104.9,1253.1,66,PO_left,0.0,9,2,7,143.1,0.3,2476.2,449.7
40,-264.7,-1096.0,1621.5,43,PO_left,0.0,9,2,7,158.7,0.5,2185.8,350.0
41,-3.4,-595.8,459.2,1,PO_left,0.0,8,2,6,150.3,0.4,1842.4,417.1
42,-533.4,-1110.5,1586.8,32,PO_left,0.0,11,1,10,155.6,0.4,2306.1,376.6
43,-139.0,-963.3,1572.0,10,PO_left,0.0,9,1,8,140.2,0.4,2039.1,391.4
44,-127.0,-911.6,1198.4,13,PO_left,0.0,8,3,5,169.2,0.4,2086.5,461.2
45,-119.1,-884.9,1513.7,29,PO_left,0.0,7,1,6,120.0,0.3,1567.5,383.7
46,-139.6,-1085.0,1709.2,60,PO_left,0.0,10,4,5,150.3,0.4,2069.0,402.9
47,-233.4,-1077.3,1730.5,64,PO_left,0.0,9,4,5,138.4,0.4,1817.1,390.8
48,-337.4,-1035.6,1067.7,55,PO_left,0.0,11,1,10,195.3,0.5,2527.6,433.4
49,-201.5,-962.7,1004.8,59,PO_left,0.0,11,2,9,156.6,0.4,2278.4,383.6
50,-491.3,-1090.5,1563.0,20,PO_left,0.0,10,2,8,166.5,0.4,2058.7,389.3
51,-522.2,-1124.5,1577.6,32,PO_left,0.0,9,2,7,174.2,0.5,1666.6,375.5
52,-139.2,-838.0,1160.4,36,PO_left,0.0,10,3,7,130.1,0.3,2594.5,377.2
53,-513.0,-1210.5,1051.1,22,PO_left,0.0,10,2,8,187.3,0.5,2612.3,414.4
54,-67.1,-862.9,1377.2,0,PO_left,0.0,10,1,9,111.1,0.3,1960.6,432.9
55,-680.8,-1246.9,940.9,48,PO_left,0.0,8,5,2,190.7,0.5,1732.4,396.5
56,-267.8,-1056.7,1436.5,57,PO_left,0.0,9,1,8,187.1,0.5,2069.6,387.0
57,-124.2,-918.5,1238.9,13,PO_left,0.0,9,3,6,177.0,0.4,2370.6,428.4
58,-109.5,-828.2,984.8,71,PO_left,0.0,12,3,9,179.4,0.5,2902.6,371.7
59,-375.1,-1142.4,1669.2,16,PO_left,0.0,9,1,8,99.0,0.2,2030.7,396.5
60,-134.3,-895.3,1370.8,0,PO_left,0.0,9,2,7,154.2,0.3,2376.9,443.1
