gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-115.2,-1078.3,1162.5,67,MAO_left,0.2,6,1,5,144.1,0.3,1940.3,475.0
1,-76.2,-1045.1,1361.9,32,MAO_left,0.2,11,1,10,208.5,0.5,2036.7,386.1
2,-85.8,-1039.1,1097.1,12,MAO_left,0.2,11,3,8,141.6,0.4,2447.2,347.4
3,-13.9,-776.6,732.9,49,MAO_left,0.2,12,1,11,203.4,0.5,3133.5,407.9
4,-94.1,-1157.4,1423.5,2,MAO_left,0.2,11,1,10,240.2,0.6,3093.2,415.5
5,-18.4,-737.0,592.4,68,MAO_left,0.2,9,4,3,127.8,0.3,1611.5,390.7
6,-38.8,-1055.6,1564.1,21,MAO_left,0.2,7,1,6,186.9,0.5,1199.4,372.9
7,-45.3,-758.4,587.9,68,MAO_left,0.2,11,3,8,173.2,0.4,2858.9,429.1
8,-233.6,-1131.7,1087.3,3,MAO_left,0.2,8,2,6,163.7,0.5,1905.4,334.6
9,-52.7,-1132.7,1034.1,35,MAO_left,0.2,12,3,9,178.4,0.4,3315.8,454.0
10,-375.1,-897.3,358.3,4,MAO_left,0.2,9,3,5,135.4,0.3,2109.9,461.1
11,-186.4,-1148.1,1578.8,28,MAO_left,0.2,9,3,6,86.8,0.2,1850.2,481.2
12,-172.5,-793.0,528.5,60,MAO_left,0.2,11,2,9,196.3,0.5,2840.9,400.5
13,-523.7,-1095.0,633.9,16,MAO_left,0.2,11,4,7,162.5,0.4,2014.6,390.8
14,-474.1,-1079.5,403.6,31,MAO_left,0.2,11,2,9,168.0,0.4,2432.9,458.1
15,-119.9,-1045.6,1270.0,37,MAO_left,0.2,11,3,8,189.4,0.4,2738.6,422.6
16,-360.4,-887.2,512.2,23,MAO_left,0.2,9,3,6,149.8,0.4,2230.5,371.6
17,-229.3,-829.0,506.5,60,MAO_left,0.2,10,2,8,153.7,0.4,2423.5,383.3
18,-317.8,-976.4,511.5,41,MAO_left,0.2,9,1,8,187.8,0.4,2206.4,443.1
19,-569.0,-1017.0,5.9,36,MAO_left,0.2,11,5,6,206.3,0.4,2434.5,465.8
20,-783.3,-1140.8,349.6,44,MAO_left,0.2,11,1,10,183.2,0.4,2280.7,429.2
21,-108.1,-937.6,414.2,38,MAO_left,0.2,9,3,6,164.3,0.4,2416.8,436.9
22,-88.4,-834.9,624.9,7,MAO_left,0.2,10,2,7,102.1,0.3,1391.9,393.2
23,-239.8,-1097.1,835.6,13,MAO_left,0.2,12,2,10,166.8,0.4,3684.4,451.3
24,-817.6,-1098.0,296.5,44,MAO_left,0.2,10,1,8,200.8,0.5,2237.7,424.3
25,-32.9,-1050.4,1470.2,2,MAO_left,0.2,13,3,10,130.1,0.3,2430.1,377.8
26,-528.2,-1099.0,129.5,40,MAO_left,0.2,10,2,7,147.3,0.4,2336.5,417.9
27,-22.8,-911.1,1191.2,62,MAO_left,0.2,1,1,0,20.4,0.7,30.5,30.5
28,-241.1,-852.0,330.4,20,MAO_left,0.2,10,2,8,150.4,0.4,1867.1,425.0
29,-619.1,-1028.8,42.0,36,MAO_left,0.2,11,3,8,199.7,0.5,2779.4,429.4
30,-304.4,-888.1,147.9,26,MAO_left,0.2,12,3,9,228.9,0.6,3324.0,403.1
31,-715.8,-1180.3,433.6,8,MAO_left,0.2,11,2,8,169.3,0.5,2337.9,346.7
32,-676.5,-1042.8,276.6,58,MAO_left,0.2,7,2,5,228.5,0.6,1991.5,390.2
33,-105.1,-1098.1,1650.5,64,MAO_left,0.2,10,1,9,139.2,0.4,1881.7,361.6
34,-454.4,-1020.1,654.7,65,MAO_left,0.2,8,1,7,124.6,0.3,1821.4,406.5
35,-2.4,-1039.6,1337.4,32,MAO_left,0.2,9,4,5,176.4,0.4,1951.3,430.6
36,-59.5,-835.2,790.4,18,MAO_left,0.2,11,2,9,151.6,0.4,2567.8,413.7
37,-162.6,-864.1,398.2,20,MAO_left,0.2,10,2,8,179.3,0.4,3026.3,412.7
38,-76.1,-759.9,436.5,27,MAO_left,0.2,9,3,6,176.6,0.4,2822.8,441.9
39,-60.0,-815.6,890.3,11,MAO_left,0.2,12,2,10,131.7,0.4,1603.3,358.8
40,-517.0,-1063.6,459.9,31,MAO_left,0.2,12,2,10,163.9,0.4,2939.9,448.1
41,-182.6,-961.9,619.2,34,MAO_left,0.2,10,2,8,210.8,0.5,2034.1,402.5
42,-380.8,-1048.2,650.1,47,MAO_left,0.2,9,2,7,174.6,0.4,1977.2,426.4
43,-226.7,-928.3,391.6,30,MAO_left,0.2,9,1,8,174.5,0.5,2240.6,386.7
44,-44.1,-682.7,323.6,1,MAO_left,0.2,13,4,8,180.0,0.4,3267.3,421.6
45,-726.5,-1099.3,169.9,6,MAO_left,0.2,10,1,9,146.3,0.4,2278.5,374.4
46,-119.8,-918.8,291.0,54,MAO_left,0.2,9,1,8,140.0,0.4,2035.5,363.4
47,-141.0,-904.0,309.9,54,MAO_left,0.2,10,1,9,219.7,0.5,3022.6,456.9
48,-301.6,-1119.0,1099.1,3,MAO_left,0.2,8,2,6,155.6,0.4,1686.9,389.8
49,-121.5,-791.7,521.4,68,MAO_left,0.2,6,1,5,193.6,0.4,1661.0,434.9
50,-136.5,-925.5,724.4,71,MAO_left,0.2,7,1,6,163.6,0.4,1824.0,407.8
51,-315.5,-911.0,187.4,26,MAO_left,0.2,12,1,11,168.5,0.5,2348.1,357.4
52,-436.3,-1058.5,649.4,65,MAO_left,0.2,8,4,4,197.3,0.5,2238.8,394.9
53,4.4,-860.6,406.4,27,MAO_left,0.2,9,1,8,191.2,0.4,2266.0,457.8
54,-226.0,-1114.9,887.2,13,MAO_left,0.2,11,2,9,166.9,0.4,2570.7,403.9
55,-614.6,-1005.0,105.0,50,MAO_left,0.2,11,2,9,206.4,0.5,2955.9,432.4
56,-62.5,-734.1,779.2,52,MAO_left,0.2,9,3,5,96.9,0.3,1610.4,324.0
57,-23.2,-845.9,946.8,11,MAO_left,0.2,10,1,9,179.2,0.4,1909.3,411.5
58,-297.3,-1078.9,758.2,46,MAO_left,0.2,8,2,5,117.5,0.3,1508.0,362.8
59,-161.0,-1096.5,1495.9,28,MAO_left,0.2,9,1,8,170.8,0.4,2271.9,411.1
60,-382.2,-969.7,205.1,26,MAO_left,0.2,13,1,11,138.0,0.3,2767.6,424.3
61,-639.3,-1069.6,264.1,58,MAO_left,0.2,8,1,7,160.2,0.5,1613.3,339.5
62,-601.0,-1108.3,607.8,16,MAO_left,0.2,12,1,11,137.2,0.4,2000.7,329.6
63,-147.1,-1118.5,1486.4,28,MAO_left,0.2,7,3,4,143.5,0.4,1701.5,379.7
64,-240.8,-950.8,500.2,30,MAO_left,0.2,7,1,6,166.0,0.4,1689.2,374.6
65,-583.7,-1143.3,352.7,53,MAO_left,0.2,10,1,9,170.2,0.4,1987.7,452.1
66,-68.0,-1073.3,979.2,55,MAO_left,0.2,10,4,6,152.3,0.4,2766.9,389.7
67,-71.1,-1042.8,1152.7,12,MAO_left,0.2,9,2,7,155.7,0.4,2739.8,407.2
68,-547.6,-1118.1,639.2,16,MAO_left,0.2,11,1,10,146.4,0.3,2655.1,419.0
69,-42.7,-959.2,796.7,70,MAO_left,0.2,11,5,6,165.8,0.4,3241.4,392.0
70,-148.1,-876.7,834.9,18,MAO_left,0.2,7,1,6,175.1,0.4,2175.0,438.5
71,-109.9,-1067.1,1597.3,64,MAO_left,0.2,10,2,8,120.3,0.4,2076.5,313.5
72,-39.8,-1014.1,628.6,5,MAO_left,0.2,11,1,10,185.3,0.5,2701.6,391.1
73,-509.8,-1019.4,200.9,10,MAO_left,0.2,11,1,10,168.3,0.4,2638.0,422.7
74,-33.2,-698.1,603.4,68,MAO_left,0.2,10,3,7,239.6,0.5,2870.9,472.7
75,-487.4,-1148.1,666.1,19,MAO_left,0.2,10,3,7,163.9,0.4,2769.1,449.0
76,-608.6,-1134.2,256.0,69,MAO_left,0.2,9,1,8,171.6,0.4,2195.1,430.4
77,-416.7,-1009.8,117.7,45,MAO_left,0.2,10,3,7,127.6,0.3,2518.6,429.3
78,-87.4,-966.0,483.8,38,MAO_left,0.2,10,2,8,144.3,0.4,1814.3,370.2
79,-124.3,-722.1,272.7,39,MAO_left,0.2,10,2,8,185.9,0.5,2875.4,386.6
80,-251.5,-1148.6,1280.1,33,MAO_left,0.2,9,1,8,151.7,0.4,2125.4,409.6
81,-310.4,-910.6,488.3,23,MAO_left,0.2,10,1,9,135.7,0.3,2618.7,428.9
82,-180.6,-953.8,716.2,72,MAO_left,0.2,11,5,6,194.2,0.5,2718.1,405.3
83,-161.9,-1077.8,1243.3,37,MAO_left,0.2,10,2,8,146.1,0.3,2265.9,427.4
84,-52.8,-1081.3,1277.3,24,MAO_left,0.2,10,2,8,155.7,0.4,2348.3,423.9
85,-637.7,-1161.0,178.9,40,MAO_left,0.2,8,2,5,158.3,0.4,1888.7,398.9
86,-772.5,-1087.6,252.6,14,MAO_left,0.2,10,2,8,150.2,0.4,1914.6,383.4
87,-893.2,-1152.5,310.6,44,MAO_left,0.2,10,1,9,121.3,0.3,1744.1,434.4
88,-92.0,-830.8,851.3,18,MAO_left,0.2,9,2,7,165.8,0.4,1911.1,465.9
89,-555.6,-1026.4,257.2,17,MAO_left,0.2,8,1,7,117.4,0.3,2039.9,433.1
90,-397.7,-884.7,396.1,4,MAO_left,0.2,9,2,6,141.8,0.3,2453.4,458.0
91,-650.7,-1068.6,236.1,58,MAO_left,0.2,11,1,9,158.9,0.4,1345.7,387.4
92,-302.7,-886.4,359.5,4,MAO_left,0.2,10,1,9,180.9,0.5,2501.0,399.5
93,-256.1,-1084.1,1020.9,56,MAO_left,0.2,13,2,11,134.2,0.3,2562.5,389.4
94,-816.3,-1171.6,296.1,44,MAO_left,0.2,8,4,4,165.4,0.4,2652.0,456.9
95,-88.4,-1037.7,621.9,5,MAO_left,0.2,13,3,10,205.8,0.5,3689.5,435.5
96,-716.8,-1127.6,538.8,8,MAO_left,0.2,12,1,11,166.3,0.4,1910.7,416.0
97,-97.6,-1000.3,638.5,5,MAO_left,0.2,10,2,8,178.3,0.4,2429.3,422.0
98,-401.8,-1012.0,511.8,41,MAO_left,0.2,11,3,8,140.1,0.5,2109.2,287.8
99,-448.4,-1000.9,520.0,63,MAO_left,0.2,11,1,9,132.8,0.3,2169.5,472.4
100,-383.1,-912.0,489.5,23,MAO_left,0.2,8,2,6,138.2,0.3,2402.9,462.7
101,-58.2,-796.5,350.4,1,MAO_left,0.2,9,2,7,184.0,0.4,2444.1,475.3
102,-284.9,-1084.5,1259.1,33,MAO_left,0.2,8,2,6,146.3,0.3,2142.5,444.7
103,-137.2,-1135.6,1044.0,56,MAO_left,0.2,11,2,9,161.2,0.4,3001.5,439.2
104,-102.4,-955.9,963.7,29,MAO_left,0.2,8,2,6,185.1,0.5,1723.0,398.7
105,-498.7,-1055.2,32.6,45,MAO_left,0.2,11,2,9,177.3,0.5,1851.1,341.6
106,-531.0,-1053.2,512.5,31,MAO_left,0.2,9,1,8,175.8,0.4,2600.5,410.8
107,-340.9,-965.6,180.3,26,MAO_left,0.2,13,2,11,159.5,0.5,2560.5,339.8
108,-323.7,-1120.0,833.8,61,MAO_left,0.2,9,2,7,171.5,0.4,2159.2,400.4
109,-53.1,-743.6,512.0,68,MAO_left,0.2,10,3,7,179.9,0.4,2187.2,461.2
110,-21.0,-776.6,424.0,27,MAO_left,0.2,11,2,9,138.1,0.4,2023.3,373.7
111,-523.5,-1000.7,117.8,73,MAO_left,0.2,7,2,5,140.6,0.4,1299.5,372.6
112,-196.4,-860.5,514.2,60,MAO_left,0.2,10,3,7,191.3,0.5,2546.1,414.1
113,-327.3,-930.5,401.5,4,MAO_left,0.2,8,2,6,159.8,0.4,1985.0,411.6
114,-124.9,-884.7,229.7,48,MAO_left,0.2,7,1,6,176.9,0.4,1640.7,429.3
115,-72.1,-1129.0,1428.8,2,MAO_left,0.2,10,2,8,181.4,0.5,2468.7,378.5
116,-204.7,-1099.0,1244.5,33,MAO_left,0.2,10,5,4,82.6,0.2,1877.9,350.1
117,-80.3,-751.4,221.1,39,MAO_left,0.2,11,1,9,163.1,0.4,2892.0,438.1
118,-72.2,-951.8,590.2,5,MAO_left,0.2,13,2,11,157.3,0.5,2093.1,304.2
119,-19.5,-829.8,641.5,7,MAO_left,0.2,10,1,9,206.3,0.5,2305.5,450.5
120,-344.3,-1030.3,615.6,47,MAO_left,0.2,10,1,9,189.9,0.5,2163.8,401.7
121,-783.6,-1143.5,235.1,57,MAO_left,0.2,11,3,8,176.6,0.5,1739.3,333.8
122,-39.3,-978.7,1145.4,12,MAO_left,0.2,11,1,10,197.0,0.4,3078.4,468.2
123,-79.4,-1003.8,800.2,70,MAO_left,0.2,8,2,6,168.0,0.4,2232.9,403.1
124,-142.5,-1050.9,824.0,43,MAO_left,0.2,10,1,9,196.9,0.5,2343.7,393.4
125,-427.8,-1066.6,797.0,65,MAO_left,0.2,9,2,6,196.5,0.4,2165.4,461.4
