gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-7.5,-882.2,447.3,25,MAO_left,0.6,10,2,8,181.0,0.4,2855.0,423.9
1,-327.3,-930.5,401.5,4,MAO_left,0.6,8,2,6,163.9,0.4,2357.4,413.3
2,-695.2,-1096.5,521.2,8,MAO_left,0.6,1,1,0,11.2,0.5,21.4,21.4
3,-611.2,-1048.1,269.9,58,MAO_left,0.6,9,1,8,237.5,0.5,2160.7,454.1
4,-142.0,-901.0,407.1,54,MAO_left,0.6,10,2,8,160.3,0.4,2679.2,443.3
5,-893.2,-1152.5,310.6,44,MAO_left,0.6,10,2,8,192.3,0.4,2921.7,454.4
6,-351.8,-902.1,388.7,4,MAO_left,0.6,11,3,8,154.2,0.4,2167.4,361.3
7,-73.7,-824.6,853.3,18,MAO_left,0.6,11,2,9,128.6,0.4,2320.5,335.4
8,-186.0,-1116.3,1537.4,28,MAO_left,0.6,9,4,5,128.5,0.4,2219.4,364.7
9,-511.3,-949.7,460.2,22,MAO_left,0.6,11,2,9,183.5,0.4,2725.6,416.2
10,-250.8,-1104.6,955.9,61,MAO_left,0.6,11,2,9,158.4,0.4,2065.6,392.4
11,-44.1,-682.7,323.6,1,MAO_left,0.6,13,4,8,146.3,0.4,3292.4,389.7
12,-639.3,-1069.6,264.1,58,MAO_left,0.6,8,1,7,140.1,0.4,1803.2,336.3
13,-470.1,-922.5,431.0,22,MAO_left,0.6,10,3,7,182.0,0.5,2947.1,394.7
14,-245.1,-909.5,435.0,30,MAO_left,0.6,12,2,9,217.9,0.5,3426.0,454.4
15,-226.0,-1114.9,887.2,13,MAO_left,0.6,5,2,3,118.3,0.3,1124.3,398.5
16,-416.7,-1009.8,117.7,45,MAO_left,0.6,8,2,5,173.7,0.4,1918.1,414.8
17,-19.5,-829.8,641.5,7,MAO_left,0.6,10,2,8,188.1,0.4,2411.0,435.1
18,-119.0,-1160.0,1660.8,64,MAO_left,0.6,11,1,10,121.2,0.3,2299.9,412.4
19,-619.1,-1028.8,42.0,36,MAO_left,0.6,11,3,8,175.1,0.4,2389.1,424.4
20,-380.8,-1048.2,650.1,47,MAO_left,0.6,9,2,7,157.9,0.4,1825.8,436.8
21,-124.9,-884.7,229.7,48,MAO_left,0.6,7,1,6,189.1,0.4,1913.7,422.0
22,-583.0,-1121.4,188.9,40,MAO_left,0.6,11,2,9,214.5,0.4,2472.5,477.6
23,-23.2,-845.9,946.8,11,MAO_left,0.6,10,1,8,203.8,0.5,1450.4,418.8
24,-475.8,-1082.3,245.4,10,MAO_left,0.6,10,2,8,194.5,0.6,1672.9,347.2
25,-94.1,-1157.4,1423.5,2,MAO_left,0.6,11,1,10,239.7,0.6,2946.9,430.5
26,-523.7,-1095.0,633.9,16,MAO_left,0.6,11,2,9,157.5,0.4,1652.4,354.3
27,-33.2,-698.1,603.4,68,MAO_left,0.6,10,3,6,204.9,0.5,2405.2,401.8
28,-119.9,-1045.6,1270.0,37,MAO_left,0.6,11,2,9,189.4,0.5,2235.7,358.0
29,-129.4,-835.6,634.1,7,MAO_left,0.6,8,3,5,106.9,0.3,2114.0,386.4
30,-30.7,-766.8,331.7,1,MAO_left,0.6,11,3,8,193.5,0.5,2586.0,410.5
31,-474.1,-1079.5,403.6,31,MAO_left,0.6,11,2,9,168.0,0.4,2988.6,438.0
32,-142.5,-1050.9,824.0,43,MAO_left,0.6,10,1,9,182.1,0.5,2077.9,376.4
33,-55.1,-952.3,1170.2,62,MAO_left,0.6,11,4,7,142.4,0.4,2031.0,374.3
34,-549.8,-937.2,334.8,17,MAO_left,0.6,9,2,7,198.6,0.4,2422.8,478.1
35,-45.3,-758.4,587.9,68,MAO_left,0.6,11,2,9,169.1,0.4,2716.6,470.8
36,-167.3,-1066.7,886.0,13,MAO_left,0.6,11,4,7,162.4,0.4,3124.7,431.3
37,-84.6,-804.3,406.8,51,MAO_left,0.6,10,1,9,195.5,0.5,2293.2,402.1
38,-657.2,-1017.6,273.4,58,MAO_left,0.6,10,1,9,189.7,0.4,2751.9,431.0
39,-203.8,-1064.8,1287.0,37,MAO_left,0.6,11,2,8,167.8,0.4,1848.1,398.5
40,-48.8,-740.1,660.4,49,MAO_left,0.6,7,2,5,151.3,0.4,1612.5,416.6
41,-100.6,-1124.4,1202.0,67,MAO_left,0.6,7,1,6,122.0,0.3,1236.2,376.4
42,-195.0,-1020.7,784.8,72,MAO_left,0.6,11,1,10,115.0,0.3,2770.2,389.3
43,-122.4,-840.1,807.3,18,MAO_left,0.6,11,4,7,125.1,0.3,2743.0,392.3
44,-74.8,-1036.7,870.8,43,MAO_left,0.6,9,3,6,183.2,0.5,2084.4,396.8
45,-232.2,-887.6,619.4,60,MAO_left,0.6,9,2,7,161.6,0.3,1779.1,482.1
46,-148.6,-920.9,647.0,34,MAO_left,0.6,11,1,10,160.5,0.4,3023.0,408.3
47,-168.5,-1049.6,662.3,34,MAO_left,0.6,11,1,10,202.1,0.4,2035.4,453.9
48,-322.3,-1075.7,884.6,61,MAO_left,0.6,11,2,9,121.3,0.3,2199.8,438.5
49,-106.9,-1088.4,1500.7,21,MAO_left,0.6,11,3,8,141.6,0.3,2980.3,464.1
50,-107.3,-1148.5,1413.1,2,MAO_left,0.6,10,1,9,153.5,0.3,2582.2,449.7
51,-857.0,-1156.5,214.3,57,MAO_left,0.6,8,1,7,240.0,0.5,1625.9,454.4
52,-108.1,-937.6,414.2,38,MAO_left,0.6,9,3,6,142.1,0.4,1823.7,351.2
53,-560.9,-1075.5,351.9,53,MAO_left,0.6,9,1,8,167.6,0.4,2169.4,399.0
54,-635.8,-1109.1,337.1,0,MAO_left,0.6,11,3,8,124.9,0.3,2130.1,410.7
55,-121.5,-791.7,521.4,68,MAO_left,0.6,6,1,5,205.4,0.5,1708.3,405.6
56,-716.8,-1123.8,414.6,59,MAO_left,0.6,10,2,8,167.5,0.4,3327.8,474.8
57,-475.6,-1135.1,786.4,19,MAO_left,0.6,10,4,6,184.2,0.4,3407.8,461.3
58,-62.5,-734.1,779.2,52,MAO_left,0.6,9,3,6,97.7,0.3,1412.7,337.6
59,-326.5,-1116.9,1148.1,3,MAO_left,0.6,12,2,10,223.4,0.5,3342.8,471.0
60,-70.4,-997.9,1039.8,29,MAO_left,0.6,10,1,9,152.2,0.4,2495.3,418.4
61,-87.1,-819.7,808.7,18,MAO_left,0.6,7,2,5,87.5,0.2,2147.0,435.6
62,-295.0,-1144.0,1186.5,3,MAO_left,0.6,10,2,8,179.0,0.5,1963.8,391.9
