gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-564.8,-1286.5,1072.7,26,PO_left,0.9,2,2,0,8.9,0.4,30.9,23.4
1,-291.0,-1081.1,1575.8,43,PO_left,0.9,3,1,2,44.5,0.4,301.6,122.5
2,-527.8,-1118.5,1179.6,47,PO_left,0.9,9,1,8,130.0,0.3,1407.0,401.1
3,-225.4,-1005.0,1258.7,52,PO_left,0.9,9,1,8,91.7,0.3,1058.2,318.1
4,-658.9,-1228.0,1158.4,73,PO_left,0.9,6,1,5,172.9,0.5,1608.3,373.4
5,-121.7,-865.8,1294.9,0,PO_left,0.9,10,1,9,161.6,0.4,2478.1,413.5
6,-217.1,-1019.4,1658.0,64,PO_left,0.9,7,1,6,219.8,0.6,1537.1,382.8
7,-102.6,-696.8,598.8,72,PO_left,0.9,11,3,7,185.0,0.4,2558.6,418.2
8,-72.4,-855.1,1549.4,29,PO_left,0.9,11,3,8,173.7,0.4,2467.4,403.4
9,-143.6,-944.8,1159.2,17,PO_left,0.9,12,1,9,115.4,0.3,1790.7,385.8
10,-499.7,-1102.6,1607.9,20,PO_left,0.9,10,3,7,199.2,0.4,2407.6,475.2
11,-264.7,-1096.0,1621.5,43,PO_left,0.9,9,2,7,167.0,0.4,2592.1,455.7
12,-171.1,-704.1,756.2,44,PO_left,0.9,11,1,10,209.8,0.5,1633.4,436.9
13,-475.4,-1149.4,1535.7,24,PO_left,0.9,12,3,9,155.5,0.4,2040.9,360.5
14,-522.0,-1108.5,1335.9,62,PO_left,0.9,8,2,6,123.2,0.3,1748.5,387.7
15,-102.2,-659.0,492.8,54,PO_left,0.9,10,3,7,218.9,0.6,1793.7,362.9
16,-418.9,-1085.8,1445.8,61,PO_left,0.9,11,3,8,171.7,0.4,1918.6,397.4
17,-566.0,-1109.3,1034.7,69,PO_left,0.9,11,3,8,152.6,0.4,2336.3,408.3
18,-418.2,-1118.2,1424.8,61,PO_left,0.9,7,1,5,169.4,0.5,1101.4,316.9
19,-579.4,-1103.5,1133.7,47,PO_left,0.9,12,3,9,161.8,0.4,2824.1,415.3
20,-326.9,-1076.8,1236.8,63,PO_left,0.9,11,2,7,122.7,0.4,1425.7,305.9
21,-413.1,-1028.1,1187.7,68,PO_left,0.9,12,2,10,173.7,0.5,2177.9,375.1
22,-642.3,-1171.3,1461.2,35,PO_left,0.9,7,3,4,172.4,0.4,1918.6,408.7
23,-150.0,-1021.7,1586.5,5,PO_left,0.9,9,3,6,143.4,0.3,2109.4,411.7
24,-37.7,-640.4,523.7,54,PO_left,0.9,10,1,9,170.8,0.4,2300.5,400.0
25,-24.5,-543.0,614.9,50,PO_left,0.9,8,1,7,104.4,0.3,1142.7,324.1
26,-104.4,-635.2,694.7,56,PO_left,0.9,9,2,7,150.4,0.4,1764.5,372.7
27,-201.3,-972.2,1007.0,59,PO_left,0.9,8,1,7,157.2,0.4,1865.2,412.1
28,-390.9,-1106.3,1288.0,18,PO_left,0.9,10,1,9,168.0,0.4,2341.5,478.8
29,-631.7,-1256.9,1265.4,49,PO_left,0.9,11,3,8,116.2,0.3,1644.6,371.3
30,-559.3,-1081.4,1136.5,41,PO_left,0.9,10,2,7,149.5,0.4,1965.9,417.3
31,-109.5,-828.2,984.8,71,PO_left,0.9,12,3,9,164.8,0.4,2683.0,432.2
32,-126.1,-927.6,1392.1,30,PO_left,0.9,11,3,8,194.6,0.5,3005.7,424.5
33,-611.2,-1195.2,1461.0,35,PO_left,0.9,10,2,8,204.9,0.4,2488.6,462.8
34,-140.7,-957.7,1711.8,74,PO_left,0.9,11,2,9,126.0,0.3,2409.4,425.3
35,-317.2,-1044.2,1209.6,63,PO_left,0.9,9,3,6,180.1,0.4,1896.9,417.7
36,-60.8,-667.1,897.3,23,PO_left,0.9,7,1,6,162.4,0.4,862.6,387.8
37,-110.6,-695.7,867.0,23,PO_left,0.9,10,3,7,245.5,0.5,2491.5,452.6
38,-695.7,-1256.4,1287.4,49,PO_left,0.9,14,4,10,132.6,0.3,2582.6,438.1
39,-210.4,-888.6,947.9,28,PO_left,0.9,8,1,7,102.5,0.2,1947.0,464.3
40,-107.6,-927.7,1349.7,58,PO_left,0.9,11,2,9,156.0,0.4,2169.4,423.0
41,-176.9,-901.2,1148.1,17,PO_left,0.9,8,3,5,87.8,0.2,1455.2,368.8
42,-159.6,-943.8,1097.4,17,PO_left,0.9,12,2,10,163.5,0.4,2638.6,419.2
43,-50.9,-807.0,1330.9,0,PO_left,0.9,9,2,7,142.2,0.3,1680.0,416.0
44,-348.5,-1067.3,1482.7,57,PO_left,0.9,8,1,6,150.5,0.5,1450.6,326.5
45,-477.7,-1060.5,1234.6,53,PO_left,0.9,8,3,5,137.0,0.4,1783.4,353.9
46,-267.8,-1056.7,1436.5,57,PO_left,0.9,9,1,7,124.4,0.4,1153.0,339.4
47,-504.0,-1065.0,1162.0,41,PO_left,0.9,9,3,6,118.9,0.3,1738.3,353.1
48,-433.1,-1165.9,1191.2,8,PO_left,0.9,8,1,7,99.5,0.2,1640.6,411.2
49,-705.8,-1198.8,983.7,48,PO_left,0.9,10,1,8,151.3,0.4,1722.9,364.0
50,-65.4,-686.8,925.5,23,PO_left,0.9,8,2,6,184.4,0.5,1484.9,369.5
51,-164.5,-852.3,1083.6,71,PO_left,0.9,9,3,6,149.5,0.3,1449.4,473.3
52,-403.4,-1137.8,1623.6,20,PO_left,0.9,10,1,9,156.4,0.4,2282.6,402.8
53,-131.9,-1031.9,1506.5,5,PO_left,0.9,10,1,9,129.1,0.3,2127.5,384.1
54,-477.3,-1139.5,1533.6,24,PO_left,0.9,8,3,4,143.8,0.3,1535.6,411.7
55,-105.2,-1068.4,1730.7,74,PO_left,0.9,10,1,9,147.4,0.4,1400.6,389.7
56,-563.2,-1099.8,1223.8,66,PO_left,0.9,9,3,6,127.5,0.4,1306.8,348.2
57,-28.9,-596.2,427.7,31,PO_left,0.9,10,2,8,156.7,0.5,1939.9,335.0
