gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-25.8,-645.0,557.8,50,PO_left,0.6,11,2,8,102.8,0.4,1658.9,291.1
1,-579.4,-1103.5,1133.7,47,PO_left,0.6,12,3,9,158.2,0.3,2037.9,454.2
2,-707.2,-1182.6,1005.2,4,PO_left,0.6,10,2,7,163.7,0.4,1837.6,409.9
3,-291.0,-1081.1,1575.8,43,PO_left,0.6,4,1,2,52.6,0.4,242.9,134.3
4,-137.9,-999.1,1318.6,37,PO_left,0.6,11,1,10,163.7,0.4,3254.2,429.1
5,-589.1,-1132.0,1063.3,69,PO_left,0.6,11,3,8,143.4,0.4,2161.6,374.8
6,-705.8,-1198.8,983.7,48,PO_left,0.6,10,1,9,137.3,0.3,1896.0,415.3
7,-367.9,-1097.6,1167.3,68,PO_left,0.6,11,1,10,163.3,0.4,1992.4,426.5
8,-210.4,-888.6,947.9,28,PO_left,0.6,11,1,9,118.0,0.3,2186.4,419.5
9,-538.0,-1069.9,1076.7,41,PO_left,0.6,12,1,11,184.5,0.4,2815.2,428.2
10,-66.7,-630.0,192.1,9,PO_left,0.6,1,1,0,7.5,1.0,7.5,7.5
11,-43.8,-942.0,1404.3,58,PO_left,0.6,8,2,6,100.0,0.3,1673.7,378.8
12,-98.6,-653.5,262.9,9,PO_left,0.6,8,2,6,173.5,0.4,1752.3,432.0
13,-174.7,-990.2,1279.7,37,PO_left,0.6,10,3,7,178.1,0.5,2325.0,375.1
14,-80.8,-686.9,472.5,54,PO_left,0.6,8,5,3,194.9,0.5,1917.6,370.2
15,-71.8,-991.9,1745.8,14,PO_left,0.6,9,1,7,158.4,0.4,1822.7,400.9
16,-564.7,-1128.3,1429.0,35,PO_left,0.6,10,2,8,196.5,0.5,2008.6,373.7
17,-594.6,-1224.8,1522.6,39,PO_left,0.6,9,2,7,115.0,0.4,1300.2,282.3
18,-55.1,-634.6,269.2,9,PO_left,0.6,9,1,6,136.7,0.3,1115.2,399.6
19,-487.5,-1065.3,1127.4,41,PO_left,0.6,8,2,6,183.3,0.4,2085.7,459.9
20,-529.9,-1119.5,1162.0,47,PO_left,0.6,10,2,7,95.5,0.4,1229.5,271.1
21,-343.0,-1019.1,1329.3,18,PO_left,0.6,11,2,8,204.7,0.5,1441.8,401.4
