gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-730.8,-1127.4,1016.2,39,DAO_left,0.0,5,1,4,83.9,0.2,1453.7,422.4
1,-714.0,-1075.3,1175.0,9,DAO_left,0.0,10,1,9,163.3,0.4,2671.9,408.2
2,-608.9,-1031.0,1372.8,37,DAO_left,0.0,7,2,5,110.7,0.4,1122.3,300.6
3,-570.1,-1004.5,1278.2,1,DAO_left,0.0,10,3,7,121.5,0.3,2229.7,409.7
4,-759.0,-1208.7,1432.9,51,DAO_left,0.0,11,1,10,249.4,0.5,3061.5,466.5
5,-724.8,-1065.6,929.7,15,DAO_left,0.0,11,1,10,140.2,0.4,2274.7,341.7
6,-416.2,-1006.4,1566.6,70,DAO_left,0.0,10,2,8,138.7,0.4,2505.7,393.1
7,-973.5,-1159.8,825.0,46,DAO_left,0.0,11,3,8,137.2,0.4,1688.1,320.3
8,-490.3,-929.6,748.8,64,DAO_left,0.0,9,1,8,158.6,0.4,2283.7,427.6
9,-441.3,-952.7,849.4,47,DAO_left,0.0,11,1,10,138.6,0.3,2683.6,398.0
10,-536.5,-1031.0,1315.9,1,DAO_left,0.0,11,3,8,155.8,0.5,2539.4,337.9
11,-782.0,-1158.9,1163.0,8,DAO_left,0.0,10,3,7,159.2,0.4,2274.2,362.1
12,-504.2,-862.6,651.0,42,DAO_left,0.0,12,1,11,157.0,0.4,2178.9,406.1
13,-954.8,-1232.2,863.3,46,DAO_left,0.0,11,3,8,140.7,0.3,2779.4,417.2
14,-471.8,-937.4,853.6,47,DAO_left,0.0,12,3,9,159.9,0.4,3018.8,420.7
15,-944.3,-1202.7,977.1,19,DAO_left,0.0,10,2,8,153.6,0.3,2386.2,446.8
16,-765.3,-1204.2,1464.7,51,DAO_left,0.0,9,2,7,180.0,0.4,1250.8,402.3
17,-548.2,-1023.8,1324.5,1,DAO_left,0.0,12,2,10,182.4,0.5,2390.7,403.5
18,-436.0,-871.0,669.8,6,DAO_left,0.0,10,1,9,145.6,0.4,2214.8,360.5
19,-397.7,-956.7,1352.1,23,DAO_left,0.0,11,3,8,192.5,0.5,3107.5,395.0
