gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-226.0,-1114.9,887.2,13,MAO_left,0.7,7,2,5,179.5,0.4,1849.4,431.6
1,-38.8,-1055.6,1564.1,21,MAO_left,0.7,5,1,4,196.1,0.4,1246.1,447.3
2,-62.5,-734.1,779.2,52,MAO_left,0.7,9,3,5,95.6,0.2,2106.6,408.2
3,-315.5,-911.0,187.4,26,MAO_left,0.7,12,1,11,164.6,0.4,2260.5,412.0
4,-115.2,-1078.3,1162.5,67,MAO_left,0.7,7,1,6,156.3,0.4,1896.4,442.6
5,-47.1,-1126.8,1038.0,35,MAO_left,0.7,11,3,8,209.9,0.5,2326.3,420.2
6,-499.2,-958.8,208.0,10,MAO_left,0.7,8,1,7,160.9,0.4,1734.4,419.7
7,-48.8,-740.1,660.4,49,MAO_left,0.7,7,2,5,147.1,0.4,1524.5,385.6
8,-555.6,-1026.4,257.2,17,MAO_left,0.7,8,1,7,184.3,0.4,1716.9,447.9
9,-250.8,-1104.6,955.9,61,MAO_left,0.7,11,2,9,166.3,0.4,2459.3,452.5
10,-83.8,-769.1,573.0,68,MAO_left,0.7,8,4,3,140.2,0.4,1757.4,356.2
11,-183.3,-795.8,338.3,20,MAO_left,0.7,8,4,4,117.3,0.3,1906.3,468.5
12,-498.7,-1055.2,32.6,45,MAO_left,0.7,11,2,9,189.6,0.4,2461.5,425.7
13,-94.1,-1157.4,1423.5,2,MAO_left,0.7,11,1,10,255.9,0.6,2842.4,456.6
14,-43.7,-999.2,578.0,5,MAO_left,0.7,13,2,11,195.2,0.5,3274.8,415.1
15,-121.5,-791.7,521.4,68,MAO_left,0.7,6,1,5,192.4,0.5,1433.9,408.5
16,-60.0,-815.6,890.3,11,MAO_left,0.7,12,1,11,142.5,0.4,2941.7,391.0
17,-23.7,-916.1,841.2,11,MAO_left,0.7,11,2,7,197.9,0.5,2638.8,431.2
18,-108.9,-891.8,429.0,54,MAO_left,0.7,12,3,9,181.0,0.5,2453.8,368.9
19,-857.0,-1156.5,214.3,57,MAO_left,0.7,8,2,6,189.2,0.5,1267.7,351.9
20,-637.7,-1161.0,178.9,40,MAO_left,0.7,11,2,9,151.0,0.4,2934.0,370.0
21,-342.2,-928.9,410.6,4,MAO_left,0.7,9,1,8,129.1,0.3,1836.4,379.4
22,-87.4,-966.0,483.8,38,MAO_left,0.7,10,3,7,156.5,0.4,1731.8,351.5
23,-528.2,-1099.0,129.5,40,MAO_left,0.7,10,2,7,133.8,0.3,2001.5,457.1
24,-488.9,-1073.6,691.4,19,MAO_left,0.7,10,2,8,131.8,0.4,1769.6,355.5
25,-502.1,-1018.8,703.4,65,MAO_left,0.7,10,1,9,172.8,0.4,2277.3,406.2
26,-115.0,-1076.2,1507.6,21,MAO_left,0.7,9,3,6,151.6,0.4,2626.8,427.9
27,-17.9,-980.1,589.3,5,MAO_left,0.7,9,2,7,181.4,0.4,2173.9,412.1
28,-509.8,-1019.4,200.9,10,MAO_left,0.7,11,1,10,147.0,0.4,1579.0,389.5
29,-182.6,-961.9,619.2,34,MAO_left,0.7,10,2,8,194.6,0.5,2173.8,365.0
30,-451.8,-1098.6,527.6,63,MAO_left,0.7,11,2,9,154.3,0.4,3193.1,431.3
31,-81.5,-774.9,536.5,68,MAO_left,0.7,11,2,9,155.5,0.4,2948.5,407.7
32,-522.2,-963.5,170.9,10,MAO_left,0.7,11,1,10,195.0,0.5,2300.0,379.6
33,-277.0,-1014.6,566.2,47,MAO_left,0.7,10,3,7,166.7,0.5,2607.1,353.6
34,-73.3,-729.1,425.3,27,MAO_left,0.7,11,4,7,121.2,0.3,1862.5,352.0
35,-13.9,-776.6,732.9,49,MAO_left,0.7,12,2,9,232.3,0.6,2432.2,412.0
36,-461.1,-1126.1,757.5,19,MAO_left,0.7,9,3,6,92.3,0.3,1607.4,267.1
37,-195.0,-1020.7,784.8,72,MAO_left,0.7,11,1,10,142.4,0.3,2596.4,411.4
38,-620.8,-1068.8,320.3,0,MAO_left,0.7,12,3,9,179.7,0.4,2461.9,425.2
39,-540.9,-1120.5,588.1,16,MAO_left,0.7,8,3,5,122.0,0.5,1166.1,255.3
40,-59.5,-835.2,790.4,18,MAO_left,0.7,11,2,9,134.0,0.3,2610.8,395.3
41,-87.9,-878.5,410.8,54,MAO_left,0.7,11,2,9,174.1,0.4,2709.7,431.3
42,-553.9,-1131.0,584.9,16,MAO_left,0.7,10,3,7,154.0,0.4,2401.3,407.3
43,-356.3,-990.8,548.9,41,MAO_left,0.7,8,4,4,158.6,0.4,1815.7,430.0
44,-323.7,-1120.0,833.8,61,MAO_left,0.7,9,2,7,169.3,0.4,1801.6,381.1
45,-330.7,-1072.4,830.4,61,MAO_left,0.7,12,1,10,153.8,0.3,3366.1,493.2
46,-93.4,-773.2,589.4,68,MAO_left,0.7,9,2,7,167.5,0.4,2278.9,397.3
47,-390.5,-983.8,104.0,45,MAO_left,0.7,12,3,9,189.6,0.4,2933.4,429.2
48,-39.9,-997.4,1090.4,12,MAO_left,0.7,12,1,11,135.4,0.3,2916.1,448.6
49,-76.1,-759.9,436.5,27,MAO_left,0.7,9,3,6,164.6,0.4,2228.2,414.0
50,-652.3,-1072.1,346.7,0,MAO_left,0.7,8,2,6,151.2,0.3,1685.1,452.4
51,-183.0,-808.6,300.0,20,MAO_left,0.7,9,1,8,153.0,0.4,1874.6,372.6
52,-145.0,-1070.8,994.5,55,MAO_left,0.7,9,2,7,135.6,0.3,2306.5,437.8
53,-608.0,-1009.9,391.3,0,MAO_left,0.7,11,1,10,163.6,0.4,2437.0,394.9
54,-122.0,-838.6,184.8,48,MAO_left,0.7,9,3,6,134.3,0.4,1943.7,383.1
55,-198.0,-871.8,396.2,20,MAO_left,0.7,10,2,8,175.7,0.4,2342.1,407.4
56,-481.2,-958.7,131.5,73,MAO_left,0.7,10,4,6,152.8,0.5,1558.4,295.4
57,-148.6,-920.9,647.0,34,MAO_left,0.7,11,1,10,140.3,0.4,2488.6,398.1
58,-170.0,-1045.0,1201.9,67,MAO_left,0.7,10,1,9,153.5,0.3,2712.3,531.4
59,-376.0,-1017.9,507.0,41,MAO_left,0.7,12,1,11,143.7,0.3,3593.9,462.4
60,-38.4,-890.6,954.0,11,MAO_left,0.7,9,3,6,160.4,0.4,1588.3,389.4
61,-674.2,-1144.6,577.2,8,MAO_left,0.7,10,2,8,164.5,0.5,2735.6,360.7
62,-113.0,-1142.6,932.8,55,MAO_left,0.7,12,1,10,189.2,0.5,2004.2,365.4
63,-65.9,-804.1,187.8,48,MAO_left,0.7,9,4,5,152.1,0.4,2033.9,354.3
64,-259.3,-985.3,855.5,72,MAO_left,0.7,12,1,11,168.4,0.4,2716.3,450.6
65,-91.8,-913.6,775.6,71,MAO_left,0.7,9,5,4,182.8,0.5,1954.1,350.9
66,-482.9,-972.8,404.1,42,MAO_left,0.7,8,3,5,174.3,0.4,2243.5,406.1
