gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-291.0,-1081.1,1575.8,43,PO_left,0.8,2,1,1,47.5,0.3,249.3,146.5
1,-124.2,-918.5,1238.9,13,PO_left,0.8,9,2,7,172.9,0.3,2827.1,504.1
2,-529.9,-1119.5,1162.0,47,PO_left,0.8,10,2,7,101.4,0.4,1029.6,228.7
3,-308.3,-1084.6,1283.0,63,PO_left,0.8,11,2,8,126.4,0.3,2601.8,434.0
4,-563.2,-1136.5,1260.5,66,PO_left,0.8,8,2,6,174.7,0.4,1888.4,391.3
5,-76.7,-935.0,1344.3,58,PO_left,0.8,10,3,7,198.1,0.4,2914.6,445.8
6,-367.9,-1097.6,1167.3,68,PO_left,0.8,11,1,10,143.3,0.3,1833.5,464.6
7,-707.2,-1182.6,1005.2,4,PO_left,0.8,13,2,10,190.3,0.4,2361.5,432.5
8,-373.1,-1124.6,1545.2,20,PO_left,0.8,9,2,7,126.5,0.3,2348.2,461.9
9,-326.9,-1076.8,1236.8,63,PO_left,0.8,11,2,8,202.4,0.5,2529.2,428.9
10,-51.7,-779.5,1197.3,51,PO_left,0.8,10,2,8,233.1,0.6,2519.7,371.1
11,-641.8,-1140.6,1296.1,19,PO_left,0.8,10,1,8,199.4,0.5,1941.4,379.1
12,-493.5,-1084.2,1081.7,41,PO_left,0.8,11,2,9,166.1,0.4,2633.3,376.5
13,-409.8,-1032.8,1051.9,55,PO_left,0.8,9,2,7,185.8,0.4,2327.2,466.8
14,-413.1,-1028.1,1187.7,68,PO_left,0.8,12,2,10,171.5,0.4,3009.2,386.5
15,-353.6,-1073.8,1302.0,18,PO_left,0.8,10,3,7,118.2,0.2,2282.3,487.4
16,-633.4,-1253.4,1042.2,42,PO_left,0.8,12,2,10,159.1,0.4,3632.3,446.4
17,-579.4,-1103.5,1133.7,47,PO_left,0.8,12,3,9,197.6,0.5,2227.4,407.6
18,-184.1,-1034.0,1352.5,25,PO_left,0.8,12,4,8,123.8,0.3,3406.9,400.0
19,-628.1,-1274.3,1027.6,42,PO_left,0.8,10,2,7,129.2,0.3,2331.3,494.1
20,-524.7,-1102.8,1158.6,41,PO_left,0.8,10,2,8,112.9,0.3,2196.4,325.2
21,-71.8,-991.9,1745.8,14,PO_left,0.8,9,1,8,160.2,0.4,2279.4,439.9
22,-522.0,-1108.5,1335.9,62,PO_left,0.8,8,2,6,114.0,0.4,1295.8,308.7
23,-180.8,-941.8,1288.9,37,PO_left,0.8,10,1,9,173.9,0.4,2690.1,446.0
24,-448.1,-1133.8,1523.8,24,PO_left,0.8,10,2,8,93.5,0.3,1462.7,298.2
25,-313.4,-1137.2,1666.4,16,PO_left,0.8,9,2,6,136.9,0.4,1541.7,320.6
