gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-7.5,-882.2,447.3,25,MAO_left,0.9,10,2,8,147.6,0.3,2240.5,441.5
1,-75.8,-1065.1,1507.3,21,MAO_left,0.9,9,2,7,119.5,0.3,2122.7,394.7
2,-619.1,-1028.8,42.0,36,MAO_left,0.9,10,4,6,258.1,0.6,1732.6,437.9
3,-608.6,-1134.2,256.0,69,MAO_left,0.9,9,1,8,133.4,0.3,2339.2,419.2
4,-22.8,-911.1,1191.2,62,MAO_left,0.9,1,1,0,39.8,0.5,76.4,76.4
5,7.7,-941.9,1086.1,62,MAO_left,0.9,2,1,1,178.7,0.4,482.5,406.9
6,-772.5,-1087.6,252.6,14,MAO_left,0.9,10,2,8,138.9,0.3,2854.6,447.4
7,-162.6,-864.1,398.2,20,MAO_left,0.9,7,2,5,142.5,0.3,1818.2,422.2
8,-250.8,-1104.6,955.9,61,MAO_left,0.9,11,2,9,137.2,0.4,1982.8,355.6
9,-48.8,-740.1,660.4,49,MAO_left,0.9,4,2,2,155.0,0.4,1007.8,420.0
10,-94.1,-1157.4,1423.5,2,MAO_left,0.9,10,1,9,182.7,0.4,2404.1,421.7
11,-382.2,-969.7,205.1,26,MAO_left,0.9,11,1,10,158.0,0.4,1996.0,425.7
12,-288.4,-1012.3,607.5,47,MAO_left,0.9,10,3,7,135.8,0.4,2181.8,345.2
13,-23.7,-916.1,841.2,11,MAO_left,0.9,11,2,8,227.4,0.5,2725.4,455.6
14,-783.6,-1143.5,235.1,57,MAO_left,0.9,11,3,8,118.5,0.3,1921.5,390.8
15,-422.6,-1068.7,827.9,65,MAO_left,0.9,10,3,7,105.4,0.3,2082.4,381.3
16,-125.1,-917.9,841.7,18,MAO_left,0.9,10,2,8,169.3,0.4,2721.6,427.2
17,-67.2,-881.6,371.7,54,MAO_left,0.9,8,4,4,140.3,0.3,2009.5,423.9
18,-428.1,-1067.4,721.9,65,MAO_left,0.9,10,4,6,141.3,0.4,1928.5,323.4
19,-817.6,-1098.0,296.5,44,MAO_left,0.9,10,1,8,204.5,0.5,1771.0,397.6
20,-59.5,-835.2,790.4,18,MAO_left,0.9,11,2,8,166.8,0.4,1882.2,395.8
21,-203.8,-1064.8,1287.0,37,MAO_left,0.9,8,1,7,122.9,0.4,1006.7,338.5
22,-121.5,-791.7,521.4,68,MAO_left,0.9,6,1,5,160.4,0.4,1460.7,452.3
23,-108.1,-937.6,414.2,38,MAO_left,0.9,9,3,6,160.8,0.4,2042.6,413.7
24,-453.2,-979.9,434.4,42,MAO_left,0.9,10,4,6,162.6,0.4,2491.2,436.5
25,-653.3,-1140.5,587.1,16,MAO_left,0.9,9,1,8,164.4,0.5,1595.8,340.0
26,-23.2,-845.9,946.8,11,MAO_left,0.9,10,1,9,177.2,0.5,1526.1,368.5
27,-70.0,-1029.4,1436.3,2,MAO_left,0.9,9,1,7,161.4,0.3,2481.2,474.4
28,-358.7,-954.1,446.6,4,MAO_left,0.9,9,1,8,135.7,0.4,2014.5,378.4
29,-578.5,-1056.5,227.0,58,MAO_left,0.9,9,1,8,159.8,0.4,2079.2,403.5
30,-327.3,-930.5,401.5,4,MAO_left,0.9,8,2,6,172.4,0.4,2208.9,445.2
31,-323.7,-1120.0,833.8,61,MAO_left,0.9,6,1,5,149.8,0.4,1142.9,403.0
32,-397.7,-884.7,396.1,4,MAO_left,0.9,9,2,7,146.7,0.4,2259.3,416.6
33,-761.6,-1130.3,470.9,8,MAO_left,0.9,10,1,8,187.1,0.5,1917.2,380.5
34,-101.2,-1104.2,1631.3,64,MAO_left,0.9,8,2,6,138.1,0.4,1132.3,337.2
35,-42.6,-1137.5,1434.6,2,MAO_left,0.9,9,1,8,182.7,0.4,1987.7,410.4
36,-278.4,-1106.7,911.3,61,MAO_left,0.9,10,2,8,155.3,0.4,2600.4,419.4
37,-72.1,-1129.0,1428.8,2,MAO_left,0.9,10,2,8,153.8,0.3,2993.9,447.0
38,-62.5,-734.1,779.2,52,MAO_left,0.9,9,2,7,112.7,0.3,2518.5,416.0
39,-280.6,-1112.6,832.4,13,MAO_left,0.9,10,5,5,184.9,0.5,2653.8,394.4
40,-305.2,-923.5,620.4,15,MAO_left,0.9,10,2,8,142.0,0.3,2142.6,428.7
41,-22.8,-1126.4,1407.7,2,MAO_left,0.9,11,3,8,170.0,0.4,2690.4,380.1
42,-569.0,-1017.0,5.9,36,MAO_left,0.9,11,4,7,186.7,0.5,2928.4,398.0
43,-148.6,-920.9,647.0,34,MAO_left,0.9,11,1,10,186.8,0.4,3169.8,452.2
44,-783.3,-1140.8,349.6,44,MAO_left,0.9,11,1,10,162.8,0.4,1740.3,372.3
45,-81.8,-1018.8,418.4,38,MAO_left,0.9,10,2,8,113.1,0.2,2932.3,463.4
46,-142.5,-1050.9,824.0,43,MAO_left,0.9,10,1,9,161.8,0.4,1958.6,398.4
47,-92.0,-830.8,851.3,18,MAO_left,0.9,9,3,6,143.2,0.4,1970.0,376.5
48,-119.9,-1045.6,1270.0,37,MAO_left,0.9,11,2,9,153.6,0.4,2433.6,368.3
49,-115.3,-1059.9,1307.8,37,MAO_left,0.9,10,1,9,164.3,0.4,1938.7,458.7
50,-256.6,-1022.9,615.8,47,MAO_left,0.9,9,2,6,184.0,0.4,1871.5,427.2
51,-49.9,-877.8,873.6,11,MAO_left,0.9,9,1,8,154.7,0.3,1917.3,445.7
52,-195.0,-1020.7,784.8,72,MAO_left,0.9,11,2,9,137.6,0.3,2226.4,399.8
53,-461.6,-960.9,128.7,45,MAO_left,0.9,8,1,7,139.4,0.3,1680.2,419.9
54,-33.9,-1086.4,1481.3,2,MAO_left,0.9,9,1,8,144.4,0.3,2014.4,420.1
55,-119.0,-1160.0,1660.8,64,MAO_left,0.9,11,1,10,112.8,0.3,2106.0,347.4
56,-492.7,-1008.5,390.1,42,MAO_left,0.9,8,1,7,168.7,0.4,1912.2,399.6
57,-389.0,-1070.5,777.3,65,MAO_left,0.9,8,3,5,155.2,0.4,1923.5,356.8
58,-57.8,-989.3,1151.4,12,MAO_left,0.9,10,3,7,153.0,0.4,2215.4,396.9
59,-518.9,-930.2,315.2,74,MAO_left,0.9,10,3,7,165.2,0.4,2130.4,413.9
60,-60.8,-1125.2,1243.4,24,MAO_left,0.9,11,1,10,155.3,0.4,2245.1,390.1
61,-209.3,-1066.2,1136.2,3,MAO_left,0.9,10,3,6,141.7,0.5,1749.5,282.4
62,-240.8,-950.8,500.2,30,MAO_left,0.9,7,3,4,143.5,0.4,1447.8,336.8
63,-549.8,-937.2,334.8,17,MAO_left,0.9,11,2,9,163.4,0.4,2153.4,373.0
64,-338.9,-849.7,435.6,23,MAO_left,0.9,9,2,7,190.7,0.4,2329.8,465.6
65,-153.3,-1124.7,1069.1,56,MAO_left,0.9,10,1,9,155.1,0.4,2615.8,397.7
66,-451.3,-992.5,334.3,74,MAO_left,0.9,11,1,10,168.8,0.4,2076.5,407.1
67,-22.1,-765.4,401.0,27,MAO_left,0.9,9,4,5,128.7,0.4,1786.2,345.4
68,-32.9,-1050.4,1470.2,2,MAO_left,0.9,13,3,10,171.5,0.4,2391.7,387.5
69,-475.8,-1082.3,245.4,10,MAO_left,0.9,10,1,8,145.1,0.4,1484.6,367.4
70,-351.8,-902.1,388.7,4,MAO_left,0.9,11,2,9,156.6,0.4,2645.5,388.0
71,-171.1,-942.5,642.2,34,MAO_left,0.9,9,2,6,195.0,0.5,1458.5,429.6
72,-284.9,-1084.5,1259.1,33,MAO_left,0.9,8,2,6,193.0,0.5,1626.9,416.6
73,-710.6,-1114.0,469.5,8,MAO_left,0.9,11,1,10,157.1,0.4,2138.4,371.3
74,-342.2,-928.9,410.6,4,MAO_left,0.9,9,2,7,134.4,0.4,2306.6,358.1
75,-393.3,-947.4,424.3,4,MAO_left,0.9,9,1,8,124.8,0.3,1957.5,392.7
76,-548.2,-1027.6,69.2,73,MAO_left,0.9,7,3,4,139.7,0.3,1182.2,412.8
77,-446.7,-941.0,289.3,74,MAO_left,0.9,12,3,9,164.9,0.4,2285.4,420.9
78,-664.8,-1098.8,527.2,8,MAO_left,0.9,10,3,7,127.6,0.4,2530.9,340.0
79,-124.9,-884.7,229.7,48,MAO_left,0.9,7,1,6,164.5,0.4,1457.5,375.1
80,-26.8,-1028.4,1198.8,24,MAO_left,0.9,10,1,9,175.0,0.4,2653.9,427.1
81,-38.8,-1055.6,1564.1,21,MAO_left,0.9,6,1,4,107.7,0.4,864.1,269.2
82,-390.3,-1042.9,533.9,63,MAO_left,0.9,10,2,8,172.9,0.4,3075.3,391.6
83,-648.8,-1180.5,290.8,69,MAO_left,0.9,11,2,9,166.8,0.4,2899.6,413.8
84,-491.9,-1013.8,34.1,45,MAO_left,0.9,10,2,8,117.8,0.3,2305.7,428.5
85,-406.7,-982.5,290.3,74,MAO_left,0.9,12,2,9,128.1,0.4,2135.6,346.7
86,-324.6,-980.5,749.8,72,MAO_left,0.9,11,3,8,158.4,0.4,2061.8,388.3
87,-650.7,-1068.6,236.1,58,MAO_left,0.9,11,1,8,159.9,0.5,1228.7,334.0
88,-52.8,-1081.3,1277.3,24,MAO_left,0.9,10,2,7,153.6,0.4,2089.4,404.3
89,-42.3,-954.7,997.5,29,MAO_left,0.9,11,5,6,182.2,0.4,2692.3,438.3
90,-21.0,-1059.0,971.2,35,MAO_left,0.9,11,1,10,204.8,0.5,3301.8,431.7
91,-87.4,-966.0,483.8,38,MAO_left,0.9,10,3,7,177.2,0.4,1656.6,447.1
92,-87.8,-814.3,636.9,7,MAO_left,0.9,11,1,10,184.3,0.5,2331.5,401.3
93,-60.0,-815.6,890.3,11,MAO_left,0.9,12,2,10,131.7,0.4,2497.3,374.9
94,-726.5,-1099.3,169.9,6,MAO_left,0.9,10,1,9,126.3,0.3,2068.1,426.6
95,-103.1,-765.5,372.4,51,MAO_left,0.9,9,1,8,164.4,0.4,2277.3,431.3
96,-39.0,-940.9,1271.6,24,MAO_left,0.9,11,2,9,158.9,0.4,2864.3,381.1
97,-203.8,-1107.8,1606.9,28,MAO_left,0.9,9,2,7,174.5,0.4,2621.4,436.9
98,-151.4,-1127.9,1534.6,28,MAO_left,0.9,10,3,7,110.0,0.3,2067.0,361.7
99,-149.4,-1031.6,1041.8,56,MAO_left,0.9,11,1,10,151.1,0.4,2252.3,412.6
100,-453.3,-1085.8,793.6,65,MAO_left,0.9,10,4,6,132.0,0.3,2472.2,377.9
101,-147.1,-1118.5,1486.4,28,MAO_left,0.9,7,2,5,143.5,0.4,1611.3,388.9
102,-13.9,-776.6,732.9,49,MAO_left,0.9,12,2,10,125.3,0.3,2486.3,413.8
103,-16.3,-775.3,792.8,52,MAO_left,0.9,11,1,9,148.0,0.3,1914.4,434.0
104,-384.7,-959.6,505.6,41,MAO_left,0.9,10,2,8,110.2,0.3,2000.2,364.9
105,-39.3,-978.7,1145.4,12,MAO_left,0.9,11,1,10,179.8,0.4,2634.0,426.1
106,-79.4,-1003.8,800.2,70,MAO_left,0.9,8,2,6,205.7,0.5,2077.4,379.0
107,-182.6,-961.9,619.2,34,MAO_left,0.9,10,2,8,145.5,0.5,1859.8,289.6
108,-350.0,-915.4,205.8,26,MAO_left,0.9,9,1,8,198.9,0.6,1385.4,350.6
109,-180.6,-969.9,918.6,66,MAO_left,0.9,10,2,8,161.9,0.4,1923.6,365.8
110,-37.7,-877.0,603.6,7,MAO_left,0.9,9,3,6,178.1,0.4,2479.9,404.6
111,-732.2,-1085.2,398.4,59,MAO_left,0.9,8,1,7,145.4,0.3,2348.9,428.8
112,-20.8,-855.7,329.7,54,MAO_left,0.9,9,3,6,187.1,0.4,2050.0,439.2
113,-608.0,-1009.9,391.3,0,MAO_left,0.9,9,1,8,202.0,0.5,1849.7,420.1
114,-145.0,-1070.8,994.5,55,MAO_left,0.9,9,2,7,139.5,0.3,2459.6,431.8
115,-186.0,-1116.3,1537.4,28,MAO_left,0.9,9,3,6,136.6,0.3,2501.2,396.1
116,-161.0,-1096.5,1495.9,28,MAO_left,0.9,9,2,7,166.1,0.4,1842.0,387.3
117,-384.3,-1029.9,537.0,41,MAO_left,0.9,10,1,9,175.7,0.5,2362.4,374.4
118,-44.3,-783.5,651.2,49,MAO_left,0.9,10,2,7,162.5,0.4,1914.7,364.7
119,-85.8,-1039.1,1097.1,12,MAO_left,0.9,11,3,8,136.0,0.5,1730.7,295.8
120,-50.9,-984.7,1082.3,12,MAO_left,0.9,8,2,6,152.9,0.4,1701.7,400.2
121,-24.0,-722.1,435.7,27,MAO_left,0.9,9,4,5,163.9,0.4,2301.7,418.8
122,-331.1,-926.6,109.2,26,MAO_left,0.9,7,1,6,242.3,0.6,1680.9,431.7
123,-32.0,-811.0,566.8,68,MAO_left,0.9,8,2,6,155.9,0.4,1729.6,418.7
124,-731.4,-1183.1,293.8,14,MAO_left,0.9,10,1,9,215.6,0.5,2581.4,441.5
125,-301.8,-937.2,550.6,41,MAO_left,0.9,10,2,7,175.8,0.4,1738.5,424.5
126,-168.5,-1049.6,662.3,34,MAO_left,0.9,11,1,10,176.8,0.4,2719.9,422.6
127,-424.2,-983.5,440.6,42,MAO_left,0.9,10,3,7,115.0,0.3,1973.3,379.6
128,-39.0,-798.6,770.7,52,MAO_left,0.9,8,1,7,124.3,0.3,1910.9,386.1
129,-344.3,-1030.3,615.6,47,MAO_left,0.9,10,1,9,178.3,0.5,2018.6,384.5
130,-152.0,-840.5,542.4,60,MAO_left,0.9,10,2,8,148.1,0.3,2250.7,432.5
131,-109.9,-1067.1,1597.3,64,MAO_left,0.9,10,2,8,127.8,0.3,1799.7,371.8
132,-226.7,-928.3,391.6,30,MAO_left,0.9,7,1,6,119.3,0.3,1203.7,385.9
133,-116.2,-800.1,469.5,51,MAO_left,0.9,13,1,12,125.7,0.3,2478.2,387.3
134,-27.3,-895.3,948.1,11,MAO_left,0.9,7,2,5,142.4,0.4,1686.7,395.8
135,-27.6,-1122.6,1524.8,21,MAO_left,0.9,10,2,8,172.8,0.4,2677.8,486.0
136,-113.1,-827.5,347.3,51,MAO_left,0.9,9,2,7,195.7,0.5,2310.4,417.3
137,-137.2,-1135.6,1044.0,56,MAO_left,0.9,11,3,8,149.4,0.4,2424.7,407.5
138,-97.8,-975.5,358.3,54,MAO_left,0.9,8,2,6,148.3,0.4,2068.1,419.8
139,-95.8,-1001.8,719.9,70,MAO_left,0.9,10,3,7,151.8,0.4,2445.1,380.3
140,-101.6,-725.9,249.4,39,MAO_left,0.9,12,1,11,191.7,0.5,2441.9,418.2
141,-100.6,-1124.4,1202.0,67,MAO_left,0.9,7,1,6,142.3,0.3,1575.3,425.4
142,-583.0,-1121.4,188.9,40,MAO_left,0.9,11,2,9,149.5,0.4,1807.5,425.0
143,-115.2,-1078.3,1162.5,67,MAO_left,0.9,7,1,6,178.6,0.4,1904.7,406.0
144,-29.7,-796.0,676.0,49,MAO_left,0.9,10,1,9,139.5,0.4,2059.8,398.2
145,-424.1,-949.1,501.9,22,MAO_left,0.9,10,3,7,159.7,0.4,2275.9,418.6
146,-88.4,-834.9,624.9,7,MAO_left,0.9,10,1,9,139.0,0.3,1977.4,448.0
147,-404.5,-1028.4,698.9,65,MAO_left,0.9,9,2,6,181.5,0.4,2138.4,409.0
148,-106.7,-911.6,734.4,71,MAO_left,0.9,11,1,10,127.3,0.3,1878.7,442.4
149,-69.4,-1024.2,1334.5,32,MAO_left,0.9,11,2,9,149.2,0.4,2169.5,403.0
150,-631.3,-1079.6,402.5,59,MAO_left,0.9,9,3,6,125.2,0.3,2437.5,485.9
151,-579.8,-1104.1,300.9,69,MAO_left,0.9,11,3,8,183.5,0.5,1942.0,371.9
152,-599.5,-1108.9,157.7,40,MAO_left,0.9,9,1,8,167.6,0.4,1811.1,423.7
153,-512.8,-953.1,282.6,74,MAO_left,0.9,8,3,5,122.0,0.3,1945.8,463.3
154,-68.2,-935.7,377.7,54,MAO_left,0.9,7,4,3,129.0,0.4,1466.9,327.7
155,-297.5,-1094.8,890.1,61,MAO_left,0.9,9,2,6,133.0,0.3,1875.8,416.6
156,-317.1,-915.9,502.0,23,MAO_left,0.9,10,3,7,139.8,0.3,2552.0,451.0
157,-146.3,-838.4,473.8,60,MAO_left,0.9,10,3,7,172.4,0.4,2621.5,467.9
158,-126.3,-1081.4,811.8,43,MAO_left,0.9,11,2,9,184.8,0.5,1412.3,368.6
159,-593.7,-1165.5,682.6,16,MAO_left,0.9,10,2,8,165.2,0.4,2028.5,425.2
160,-637.7,-1161.0,178.9,40,MAO_left,0.9,7,2,5,132.7,0.3,1656.3,381.6
161,-76.7,-1013.4,1257.9,24,MAO_left,0.9,8,3,5,127.9,0.3,1462.7,382.0
162,-86.0,-992.7,327.8,54,MAO_left,0.9,8,2,6,160.7,0.4,1972.3,391.9
163,-719.3,-1147.8,538.9,8,MAO_left,0.9,11,1,10,160.9,0.4,2156.3,386.3
164,-44.0,-1047.7,1467.2,2,MAO_left,0.9,11,4,7,142.9,0.4,1799.3,345.3
165,-82.9,-867.8,534.1,25,MAO_left,0.9,12,1,10,121.9,0.3,2083.3,371.3
166,-301.6,-1119.0,1099.1,3,MAO_left,0.9,9,3,6,160.6,0.4,1963.8,378.3
167,-192.4,-1134.7,1368.4,9,MAO_left,0.9,11,2,8,162.8,0.4,2063.2,441.8
168,-208.7,-1125.9,1104.4,3,MAO_left,0.9,9,1,8,164.8,0.4,1905.4,390.2
169,-275.8,-972.2,850.6,72,MAO_left,0.9,11,3,8,167.8,0.4,2612.3,405.9
170,-70.6,-1109.3,1458.0,2,MAO_left,0.9,12,4,8,136.7,0.3,2751.8,439.6
171,-204.7,-1099.0,1244.5,33,MAO_left,0.9,10,6,4,117.7,0.3,2093.8,392.6
172,-611.2,-1048.1,269.9,58,MAO_left,0.9,9,1,8,185.4,0.5,2134.9,381.3
173,-657.2,-1017.6,273.4,58,MAO_left,0.9,10,3,7,172.0,0.4,2383.1,423.4
174,-38.1,-880.0,700.7,7,MAO_left,0.9,10,3,7,181.5,0.4,2903.1,436.5
175,-57.7,-983.5,736.6,70,MAO_left,0.9,10,1,9,126.4,0.4,2118.7,324.2
176,-540.9,-1120.5,588.1,16,MAO_left,0.9,8,3,5,100.4,0.3,1539.4,308.2
