gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-85.8,-1039.1,1097.1,12,MAO_left,0.3,10,3,7,128.0,0.4,2501.5,365.0
1,-43.3,-908.2,291.6,54,MAO_left,0.3,8,2,6,138.8,0.3,2309.4,425.4
2,-88.4,-834.9,624.9,7,MAO_left,0.3,10,2,8,130.5,0.3,2340.8,432.9
3,-18.4,-737.0,592.4,68,MAO_left,0.3,9,3,5,143.4,0.4,1689.3,401.8
4,-549.8,-937.2,334.8,17,MAO_left,0.3,11,2,9,203.6,0.5,2640.4,428.0
5,-67.2,-881.6,371.7,54,MAO_left,0.3,8,3,5,105.3,0.2,1854.3,448.1
6,-7.5,-882.2,447.3,25,MAO_left,0.3,10,2,8,186.7,0.5,2133.5,392.8
7,-652.9,-1131.9,606.1,16,MAO_left,0.3,9,1,8,133.7,0.4,1944.5,316.2
8,-110.3,-1103.8,1665.0,64,MAO_left,0.3,10,1,9,178.8,0.4,2470.4,417.9
9,-428.1,-1067.4,721.9,65,MAO_left,0.3,10,4,6,159.3,0.4,2396.1,395.9
10,-492.7,-1008.5,390.1,42,MAO_left,0.3,8,1,7,176.3,0.4,2263.6,413.2
11,-198.2,-929.5,783.7,72,MAO_left,0.3,10,1,9,164.8,0.3,2342.0,480.6
12,-8.0,-770.1,596.1,68,MAO_left,0.3,9,2,7,155.5,0.4,2143.6,416.9
13,-470.1,-922.5,431.0,22,MAO_left,0.3,10,2,8,180.2,0.5,2895.1,399.5
14,-693.9,-1090.7,266.1,14,MAO_left,0.3,7,3,4,169.7,0.5,1683.4,358.3
15,-783.3,-1140.8,349.6,44,MAO_left,0.3,11,1,9,192.5,0.4,2022.6,436.0
16,-487.4,-1148.1,666.1,19,MAO_left,0.3,10,3,7,168.5,0.4,2773.2,391.2
17,-93.4,-773.2,589.4,68,MAO_left,0.3,9,2,7,171.0,0.4,1812.2,424.3
18,-87.4,-966.0,483.8,38,MAO_left,0.3,10,3,7,158.6,0.4,2228.5,359.4
19,-323.7,-1120.0,833.8,61,MAO_left,0.3,9,2,7,183.5,0.4,2147.0,418.6
20,-28.3,-813.3,495.6,25,MAO_left,0.3,12,4,8,146.8,0.4,2853.7,402.3
21,-278.5,-1044.1,795.8,46,MAO_left,0.3,8,1,7,198.2,0.5,2031.0,430.2
22,-488.9,-1073.6,691.4,19,MAO_left,0.3,10,3,7,136.4,0.4,1747.7,322.9
23,-715.8,-1180.3,433.6,8,MAO_left,0.3,11,2,8,176.3,0.4,2151.5,403.9
24,-710.6,-1114.0,469.5,8,MAO_left,0.3,11,1,10,134.1,0.4,2017.0,312.0
25,-121.5,-791.7,521.4,68,MAO_left,0.3,6,1,5,220.6,0.5,1635.1,434.4
26,-475.8,-1082.3,245.4,10,MAO_left,0.3,10,2,8,175.6,0.4,2112.7,391.0
27,-151.4,-1127.9,1534.6,28,MAO_left,0.3,10,3,7,124.0,0.3,2611.6,369.9
28,-50.9,-984.7,1082.3,12,MAO_left,0.3,8,1,7,191.2,0.5,1817.8,377.9
29,-93.9,-796.1,369.6,51,MAO_left,0.3,10,4,6,133.3,0.4,2341.6,355.1
30,-161.0,-1096.5,1495.9,28,MAO_left,0.3,9,1,8,163.3,0.4,1413.5,363.1
