gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-531.6,-1045.2,1529.4,54,DAO_left,0.6,7,2,4,125.6,0.3,1483.5,394.1
1,-964.8,-1201.1,1067.4,3,DAO_left,0.6,9,3,6,160.1,0.4,1604.5,371.2
2,-756.3,-1190.9,819.2,4,DAO_left,0.6,8,3,5,119.7,0.3,1530.8,363.3
3,-724.8,-1065.6,929.7,15,DAO_left,0.6,11,1,10,139.5,0.4,2355.5,381.4
4,-685.6,-1081.2,1251.9,33,DAO_left,0.6,9,2,7,158.3,0.4,1671.4,359.8
5,-362.9,-904.4,1221.4,48,DAO_left,0.6,8,2,6,168.8,0.5,2122.3,353.9
6,-504.2,-862.6,651.0,42,DAO_left,0.6,12,1,11,152.6,0.4,2703.4,432.8
7,-351.7,-963.8,1120.7,71,DAO_left,0.6,10,1,9,146.3,0.3,2167.9,468.8
8,-903.5,-1195.5,1107.2,3,DAO_left,0.6,10,1,9,147.8,0.3,2150.3,423.8
9,-538.9,-1098.0,1642.6,16,DAO_left,0.6,10,2,8,130.5,0.3,1674.0,456.7
10,-298.1,-975.3,1509.2,66,DAO_left,0.6,10,2,7,133.3,0.4,1270.1,374.3
11,-535.4,-913.5,782.0,64,DAO_left,0.6,9,2,7,111.2,0.3,2028.8,354.2
12,-801.4,-1175.4,735.7,4,DAO_left,0.6,10,6,4,119.7,0.3,1896.4,358.7
13,-849.6,-1145.7,1066.5,30,DAO_left,0.6,11,2,9,148.3,0.3,2771.0,427.7
14,-622.3,-939.5,732.1,42,DAO_left,0.6,9,1,8,185.5,0.4,2129.4,419.7
15,-472.3,-885.4,800.0,64,DAO_left,0.6,10,2,8,166.0,0.4,1914.8,402.1
16,-324.1,-915.8,888.1,45,DAO_left,0.6,8,1,6,175.0,0.4,1260.8,425.9
17,-551.1,-999.5,1386.1,40,DAO_left,0.6,13,2,11,202.5,0.5,2790.5,393.2
18,-903.8,-1096.4,771.8,22,DAO_left,0.6,12,1,11,134.8,0.4,1735.9,356.6
19,-762.3,-1193.6,1663.6,61,DAO_left,0.6,6,2,4,120.2,0.3,877.5,357.5
20,-927.6,-1234.1,965.9,19,DAO_left,0.6,12,2,10,121.5,0.3,2109.4,444.0
21,-713.3,-1109.6,1514.1,50,DAO_left,0.6,10,4,5,210.5,0.5,2371.1,447.6
22,-709.0,-1063.1,1270.4,33,DAO_left,0.6,9,2,7,161.3,0.4,2040.3,402.3
