gid,x,y,z,cluster,subnucleus,cluster_coef,nconn,nstems,nbranch,reach,straightness,total_length,longest_path
0,-291.0,-1081.1,1575.8,43,PO_left,0.7,1,1,0,52.6,0.5,109.0,109.0
1,-25.8,-645.0,557.8,50,PO_left,0.7,7,2,5,102.8,0.3,1015.0,326.2
2,-124.2,-918.5,1238.9,13,PO_left,0.7,9,3,6,156.4,0.4,2879.3,443.5
3,-84.4,-860.1,1061.4,12,PO_left,0.7,10,2,8,166.9,0.4,2759.4,413.6
4,-60.8,-667.1,897.3,23,PO_left,0.7,7,1,6,187.0,0.4,1954.4,441.5
5,-308.3,-1084.6,1283.0,63,PO_left,0.7,11,2,9,154.1,0.3,3245.4,452.9
6,-174.7,-990.2,1279.7,37,PO_left,0.7,10,4,6,145.8,0.4,1942.4,374.5
7,-409.8,-1032.8,1051.9,55,PO_left,0.7,10,2,8,160.6,0.4,2283.0,410.8
8,-654.8,-1190.7,935.9,4,PO_left,0.7,10,3,6,157.5,0.4,1998.1,373.3
9,-385.0,-1013.8,1169.9,68,PO_left,0.7,8,3,5,171.8,0.4,2015.1,471.6
10,-330.4,-1101.6,1563.8,43,PO_left,0.7,9,3,6,127.7,0.4,1574.1,309.0
11,-353.6,-1073.8,1302.0,18,PO_left,0.7,11,3,8,119.4,0.4,1976.8,273.6
12,-646.9,-1248.0,1384.2,33,PO_left,0.7,5,1,4,113.1,0.3,1730.9,422.5
13,-493.5,-1084.2,1081.7,41,PO_left,0.7,11,3,8,156.7,0.5,1714.7,341.5
14,-464.8,-1100.3,1642.9,20,PO_left,0.7,9,1,8,173.2,0.6,1457.8,302.7
15,-396.2,-1105.8,1565.6,20,PO_left,0.7,9,1,8,208.8,0.5,2082.2,447.7
16,-432.5,-1142.5,1189.5,8,PO_left,0.7,6,2,3,101.8,0.3,931.1,301.6
17,-124.1,-955.2,1208.7,13,PO_left,0.7,8,2,6,212.3,0.5,1067.4,436.9
18,-92.7,-915.0,1329.3,58,PO_left,0.7,11,2,9,129.8,0.3,2518.4,375.7
19,-373.1,-1124.6,1545.2,20,PO_left,0.7,8,2,6,180.0,0.4,2366.5,450.1
20,-326.9,-1076.8,1236.8,63,PO_left,0.7,11,2,9,184.9,0.4,2258.6,428.2
21,-527.8,-1118.5,1179.6,47,PO_left,0.7,10,1,9,142.3,0.4,1987.7,366.3
22,-233.4,-1077.3,1730.5,64,PO_left,0.7,9,3,6,114.8,0.3,1772.5,406.8
23,-264.7,-1096.0,1621.5,43,PO_left,0.7,9,2,7,153.6,0.3,2189.4,454.8
24,-392.1,-1090.8,1681.2,16,PO_left,0.7,11,1,10,165.0,0.4,2060.2,402.9
25,-176.4,-1113.2,1697.9,60,PO_left,0.7,8,4,4,94.8,0.3,1402.0,315.6
26,-630.0,-1170.6,1279.6,19,PO_left,0.7,12,3,9,169.2,0.4,2529.2,397.2
27,-188.7,-766.7,798.1,46,PO_left,0.7,8,3,5,117.7,0.4,1517.9,320.9
28,-256.5,-1097.2,1666.1,64,PO_left,0.7,9,1,8,112.3,0.4,1451.9,251.4
29,-98.1,-967.4,1618.1,10,PO_left,0.7,10,4,6,129.2,0.3,2223.6,387.4
30,-577.9,-1143.4,1216.7,47,PO_left,0.7,10,2,8,158.3,0.4,2844.3,376.0
31,-522.2,-1124.5,1577.6,32,PO_left,0.7,8,2,6,144.0,0.4,1535.0,353.9
32,-179.3,-865.8,1123.6,17,PO_left,0.7,8,3,5,116.6,0.3,1388.2,372.0
33,-559.7,-1117.9,1062.0,69,PO_left,0.7,12,2,10,127.5,0.3,2811.6,443.3
34,-617.1,-1251.9,1051.9,42,PO_left,0.7,9,1,8,157.1,0.4,2509.5,433.6
35,-78.4,-946.3,1281.7,37,PO_left,0.7,8,2,6,162.6,0.4,2013.0,446.0
36,-631.2,-1168.8,1005.5,4,PO_left,0.7,8,2,6,121.3,0.3,1738.6,365.8
